代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12604930.000000000000
真實報酬,2604930.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19279.548946339644
風險,130242.394451934580
起點值,0.148028213298
找到最佳解世代,2043
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
1326(5)[6],2317(16)[4],2324(17)[9],2454(27)[2],2474(28)[29],2882(33)[5],3008(41)[27],
Stock#,1326(5)[6],2317(16)[4],2324(17)[9],2454(27)[2],2474(28)[29],2882(33)[5],3008(41)[27],
張數,24,32,106,5,10,47,1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,33931.000000000233,12891.000000000000,10291.000000000000,8271.000000000000,51571.000000000000,18571.000000000000,514241.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1432411.000000000200,1413211.000000000000,1472031.000000000000,1414171.000000000000,1385571.000000000000,1420111.000000000000,1421141.000000000000,9958650.000000000000
FS( 3 ),1396651.000000000200,1411291.000000000000,1548351.000000000000,1389471.000000000000,1333971.000000000000,1378281.000000000000,1399761.000000000000,9857780.000000000000
FS( 4 ),1424491.000000000200,1399771.000000000000,1500651.000000000200,1366821.000000000000,1299471.000000000000,1399431.000000000000,1366311.000000000000,9756950.000000000000
FS( 5 ),1444411.000000000200,1438171.000000000000,1496411.000000000000,1430621.000000000200,1359770.999999999800,1413061.000000000000,1392331.000000000000,9974780.000000000000
FS( 6 ),1430491.000000000200,1415131.000000000000,1523970.999999999800,1445021.000000000000,1312371.000000000000,1406011.000000000000,1369101.000000000000,9902100.000000000000
FS( 7 ),1470091.000000000200,1436251.000000000000,1520791.000000000000,1463571.000000000000,1303771.000000000000,1461941.000000000200,1377461.000000000000,10033880.000000000000
FS( 8 ),1485931.000000000200,1462811.000000000000,1500651.000000000200,1455321.000000000200,1312371.000000000000,1467111.000000000000,1396981.000000000000,10081180.000000000000
FS( 9 ),1533451.000000000200,1503131.000000000000,1516551.000000000000,1449121.000000000200,1325371.000000000000,1507061.000000000000,1434141.000000000000,10268830.000000000000
FS( 10 ),1551211.000000000200,1503131.000000000000,1544111.000000000200,1490321.000000000200,1338270.999999999800,1525861.000000000000,1415561.000000000000,10368470.000000000000
FS( 11 ),1579051.000000000200,1512411.000000000000,1539871.000000000000,1482071.000000000000,1325371.000000000000,1513641.000000000000,1421141.000000000000,10373560.000000000000
FS( 12 ),1579051.000000000200,1510811.000000000000,1548351.000000000000,1484171.000000000000,1329671.000000000000,1527741.000000000000,1427641.000000000000,10407440.000000000000
FS( 13 ),1588891.000000000200,1491611.000000000000,1552591.000000000200,1444071.000000000200,1333971.000000000000,1560641.000000000200,1411841.000000000000,10383620.000000000000
FS( 14 ),1598731.000000000500,1503131.000000000000,1539871.000000000000,1406071.000000000000,1299471.000000000000,1560641.000000000200,1380251.000000000000,10288170.000000000000
FS( 15 ),1585051.000000000200,1491611.000000000000,1523970.999999999800,1370171.000000000000,1213471.000000000000,1533851.000000000200,1319851.000000000000,10037980.000000000000
FS( 16 ),1610011.000000000200,1495451.000000000000,1548351.000000000000,1403970.999999999800,1222071.000000000000,1578500.999999999800,1325431.000000000000,10183790.000000000000
FS( 17 ),1610011.000000000200,1501211.000000000000,1604531.000000000000,1458871.000000000000,1222071.000000000000,1569571.000000000000,1327291.000000000000,10293560.000000000000
FS( 18 ),1618171.000000000500,1522011.000000000000,1640571.000000000000,1471521.000000000000,1217771.000000000000,1553590.999999999800,1341221.000000000000,10364860.000000000000
FS( 19 ),1620331.000000000000,1525851.000000000000,1624671.000000000000,1507420.999999999800,1239271.000000000000,1528681.000000000200,1383041.000000000000,10429270.000000000000
FS( 20 ),1605931.000000000200,1520091.000000000000,1611950.999999999800,1520071.000000000200,1239271.000000000000,1530561.000000000000,1443441.000000000000,10471320.000000000000
FS( 21 ),1574971.000000000200,1514331.000000000000,1616191.000000000000,1532771.000000000000,1222071.000000000000,1542781.000000000000,1475961.000000000000,10479080.000000000000
FS( 22 ),1605931.000000000200,1516251.000000000000,1620430.999999999800,1509521.000000000000,1243571.000000000000,1574741.000000000000,1513131.000000000000,10583580.000000000000
FS( 23 ),1568971.000000000200,1499291.000000000000,1676611.000000000200,1528521.000000000000,1170371.000000000000,1564401.000000000000,1480601.000000000000,10488770.000000000000
FS( 24 ),1577131.000000000000,1476251.000000000000,1672371.000000000000,1536971.000000000000,1222071.000000000000,1533851.000000000200,1485251.000000000000,10503900.000000000000
FS( 25 ),1616251.000000000500,1482011.000000000000,1668131.000000000200,1541170.999999999800,1217771.000000000000,1569571.000000000000,1475961.000000000000,10570870.000000000000
FS( 26 ),1632571.000000000000,1522011.000000000000,1684031.000000000000,1522170.999999999800,1247871.000000000000,1571450.999999999800,1499191.000000000000,10679300.000000000000
FS( 27 ),1597771.000000000200,1505051.000000000000,1652231.000000000000,1490521.000000000000,1290871.000000000200,1535731.000000000000,1480601.000000000000,10552780.000000000000
FS( 28 ),1587451.000000000200,1485851.000000000000,1608771.000000000000,1486321.000000000200,1265071.000000000000,1507531.000000000000,1462021.000000000000,10403020.000000000000
FS( 29 ),1587451.000000000200,1483931.000000000000,1629970.999999999800,1503171.000000000000,1282270.999999999800,1507531.000000000000,1489901.000000000000,10484230.000000000000
FS( 30 ),1566811.000000000000,1470491.000000000000,1562131.000000000200,1490521.000000000000,1282270.999999999800,1480741.000000000000,1480601.000000000000,10333570.000000000000
FS( 31 ),1577131.000000000000,1493531.000000000000,1537751.000000000000,1496871.000000000200,1299471.000000000000,1498601.000000000000,1513131.000000000000,10416490.000000000000
FS( 32 ),1583371.000000000200,1523931.000000000000,1520791.000000000000,1553871.000000000000,1316771.000000000000,1496720.999999999800,1554941.000000000000,10550400.000000000000
FS( 33 ),1577131.000000000000,1523931.000000000000,1596051.000000000000,1541170.999999999800,1321071.000000000000,1503771.000000000000,1541001.000000000000,10604130.000000000000
FS( 34 ),1577131.000000000000,1512411.000000000000,1570611.000000000200,1528521.000000000000,1308071.000000000000,1487791.000000000000,1513131.000000000000,10497670.000000000000
FS( 35 ),1577131.000000000000,1523931.000000000000,1570611.000000000200,1528521.000000000000,1312371.000000000000,1493431.000000000000,1522421.000000000000,10528420.000000000000
FS( 36 ),1577131.000000000000,1529691.000000000000,1566371.000000000000,1591871.000000000200,1316771.000000000000,1482621.000000000000,1522421.000000000000,10586880.000000000000
FS( 37 ),1577131.000000000000,1543131.000000000000,1596051.000000000000,1570771.000000000000,1286571.000000000000,1480741.000000000000,1494541.000000000000,10548940.000000000000
FS( 38 ),1546171.000000000200,1554651.000000000000,1587571.000000000000,1562321.000000000000,1308071.000000000000,1454421.000000000200,1517771.000000000000,10530980.000000000000
FS( 39 ),1570891.000000000200,1550811.000000000000,1587571.000000000000,1558071.000000000000,1299471.000000000000,1463351.000000000000,1496061.000000000000,10526230.000000000000
FS( 40 ),1597771.000000000200,1566171.000000000000,1672371.000000000000,1560220.999999999800,1282270.999999999800,1457711.000000000000,1514941.000000000000,10651460.000000000000
FS( 41 ),1587451.000000000200,1541211.000000000000,1655411.000000000000,1560220.999999999800,1269371.000000000000,1448781.000000000000,1450741.000000000000,10513190.000000000000
FS( 42 ),1577131.000000000000,1527771.000000000000,1663891.000000000000,1553871.000000000000,1286571.000000000000,1471811.000000000000,1472461.000000000000,10553510.000000000000
FS( 43 ),1605931.000000000200,1537371.000000000000,1668131.000000000200,1543321.000000000000,1318071.000000000000,1496720.999999999800,1477181.000000000000,10646730.000000000000
FS( 44 ),1632571.000000000000,1564251.000000000000,1710531.000000000000,1558071.000000000000,1331470.999999999800,1521631.000000000000,1500781.000000000000,10819310.000000000000
FS( 45 ),1630651.000000000200,1571931.000000000000,1697811.000000000000,1520071.000000000200,1326971.000000000000,1510821.000000000000,1496061.000000000000,10754320.000000000000
FS( 46 ),1642891.000000000200,1579291.000000000000,1706291.000000000000,1543321.000000000000,1385371.000000000000,1525391.000000000200,1505501.000000000000,10888060.000000000000
FS( 47 ),1651291.000000000500,1579291.000000000000,1719011.000000000000,1549621.000000000000,1371970.999999999800,1523511.000000000000,1491341.000000000000,10886040.000000000000
FS( 48 ),1657291.000000000500,1583131.000000000000,1790031.000000000000,1560220.999999999800,1385371.000000000000,1535731.000000000000,1505501.000000000000,11017280.000000000000
FS( 49 ),1640971.000000000200,1596571.000000000000,1751871.000000000000,1568621.000000000000,1367471.000000000000,1539491.000000000000,1467741.000000000000,10932740.000000000000
