代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11943310.000000000000
真實報酬,1943310.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14277.524280684169
風險,91136.087960498000
起點值,0.156661588183
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,34

投資組合檔數,2
2412(25)[3],3045(42)[2],
Stock#,2412(25)[3],3045(42)[2],
張數,55,56,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,72550.000000000000,37840.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5029700.000000000000,5020160.000000000000,10049860.000000000000
FS( 3 ),5024750.000000000900,4974800.000000000000,9999550.000000000000
FS( 4 ),5050050.000000000000,4974800.000000000000,10024850.000000000000
FS( 5 ),5059950.000000000900,4974800.000000000000,10034750.000000000000
FS( 6 ),5090200.000000000900,5015120.000000000000,10105320.000000000000
FS( 7 ),5140250.000000000000,5075599.999999999100,10215850.000000000000
FS( 8 ),5165550.000000000000,5075599.999999999100,10241150.000000000000
FS( 9 ),5215600.000000000000,5070560.000000000000,10286160.000000000000
FS( 10 ),5140250.000000000000,5000000.000000000000,10140250.000000000000
FS( 11 ),5090200.000000000900,5000000.000000000000,10090200.000000000000
FS( 12 ),5165550.000000000000,5000000.000000000000,10165550.000000000000
FS( 13 ),5165550.000000000000,4949040.000000000000,10114590.000000000000
FS( 14 ),5114950.000000000900,4949040.000000000000,10063990.000000000000
FS( 15 ),5114950.000000000900,5065520.000000000000,10180470.000000000000
FS( 16 ),5190300.000000000000,5096320.000000000000,10286620.000000000000
FS( 17 ),5190300.000000000000,5015120.000000000000,10205420.000000000000
FS( 18 ),5190300.000000000000,5060479.999999999100,10250780.000000000000
FS( 19 ),5215600.000000000000,5080640.000000000000,10296240.000000000000
FS( 20 ),5240900.000000000000,5101360.000000000000,10342260.000000000000
FS( 21 ),5215600.000000000000,5096320.000000000000,10311920.000000000000
FS( 22 ),5240900.000000000000,5096320.000000000000,10337220.000000000000
FS( 23 ),5240900.000000000000,5080640.000000000000,10321540.000000000000
FS( 24 ),5240900.000000000000,5080640.000000000000,10321540.000000000000
FS( 25 ),5315700.000000000000,5055439.999999999100,10371140.000000000000
FS( 26 ),5341000.000000000900,5101360.000000000000,10442360.000000000000
FS( 27 ),5366300.000000000000,5176960.000000000000,10543260.000000000000
FS( 28 ),5315700.000000000000,5202160.000000000000,10517860.000000000000
FS( 29 ),5341000.000000000900,5151760.000000000000,10492760.000000000000
FS( 30 ),5290950.000000000000,5151760.000000000000,10442710.000000000000
FS( 31 ),5290950.000000000000,5202160.000000000000,10493110.000000000000
FS( 32 ),5240900.000000000000,5101360.000000000000,10342260.000000000000
FS( 33 ),5315700.000000000000,5202160.000000000000,10517860.000000000000
FS( 34 ),5315700.000000000000,5227920.000000000000,10543620.000000000000
FS( 35 ),5366300.000000000000,5278320.000000000000,10644620.000000000000
FS( 36 ),5366300.000000000000,5278320.000000000000,10644620.000000000000
FS( 37 ),5391050.000000000000,5303520.000000000000,10694570.000000000000
FS( 38 ),5391050.000000000000,5202160.000000000000,10593210.000000000000
FS( 39 ),5391050.000000000000,5278320.000000000000,10669370.000000000000
FS( 40 ),5341000.000000000900,5253120.000000000000,10594120.000000000000
FS( 41 ),5366300.000000000000,5202160.000000000000,10568460.000000000000
FS( 42 ),5391050.000000000000,5227920.000000000000,10618970.000000000000
FS( 43 ),5391050.000000000000,5253120.000000000000,10644170.000000000000
