代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11559846.039999999105930
真實報酬,1559846.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13307.575348270838731
風險,121109.791407660814002
起點值,0.109880259833633
找到最佳解世代,1896
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,5
DIS[6](1),HD[9](6),KO[14](3),TRV[22](7),WMT[28](2),
Stock#,DIS[6](1),HD[9](6),KO[14](3),TRV[22](7),WMT[28](2),
張數,47180,42140,57471,34234,34002,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,39.800000000046566,35.599999999860302,9.200000000186265,49.719999999972060,2.360000000102445,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1998584.600000000093132,1997892.999999999767169,1987931.090000000316650,1985964.059999999823049,2006460.380000000121072,9976833.129999998956919
FS( 3 ),2014625.800000000279397,1997050.199999999953434,1989655.219999999972060,2002738.719999999972060,2019721.160000000149012,10023791.099999999627471
FS( 4 ),1981599.800000000046566,1954910.199999999953434,1975862.180000000400469,1951045.380000000121072,2005100.300000000046566,9868517.860000001266599
FS( 5 ),1969804.800000000046566,1997050.199999999953434,1977011.600000000093132,1946937.299999999813735,2035362.080000000074506,9926165.980000000447035
FS( 6 ),1982543.400000000139698,2015170.399999999906868,1990804.640000000130385,1954811.120000000111759,2032301.900000000139698,9975631.459999999031425
FS( 7 ),1992923.000000000232831,2026969.599999999860302,1997701.160000000149012,1972270.459999999962747,2042842.520000000018626,10032706.740000000223517
FS( 8 ),1997641.000000000232831,2047618.199999999953434,2016091.880000000121072,1972270.459999999962747,2063243.720000000204891,10096865.259999999776483
FS( 9 ),2076431.599999999860302,2070795.199999999953434,2018965.430000000400469,1999657.659999999916181,2074124.360000000102445,10239974.250000000000000
FS( 10 ),2051426.199999999953434,2084701.399999999906868,2017816.010000000242144,2018144.020000000018626,2076844.520000000018626,10248932.149999998509884
FS( 11 ),2050954.399999999906868,2073323.600000000093132,2021264.270000000251457,2022594.439999999944121,2081944.820000000065193,10250081.530000001192093
FS( 12 ),2037744.000000000000000,2067002.599999999627471,2016091.880000000121072,2026702.520000000018626,2068684.040000000270084,10216225.040000000968575
FS( 13 ),2049539.000000000000000,2057731.799999999813735,2022988.400000000372529,2023963.799999999813735,2065283.840000000083819,10219506.839999999850988
FS( 14 ),2040103.000000000232831,2080908.800000000046566,2028735.500000000000000,2025333.159999999916181,2060523.560000000055879,10235604.020000001415610
FS( 15 ),2041518.400000000139698,2098186.200000000186265,2043677.960000000428408,2003081.059999999823049,2059163.480000000214204,10245627.099999999627471
FS( 16 ),2042462.000000000000000,2093550.799999999813735,2052298.610000000335276,1984594.699999999953434,2062223.660000000149012,10235129.769999999552965
FS( 17 ),2059446.800000000046566,2087651.199999999720603,2054022.740000000223517,1992468.520000000018626,2065623.860000000102445,10259213.119999999180436
FS( 18 ),2093888.200000000186265,2112513.799999999813735,2066091.650000000372529,2014720.620000000111759,2080924.760000000242144,10368139.030000001192093
FS( 19 ),2083036.800000000046566,2108721.200000000186265,2065516.939999999944121,2002054.039999999804422,2077184.540000000270084,10336513.519999999552965
FS( 20 ),2052841.599999999860302,2103243.000000000000000,2087930.630000000121072,2011981.900000000139698,2080584.739999999990687,10336581.869999999180436
FS( 21 ),2029251.599999999860302,2103243.000000000000000,2121263.810000000055879,2007873.819999999832362,2068004.000000000000000,10329636.230000000447035
FS( 22 ),2065580.200000000186265,2120099.000000000000000,2127010.910000000149012,2026702.520000000018626,2080924.760000000242144,10420317.390000000596046
FS( 23 ),2068411.000000000232831,2106614.200000000186265,2130459.170000000391155,2031152.939999999944121,2086365.080000000074506,10423002.390000000596046
FS( 24 ),2042462.000000000000000,2107035.599999999627471,2119539.680000000167638,2029441.239999999990687,2062223.660000000149012,10360702.179999999701977
FS( 25 ),2025477.199999999953434,2100714.599999999627471,2110919.029999999795109,2027387.199999999953434,2048962.880000000121072,10313460.910000000149012
FS( 26 ),2032554.199999999953434,2133162.399999999441206,2111493.740000000223517,2015747.640000000130385,2062903.700000000186265,10355861.679999999701977
FS( 27 ),1986789.600000000093132,2131476.799999999813735,2094252.439999999944121,1987333.419999999925494,2044542.620000000111759,10244394.879999998956919
FS( 28 ),1933948.000000000232831,2080065.999999999767169,2069539.910000000149012,1977063.219999999972060,2037742.220000000204891,10098359.349999999627471
FS( 29 ),1951876.399999999906868,2096500.599999999860302,2072413.460000000428408,1991441.500000000000000,2033321.959999999962747,10145553.920000001788139
FS( 30 ),1988676.800000000046566,2133583.799999999813735,2075287.010000000242144,2023279.120000000111759,2044882.640000000130385,10265709.369999999180436
FS( 31 ),1974522.800000000046566,2147490.000000000000000,2067241.070000000065193,1989729.799999999813735,2032301.900000000139698,10211285.570000000298023
FS( 32 ),1965558.599999999860302,2178252.200000000186265,2081608.820000000065193,2025333.159999999916181,2059843.520000000018626,10310596.300000000745058
FS( 33 ),2013682.199999999953434,2192579.799999999813735,2125286.779999999795109,2053747.380000000121072,2103706.099999999627471,10489002.259999997913837
FS( 34 ),2004718.000000000232831,2183309.000000000000000,2131608.590000000316650,2035945.699999999953434,2110166.480000000447035,10465747.769999999552965
FS( 35 ),1985374.199999999953434,2172774.000000000000000,2121263.810000000055879,2112287.520000000484288,2099625.860000000335276,10491325.390000000596046
FS( 36 ),1998112.800000000046566,2168560.000000000000000,2130459.170000000391155,2148233.219999999739230,2123427.259999999776483,10568792.450000001117587
FS( 37 ),1982071.599999999860302,2153389.599999999627471,2117815.550000000279397,2153710.660000000149012,2024481.440000000176951,10431468.849999999627471
FS( 38 ),1990092.199999999953434,2158867.799999999813735,2129884.460000000428408,2169458.299999999813735,1964297.900000000139698,10412600.660000002011657
FS( 39 ),2014625.800000000279397,2187523.000000000000000,2153447.570000000298023,2183494.240000000223517,1950357.080000000074506,10489447.690000001341105
FS( 40 ),2045764.600000000093132,2185837.399999999441206,2175286.550000000279397,2217385.899999999441206,2004420.260000000242144,10628694.709999999031425
FS( 41 ),2045292.800000000046566,2189208.599999999627471,2202297.920000000391155,2191368.060000000521541,2007140.420000000158325,10635307.800000000745058
FS( 42 ),2033969.600000000093132,2182466.200000000186265,2193102.560000000055879,2201980.599999999627471,2003060.179999999934807,10614579.140000000596046
FS( 43 ),2066052.000000000000000,2204800.399999999441206,2210918.570000000298023,2211566.120000000111759,2008500.500000000000000,10701837.589999999850988
FS( 44 ),2054257.000000000000000,2221235.000000000000000,2217240.379999999888241,2216358.879999999888241,2006460.380000000121072,10715551.640000000596046
FS( 45 ),2066995.600000000093132,2211121.399999999441206,2225286.320000000298023,2216701.219999999739230,2005780.340000000083819,10725884.879999998956919
FS( 46 ),2025477.199999999953434,2189630.000000000000000,2212642.700000000186265,2208142.719999999739230,1995919.760000000242144,10631812.380000000819564
FS( 47 ),2067467.400000000139698,2165610.200000000186265,2220688.640000000130385,2211223.780000000260770,2012580.739999999990687,10677570.759999999776483
FS( 48 ),2090113.799999999813735,2133162.399999999441206,2216665.670000000391155,2204376.980000000447035,2007820.459999999962747,10652139.309999998658895
FS( 49 ),2124083.400000000372529,2111671.000000000000000,2206320.890000000130385,2188287.000000000000000,2007140.420000000158325,10637502.710000000894070
FS( 50 ),2136350.200000000186265,2133162.399999999441206,2224711.610000000335276,2212935.480000000447035,2012580.739999999990687,10719740.430000001564622
FS( 51 ),2149560.600000000558794,2121363.200000000186265,2226435.740000000223517,2212250.799999999813735,2020401.200000000186265,10730011.539999999105930
FS( 52 ),2131160.400000000372529,2101978.799999999813735,2209194.439999999944121,2207458.040000000037253,2008500.500000000000000,10658292.179999999701977
FS( 53 ),2123611.599999999627471,2050989.399999999906868,2199999.080000000074506,2196160.820000000298023,2018021.060000000055879,10588781.960000000894070
FS( 54 ),2126914.200000000186265,2055203.399999999906868,2193677.270000000484288,2177674.459999999962747,2012580.739999999990687,10566050.070000002160668
FS( 55 ),2091529.199999999953434,1981458.399999999906868,2158619.960000000428408,2146521.520000000484288,2097245.719999999739230,10475374.800000000745058
FS( 56 ),2066995.600000000093132,1982722.599999999627471,2128160.330000000074506,2128719.839999999850988,2122747.219999999739230,10429345.589999999850988
FS( 57 ),2094360.000000000000000,2006320.999999999767169,2141378.660000000149012,2146521.520000000484288,2143488.440000000409782,10532069.620000001043081
FS( 58 ),2094360.000000000000000,2033711.999999999767169,2132183.300000000279397,2150629.599999999627471,2166949.820000000298023,10577834.720000000670552
FS( 59 ),2094360.000000000000000,2033711.999999999767169,2132183.300000000279397,2150629.599999999627471,2166949.820000000298023,10577834.720000000670552
FS( 60 ),2096719.000000000000000,2094815.000000000000000,2171263.580000000074506,2163296.179999999701977,2212512.500000000000000,10738606.259999999776483
FS( 61 ),2099549.799999999813735,2083437.199999999720603,2162068.220000000204891,2143098.120000000111759,2220672.980000000447035,10708826.320000000298023
FS( 62 ),2145786.200000000186265,2097764.799999999813735,2168390.029999999795109,2152683.639999999664724,2233253.720000000670552,10797878.389999998733401
FS( 63 ),2132575.799999999813735,2094815.000000000000000,2156895.830000000074506,2118791.980000000447035,2225093.240000000223517,10728171.849999999627471
FS( 64 ),2156637.599999999627471,2079223.199999999953434,2147700.470000000204891,2139332.379999999888241,2238014.000000000000000,10760907.649999998509884
FS( 65 ),2094831.800000000046566,2021070.000000000000000,2100574.250000000000000,2073945.439999999944121,2228833.459999999962747,10519254.949999999254942
FS( 66 ),2095303.599999999860302,2054781.999999999767169,2116091.420000000391155,2067098.640000000130385,2243794.339999999850988,10577070.000000000000000
FS( 67 ),2115591.000000000000000,2061524.399999999906868,2104597.220000000204891,2081476.919999999925494,2227133.360000000335276,10590322.900000000372529
FS( 68 ),2148145.200000000186265,2132319.599999999627471,2144252.210000000428408,2110233.480000000447035,2241754.220000000670552,10776704.710000000894070
FS( 69 ),2152863.200000000186265,2159289.200000000186265,2134482.140000000130385,2119476.660000000149012,2239714.100000000558794,10805825.300000000745058
FS( 70 ),2181643.000000000000000,2206064.599999999627471,2162068.220000000204891,2127350.480000000447035,2319618.799999999813735,10996745.100000001490116
FS( 71 ),2160883.799999999813735,2163924.599999999627471,2145401.629999999888241,2107494.759999999776483,2296157.419999999925494,10873862.209999999031425
FS( 72 ),2188248.200000000186265,2201429.200000000186265,2160918.800000000279397,2120503.679999999701977,2302617.799999999813735,10973717.679999999701977
FS( 73 ),2181171.200000000186265,2147911.399999999441206,2146551.050000000279397,2110575.820000000298023,2280516.500000000000000,10866725.970000000670552
FS( 74 ),2225992.200000000186265,2198058.000000000000000,2176435.970000000204891,2160899.799999999813735,2299557.620000000111759,11060943.589999999850988
FS( 75 ),2221746.000000000000000,2185837.399999999441206,2186780.750000000000000,2170827.660000000149012,2303637.860000000335276,11068829.669999998062849
FS( 76 ),2222217.799999999813735,2204800.399999999441206,2183332.490000000223517,2159188.099999999627471,2316218.600000000558794,11085757.390000000596046
FS( 77 ),2241561.599999999627471,2232191.399999999441206,2176435.970000000204891,2172197.020000000484288,2305677.980000000447035,11128063.969999998807907
FS( 78 ),2251941.200000000186265,2226291.799999999813735,2171263.580000000074506,2185890.620000000111759,2329819.400000000372529,11165206.599999999627471
FS( 79 ),2236371.799999999813735,2160132.000000000000000,2145976.340000000316650,2142413.439999999478459,2301937.759999999776483,10986831.339999999850988
FS( 80 ),2239674.400000000372529,2192158.400000000372529,2153447.570000000298023,2168773.620000000111759,2288336.959999999962747,11042390.950000002980232
FS( 81 ),2203345.799999999813735,2171088.400000000372529,2148849.890000000130385,2127692.820000000298023,2318258.720000000670552,10969235.630000000819564
FS( 82 ),2231653.799999999813735,2186258.799999999813735,2157470.540000000037253,2127692.820000000298023,2331859.520000000484288,11034935.480000000447035
FS( 83 ),2258546.400000000372529,2172352.599999999627471,2193677.270000000484288,2150971.939999999478459,2332199.540000000037253,11107747.750000000000000
FS( 84 ),2256187.400000000372529,2178252.200000000186265,2199999.080000000074506,2151656.620000000111759,2322338.959999999962747,11108434.260000001639128
FS( 85 ),2288269.799999999813735,2233034.200000000186265,2247125.300000000279397,2185548.280000000260770,2370621.799999999813735,11324599.380000002682209
FS( 86 ),2298649.400000000372529,2233877.000000000000000,2267814.860000000335276,2188287.000000000000000,2358041.059999999590218,11346669.320000000298023
FS( 87 ),2292516.000000000000000,2176566.599999999627471,2274711.379999999888241,2195476.139999999664724,2405643.860000000335276,11344913.980000000447035
FS( 88 ),2269869.599999999627471,2195951.000000000000000,2254596.529999999795109,2189656.360000000335276,2416864.520000000484288,11326938.009999997913837
FS( 89 ),2266567.000000000000000,2197636.599999999627471,2245975.879999999888241,2165692.559999999590218,2426385.080000000074506,11302257.119999999180436
FS( 90 ),2264679.799999999813735,2196372.399999999441206,2240803.490000000223517,2159188.099999999627471,2439985.879999999888241,11301029.669999998062849
FS( 91 ),2234484.599999999627471,2200586.399999999441206,2240803.490000000223517,2163980.860000000335276,2451886.580000000074506,11291741.929999999701977
FS( 92 ),2230238.400000000372529,2177409.400000000372529,2225861.029999999795109,2140701.740000000223517,2456986.879999999888241,11231197.449999999254942
FS( 93 ),2236843.599999999627471,2172352.599999999627471,2202297.920000000391155,2130773.879999999888241,2458686.980000000447035,11200954.980000000447035
FS( 94 ),2273644.000000000000000,2195108.200000000186265,2220688.640000000130385,2161242.139999999664724,2488268.720000000670552,11338951.700000001117587
FS( 95 ),2258074.599999999627471,2168138.599999999627471,2197700.240000000223517,2141386.419999999925494,2481468.320000000298023,11246768.179999999701977
FS( 96 ),2328372.799999999813735,2137376.399999999441206,2232757.550000000279397,2167404.259999999776483,2485548.559999999590218,11351459.570000000298023
FS( 97 ),2328372.799999999813735,2145383.000000000000000,2225286.320000000298023,2191025.719999999739230,2477048.059999999590218,11367115.899999998509884
FS( 98 ),2311388.000000000000000,2147490.000000000000000,2228734.580000000074506,2180413.179999999701977,2432165.419999999925494,11300191.179999999701977
FS( 99 ),2292516.000000000000000,2136533.599999999627471,2213792.120000000577420,2146863.860000000335276,2456646.860000000335276,11246352.440000001341105
FS( 100 ),2263736.200000000186265,2147490.000000000000000,2209194.439999999944121,2113656.879999999888241,2443046.059999999590218,11177123.579999998211861
FS( 101 ),2272228.599999999627471,2156339.400000000372529,2202872.629999999888241,2084557.979999999981374,2452906.639999999664724,11168905.250000000000000
FS( 102 ),2278833.799999999813735,2152125.399999999441206,2213217.410000000149012,2087639.039999999804422,2450866.520000000484288,11182682.169999998062849
FS( 103 ),2345357.599999999627471,2229663.000000000000000,2265516.020000000484288,2109206.459999999962747,2504929.700000000186265,11454672.780000001192093
