代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11758717.329999998211861
真實報酬,1758717.329999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13721.003735323065484
風險,144448.870459449070040
起點值,0.094988653713114
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
AAPL[0](6),JPM[13](1),V[25](15),
Stock#,AAPL[0](6),JPM[13](1),V[25](15),
張數,31431,52246,42593,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,75.450000000186265,38.200000000186265,4.819999999832362,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3283986.330000000540167,3325496.100000000093132,3334184.859999999869615,9943668.290000000968575
FS( 3 ),3325160.940000000409782,3378264.560000000055879,3352499.849999999627471,10055926.349999999627471
FS( 4 ),3327675.420000000391155,3373039.960000000428408,3385296.459999999962747,10086012.839999999850988
FS( 5 ),3378279.330000000540167,3463948.000000000000000,3413407.839999999850988,10255636.169999999925494
FS( 6 ),3406252.920000000391155,3453498.799999999813735,3405315.169999999925494,10265067.890000000596046
FS( 7 ),3420082.560000000055879,3441482.220000000204891,3410000.399999999906868,10271566.179999999701977
FS( 8 ),3394623.450000000186265,3410657.080000000074506,3393815.060000000055879,10199096.589999999850988
FS( 9 ),3392423.280000000260770,3420061.359999999869615,3412555.979999999981374,10225041.620000001043081
FS( 10 ),3400281.030000000260770,3412746.919999999925494,3408296.679999999701977,10221325.629999998956919
FS( 11 ),3441141.330000000540167,3433645.320000000298023,3446204.449999999720603,10320992.099999999627471
FS( 12 ),3437998.229999999981374,3433122.859999999869615,3441945.149999999906868,10313067.240000000223517
FS( 13 ),3432969.270000000018626,3442527.140000000130385,3443222.939999999944121,10318720.349999999627471
FS( 14 ),3428568.930000000167638,3445661.900000000372529,3418944.929999999701977,10293176.759999999776483
FS( 15 ),3437369.610000000335276,3440959.760000000242144,3427463.529999999795109,10305793.900000000372529
FS( 16 ),3410653.260000000242144,3437825.000000000000000,3452593.399999999906868,10301072.660000000149012
FS( 17 ),3421339.799999999813735,3436257.620000000111759,3441519.219999999739230,10299117.640000000596046
