代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12450201.880000000819564
真實報酬,2450201.880000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15935.191231553793841
風險,442523.380114093248267
起點值,0.036009828966427
找到最佳解世代,1977
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,100583,
分配資金,10000000.000000000000000,
剩餘資金,38.140000000596046,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9971836.759999999776483,9971836.759999999776483
FS( 3 ),10038221.540000000968575,10038221.540000000968575
FS( 4 ),9992959.189999999478459,9992959.189999999478459
FS( 5 ),9949708.500000000000000,9949708.500000000000000
FS( 6 ),9996982.509999999776483,9996982.509999999776483
FS( 7 ),9938644.370000001043081,9938644.370000001043081
FS( 8 ),9885335.380000000819564,9885335.380000000819564
FS( 9 ),9994970.850000001490116,9994970.850000001490116
FS( 10 ),9984912.550000000745058,9984912.550000000745058
FS( 11 ),10124722.919999999925494,10124722.919999999925494
FS( 12 ),10134781.220000000670552,10134781.220000000670552
FS( 13 ),10168979.439999999478459,10168979.439999999478459
FS( 14 ),10034198.220000000670552,10034198.220000000670552
FS( 15 ),9769664.929999999701977,9769664.929999999701977
FS( 16 ),9341181.350000001490116,9341181.350000001490116
FS( 17 ),9174213.570000000298023,9174213.570000000298023
FS( 18 ),9570510.590000001713634,9570510.590000001713634
FS( 19 ),9789781.530000001192093,9789781.530000001192093
FS( 20 ),9681151.890000000596046,9681151.890000000596046
FS( 21 ),9557434.800000000745058,9557434.800000000745058
FS( 22 ),9401531.150000000372529,9401531.150000000372529
FS( 23 ),9660029.460000000894070,9660029.460000000894070
FS( 24 ),9657011.970000000670552,9657011.970000000670552
FS( 25 ),9540335.689999999478459,9540335.689999999478459
FS( 26 ),9734460.880000000819564,9734460.880000000819564
FS( 27 ),9598673.830000001937151,9598673.830000001937151
FS( 28 ),9580568.890000000596046,9580568.890000000596046
FS( 29 ),9797828.169999999925494,9797828.169999999925494
FS( 30 ),9753571.650000000372529,9753571.650000000372529
FS( 31 ),9876282.910000000149012,9876282.910000000149012
FS( 32 ),9926574.410000000149012,9926574.410000000149012
FS( 33 ),9841078.860000001266599,9841078.860000001266599
FS( 34 ),9761618.290000000968575,9761618.290000000968575
FS( 35 ),9847113.840000001713634,9847113.840000001713634
FS( 36 ),9776705.740000000223517,9776705.740000000223517
FS( 37 ),9794810.679999999701977,9794810.679999999701977
FS( 38 ),9785758.210000000894070,9785758.210000000894070
FS( 39 ),9815933.110000001266599,9815933.110000001266599
FS( 40 ),9651982.820000000298023,9651982.820000000298023
FS( 41 ),9804868.980000000447035,9804868.980000000447035
FS( 42 ),9910481.130000000819564,9910481.130000000819564
FS( 43 ),9935626.880000000819564,9935626.880000000819564
FS( 44 ),10037215.710000000894070,10037215.710000000894070
FS( 45 ),10176020.250000000000000,10176020.250000000000000
FS( 46 ),10249445.840000001713634,10249445.840000001713634
FS( 47 ),10236370.050000000745058,10236370.050000000745058
FS( 48 ),10355057.990000000223517,10355057.990000000223517
FS( 49 ),10335947.220000000670552,10335947.220000000670552
FS( 50 ),10384227.060000000521541,10384227.060000000521541
FS( 51 ),10398308.679999999701977,10398308.679999999701977
FS( 52 ),10341982.199999999254942,10341982.199999999254942
FS( 53 ),10426471.919999999925494,10426471.919999999925494
FS( 54 ),10543148.199999999254942,10543148.199999999254942
FS( 55 ),10509955.810000000521541,10509955.810000000521541
FS( 56 ),10444576.860000001266599,10444576.860000001266599
FS( 57 ),10313818.960000000894070,10313818.960000000894070
FS( 58 ),11151675.350000001490116,11151675.350000001490116
FS( 59 ),11324678.110000001266599,11324678.110000001266599
FS( 60 ),11283439.080000001937151,11283439.080000001937151
FS( 61 ),11229124.259999999776483,11229124.259999999776483
FS( 62 ),11359882.160000000149012,11359882.160000000149012
FS( 63 ),11327695.600000001490116,11327695.600000001490116
FS( 64 ),11290479.890000000596046,11290479.890000000596046
FS( 65 ),11276398.270000001415610,11276398.270000001415610
FS( 66 ),11273380.780000001192093,11273380.780000001192093
FS( 67 ),11305567.340000001713634,11305567.340000001713634
FS( 68 ),11350829.689999999478459,11350829.689999999478459
FS( 69 ),11397097.870000001043081,11397097.870000001043081
FS( 70 ),11358876.330000001937151,11358876.330000001937151
FS( 71 ),11388045.400000000372529,11388045.400000000372529
FS( 72 ),11451412.689999999478459,11451412.689999999478459
FS( 73 ),11276398.270000001415610,11276398.270000001415610
FS( 74 ),11061150.650000000372529,11061150.650000000372529
FS( 75 ),11170786.120000001043081,11170786.120000001043081
FS( 76 ),11158716.160000000149012,11158716.160000000149012
FS( 77 ),11318643.130000000819564,11318643.130000000819564
FS( 78 ),11396092.040000000968575,11396092.040000000968575
FS( 79 ),11457447.669999999925494,11457447.669999999925494
FS( 80 ),11513774.150000000372529,11513774.150000000372529
FS( 81 ),11494663.380000000819564,11494663.380000000819564
FS( 82 ),11506733.340000001713634,11506733.340000001713634
FS( 83 ),11489634.230000000447035,11489634.230000000447035
FS( 84 ),11482593.419999999925494,11482593.419999999925494
FS( 85 ),11511762.490000000223517,11511762.490000000223517
FS( 86 ),11438336.900000000372529,11438336.900000000372529
FS( 87 ),11405144.509999999776483,11405144.509999999776483
FS( 88 ),11687782.740000000223517,11687782.740000000223517
FS( 89 ),11709911.000000000000000,11709911.000000000000000
FS( 90 ),11720975.130000000819564,11720975.130000000819564
FS( 91 ),11726004.280000001192093,11726004.280000001192093
FS( 92 ),11788365.740000000223517,11788365.740000000223517
FS( 93 ),11675712.780000001192093,11675712.780000001192093
FS( 94 ),11693817.720000000670552,11693817.720000000670552
FS( 95 ),11761208.330000001937151,11761208.330000001937151
FS( 96 ),11852738.860000001266599,11852738.860000001266599
FS( 97 ),11818540.640000000596046,11818540.640000000596046
FS( 98 ),11734050.919999999925494,11734050.919999999925494
FS( 99 ),11837651.410000000149012,11837651.410000000149012
FS( 100 ),11840668.900000000372529,11840668.900000000372529
FS( 101 ),11949298.540000000968575,11949298.540000000968575
FS( 102 ),11926164.449999999254942,11926164.449999999254942
FS( 103 ),11944269.390000000596046,11944269.390000000596046
FS( 104 ),12077038.949999999254942,12077038.949999999254942
FS( 105 ),12012665.830000001937151,12012665.830000001937151
FS( 106 ),11882913.759999999776483,11882913.759999999776483
FS( 107 ),11826587.280000001192093,11826587.280000001192093
FS( 108 ),11989531.740000000223517,11989531.740000000223517
FS( 109 ),11909065.340000001713634,11909065.340000001713634
FS( 110 ),11633467.919999999925494,11633467.919999999925494
FS( 111 ),11615362.980000000447035,11615362.980000000447035
FS( 112 ),11737068.410000000149012,11737068.410000000149012
FS( 113 ),11812505.660000000149012,11812505.660000000149012
FS( 114 ),11579153.100000001490116,11579153.100000001490116
FS( 115 ),11730027.600000001490116,11730027.600000001490116
FS( 116 ),11585188.080000001937151,11585188.080000001937151
FS( 117 ),11818540.640000000596046,11818540.640000000596046
FS( 118 ),11645537.880000000819564,11645537.880000000819564
FS( 119 ),11852738.860000001266599,11852738.860000001266599
FS( 120 ),11909065.340000001713634,11909065.340000001713634
FS( 121 ),11989531.740000000223517,11989531.740000000223517
FS( 122 ),12113248.830000001937151,12113248.830000001937151
FS( 123 ),12157505.350000001490116,12157505.350000001490116
FS( 124 ),12309385.679999999701977,12309385.679999999701977
FS( 125 ),12450201.880000000819564,12450201.880000000819564
