代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11552325.619999999180436
真實報酬,1552325.619999999180436

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13223.090164097891829
風險,114031.998474882653682
起點值,0.115959470507837
找到最佳解世代,2298
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AXP[1](3),DIS[6](1),KO[14](8),UNH[23](7),VZ[26](18),WMT[28](21),
Stock#,AXP[1](3),DIS[6](1),KO[14](8),UNH[23](7),VZ[26](18),WMT[28](21),
張數,34874,46309,49870,34350,44126,28436,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,37.540000000037253,5.089999999850988,10.599999999860302,4.000000000000000,26.979999999748543,32.040000000037253,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1682010.559999999823049,1695377.579999999841675,1655195.899999999674037,1656704.500000000000000,1670196.079999999841675,1651879.280000000027940,10011367.899999998509884
FS( 3 ),1701191.260000000009313,1710659.549999999813735,1653699.799999999580905,1658078.500000000000000,1679021.279999999562278,1658988.280000000027940,10061642.669999998062849
FS( 4 ),1693518.980000000214204,1705565.559999999823049,1662676.400000000139698,1658765.500000000000000,1690935.299999999813735,1671500.120000000111759,10082965.859999999403954
FS( 5 ),1714443.379999999888241,1718068.989999999990687,1665169.899999999906868,1694833.000000000232831,1690494.039999999804422,1663822.399999999906868,10146835.709999999031425
FS( 6 ),1667363.480000000214204,1663424.369999999878928,1664172.499999999767169,1654299.999999999767169,1668431.039999999804422,1648751.319999999832362,9966446.709999999031425
FS( 7 ),1701888.739999999990687,1693062.129999999888241,1684619.199999999953434,1680062.499999999767169,1695789.159999999683350,1658419.560000000055879,10113845.290000000968575
FS( 8 ),1670153.400000000139698,1697229.939999999711290,1668162.100000000093132,1655674.000000000000000,1692259.079999999841675,1651879.280000000027940,10035361.799999998882413
FS( 9 ),1652716.400000000139698,1682411.059999999823049,1657689.399999999906868,1646399.500000000000000,1688287.739999999757856,1637945.640000000130385,9965453.740000000223517
FS( 10 ),1641905.459999999962747,1628229.529999999795109,1652203.699999999953434,1640560.000000000000000,1688287.739999999757856,1639367.439999999944121,9890557.869999999180436
