代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11885244.910000000149012
真實報酬,1885244.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13780.489445462622825
風險,240999.444528062886093
起點值,0.057180585923956
找到最佳解世代,2706
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,111619,
分配資金,10000000.000000000000000,
剩餘資金,53.789999999105930,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10024556.179999999701977,10024556.179999999701977
FS( 3 ),10179706.589999999850988,10179706.589999999850988
FS( 4 ),10214308.480000000447035,10214308.480000000447035
FS( 5 ),10189752.299999998882413,10189752.299999998882413
FS( 6 ),10197565.629999998956919,10197565.629999998956919
FS( 7 ),10314765.579999998211861,10314765.579999998211861
FS( 8 ),10347135.089999999850988,10347135.089999999850988
FS( 9 ),10433081.719999998807907,10433081.719999998807907
FS( 10 ),10435314.099999997764826,10435314.099999997764826
FS( 11 ),10473264.559999998658895,10473264.559999998658895
FS( 12 ),10472148.369999999180436,10472148.369999999180436
FS( 13 ),10412990.299999998882413,10412990.299999998882413
FS( 14 ),10280163.689999997615814,10280163.689999997615814
FS( 15 ),10203146.579999998211861,10203146.579999998211861
FS( 16 ),10217657.049999998882413,10217657.049999998882413
FS( 17 ),10262304.649999998509884,10262304.649999998509884
FS( 18 ),10349367.469999998807907,10349367.469999998807907
FS( 19 ),10381736.980000000447035,10381736.980000000447035
FS( 20 ),10360529.369999999180436,10360529.369999999180436
FS( 21 ),10549165.480000000447035,10549165.480000000447035
FS( 22 ),10416338.869999999180436,10416338.869999999180436
FS( 23 ),10415222.679999999701977,10415222.679999999701977
FS( 24 ),10442011.239999998360872,10442011.239999998360872
FS( 25 ),10319230.339999999850988,10319230.339999999850988
FS( 26 ),10383969.359999999403954,10383969.359999999403954
FS( 27 ),10482194.079999998211861,10482194.079999998211861
FS( 28 ),10495588.359999999403954,10495588.359999999403954
FS( 29 ),10770171.099999997764826,10770171.099999997764826
FS( 30 ),10786913.949999999254942,10786913.949999999254942
FS( 31 ),10354948.419999998062849,10354948.419999998062849
FS( 32 ),10323695.099999997764826,10323695.099999997764826
FS( 33 ),10242213.230000000447035,10242213.230000000447035
FS( 34 ),10155150.410000000149012,10155150.410000000149012
FS( 35 ),10154034.219999998807907,10154034.219999998807907
FS( 36 ),9751089.629999998956919,9751089.629999998956919
FS( 37 ),10055809.500000000000000,10055809.500000000000000
FS( 38 ),10271234.169999998062849,10271234.169999998062849
FS( 39 ),10177474.209999999031425,10177474.209999999031425
FS( 40 ),10260072.269999999552965,10260072.269999999552965
FS( 41 ),10188636.109999999403954,10188636.109999999403954
FS( 42 ),10117199.949999999254942,10117199.949999999254942
FS( 43 ),10323695.099999997764826,10323695.099999997764826
FS( 44 ),10282396.070000000298023,10282396.070000000298023
FS( 45 ),10320346.529999999329448,10320346.529999999329448
FS( 46 ),10151801.839999999850988,10151801.839999999850988
FS( 47 ),10176358.019999999552965,10176358.019999999552965
FS( 48 ),10243329.419999998062849,10243329.419999998062849
FS( 49 ),10174125.640000000596046,10174125.640000000596046
FS( 50 ),10270117.980000000447035,10270117.980000000447035
FS( 51 ),10198681.820000000298023,10198681.820000000298023
FS( 52 ),10117199.949999999254942,10117199.949999999254942
FS( 53 ),10204262.769999999552965,10204262.769999999552965
FS( 54 ),10094876.149999998509884,10094876.149999998509884
FS( 55 ),10585999.750000000000000,10585999.750000000000000
FS( 56 ),10525725.489999998360872,10525725.489999998360872
FS( 57 ),10447592.189999997615814,10447592.189999997615814
FS( 58 ),10438662.669999998062849,10438662.669999998062849
FS( 59 ),10440895.049999998882413,10440895.049999998882413
FS( 60 ),10550281.669999998062849,10550281.669999998062849
FS( 61 ),10767938.719999998807907,10767938.719999998807907
FS( 62 ),10879557.719999998807907,10879557.719999998807907
FS( 63 ),10942064.359999999403954,10942064.359999999403954
FS( 64 ),10876209.149999998509884,10876209.149999998509884
FS( 65 ),10929786.269999999552965,10929786.269999999552965
FS( 66 ),10842723.449999999254942,10842723.449999999254942
FS( 67 ),10906346.279999999329448,10906346.279999999329448
FS( 68 ),10968852.919999998062849,10968852.919999998062849
FS( 69 ),11079355.730000000447035,11079355.730000000447035
FS( 70 ),11077123.349999997764826,11077123.349999997764826
FS( 71 ),10990060.529999999329448,10990060.529999999329448
FS( 72 ),10992292.910000000149012,10992292.910000000149012
FS( 73 ),11160837.599999997764826,11160837.599999997764826
FS( 74 ),11081588.109999999403954,11081588.109999999403954
FS( 75 ),11137397.609999999403954,11137397.609999999403954
FS( 76 ),11189858.539999999105930,11189858.539999999105930
FS( 77 ),11113957.619999999180436,11113957.619999999180436
FS( 78 ),11142978.559999998658895,11142978.559999998658895
FS( 79 ),11040289.079999998211861,11040289.079999998211861
FS( 80 ),11000106.239999998360872,11000106.239999998360872
FS( 81 ),10987828.149999998509884,10987828.149999998509884
FS( 82 ),11035824.320000000298023,11035824.320000000298023
FS( 83 ),11060380.500000000000000,11060380.500000000000000
FS( 84 ),11042521.459999999031425,11042521.459999999031425
FS( 85 ),11000106.239999998360872,11000106.239999998360872
FS( 86 ),10984479.579999998211861,10984479.579999998211861
FS( 87 ),11115073.809999998658895,11115073.809999998658895
FS( 88 ),11167534.739999998360872,11167534.739999998360872
FS( 89 ),11293664.209999999031425,11293664.209999999031425
FS( 90 ),11309290.869999999180436,11309290.869999999180436
FS( 91 ),11434304.149999998509884,11434304.149999998509884
FS( 92 ),11330498.480000000447035,11330498.480000000447035
FS( 93 ),11374029.890000000596046,11374029.890000000596046
FS( 94 ),11353938.469999998807907,11353938.469999998807907
FS( 95 ),11439885.099999997764826,11439885.099999997764826
FS( 96 ),11347241.329999998211861,11347241.329999998211861
FS( 97 ),11380727.029999999329448,11380727.029999999329448
FS( 98 ),11499043.169999998062849,11499043.169999998062849
FS( 99 ),11485648.890000000596046,11485648.890000000596046
FS( 100 ),11558201.239999998360872,11558201.239999998360872
FS( 101 ),11614010.739999998360872,11614010.739999998360872
FS( 102 ),11568246.949999999254942,11568246.949999999254942
FS( 103 ),11580525.039999999105930,11580525.039999999105930
FS( 104 ),11573827.899999998509884,11573827.899999998509884
FS( 105 ),11544806.959999999031425,11544806.959999999031425
FS( 106 ),11569363.140000000596046,11569363.140000000596046
FS( 107 ),11716700.219999998807907,11716700.219999998807907
FS( 108 ),11682098.329999998211861,11682098.329999998211861
FS( 109 ),11680982.140000000596046,11680982.140000000596046
FS( 110 ),11692144.039999999105930,11692144.039999999105930
FS( 111 ),11726745.929999999701977,11726745.929999999701977
FS( 112 ),11801530.660000000149012,11801530.660000000149012
FS( 113 ),11878547.769999999552965,11878547.769999999552965
FS( 114 ),11814924.939999997615814,11814924.939999997615814
FS( 115 ),11837248.739999998360872,11837248.739999998360872
FS( 116 ),11832783.980000000447035,11832783.980000000447035
FS( 117 ),11514669.829999998211861,11514669.829999998211861
FS( 118 ),11573827.899999998509884,11573827.899999998509884
FS( 119 ),11528064.109999999403954,11528064.109999999403954
FS( 120 ),11816041.129999998956919,11816041.129999998956919
FS( 121 ),11695492.609999999403954,11695492.609999999403954
FS( 122 ),11885244.910000000149012,11885244.910000000149012
