代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12172571.120000001043081
真實報酬,2172571.120000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16256.360033050910715
風險,225472.128959397698054
起點值,0.072099199613174
找到最佳解世代,2042
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](5),NKE[19](3),
Stock#,INTC[11](5),NKE[19](3),
張數,111906,83500,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.919999999925494,20.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4978737.860000000335276,5018370.000000000000000,9997107.859999999403954
FS( 3 ),4861236.559999999590218,5045090.000000000000000,9906326.559999998658895
FS( 4 ),4862355.620000000111759,4986640.000000000000000,9848995.620000001043081
FS( 5 ),4820950.399999999441206,5060120.000000000000000,9881070.399999998509884
FS( 6 ),4851165.020000000484288,5118570.000000000000000,9969735.019999999552965
FS( 7 ),4885855.879999999888241,5169505.000000000000000,10055360.879999998956919
FS( 8 ),4848926.899999999441206,5191215.000000000000000,10040141.899999998509884
FS( 9 ),4850045.959999999962747,5369070.000000000000000,10219115.960000000894070
FS( 10 ),4841093.479999999515712,5388275.000000000000000,10229368.480000000447035
FS( 11 ),4986571.280000000260770,5409985.000000000931323,10396556.280000001192093
FS( 12 ),5176811.479999999515712,5411655.000000000000000,10588466.480000000447035
FS( 13 ),5264098.160000000149012,5364060.000000000000000,10628158.160000000149012
FS( 14 ),5322289.280000000260770,5309785.000000000000000,10632074.280000001192093
FS( 15 ),5232764.479999999515712,5408315.000000000000000,10641079.480000000447035
FS( 16 ),5226050.120000000111759,5284735.000000000000000,10510785.120000001043081
FS( 17 ),5156668.399999999441206,5314795.000000000000000,10471463.399999998509884
FS( 18 ),5160025.580000000074506,5256345.000000000000000,10416370.580000000074506
FS( 19 ),5172335.240000000223517,5256345.000000000000000,10428680.240000000223517
FS( 20 ),5165620.879999999888241,5222945.000000000000000,10388565.879999998956919
FS( 21 ),5242836.020000000484288,5301435.000000000000000,10544271.019999999552965
FS( 22 ),5064905.479999999515712,5300600.000000000000000,10365505.480000000447035
FS( 23 ),4972023.500000000000000,5297260.000000000000000,10269283.500000000000000
FS( 24 ),5006714.360000000335276,5342350.000000000000000,10349064.359999999403954
FS( 25 ),5006714.360000000335276,5389945.000000000000000,10396659.359999999403954
FS( 26 ),4881379.639999999664724,5351535.000000000000000,10232914.640000000596046
FS( 27 ),4756044.919999999925494,5362390.000000000000000,10118434.919999999925494
FS( 28 ),4857879.379999999888241,5368235.000000000931323,10226114.380000000819564
FS( 29 ),4838855.360000000335276,5399965.000000000000000,10238820.359999999403954
FS( 30 ),4827664.759999999776483,5295590.000000000000000,10123254.759999999776483
FS( 31 ),4967547.259999999776483,5328155.000000000000000,10295702.259999999776483
FS( 32 ),4977618.799999999813735,5353205.000000000000000,10330823.800000000745058
FS( 33 ),5015666.839999999850988,5612054.999999999068677,10627721.839999999850988
FS( 34 ),5119739.419999999925494,5543585.000000000000000,10663324.419999999925494
FS( 35 ),5154430.280000000260770,5606210.000000000000000,10760640.280000001192093
FS( 36 ),5092881.979999999515712,5678020.000000000000000,10770901.980000000447035
FS( 37 ),5069381.719999999739230,5653804.999999999068677,10723186.719999998807907
FS( 38 ),5604292.399999999441206,5681360.000000000931323,11285652.400000000372529
FS( 39 ),5593101.799999999813735,5642950.000000000000000,11236051.800000000745058
FS( 40 ),5459933.660000000149012,5622075.000000000000000,11082008.660000000149012
FS( 41 ),5387194.759999999776483,5696390.000000000000000,11083584.759999999776483
FS( 42 ),5332360.819999999366701,5648795.000000000931323,10981155.820000000298023
FS( 43 ),5164501.819999999366701,5612890.000000000000000,10777391.820000000298023
FS( 44 ),4982095.040000000037253,5376585.000000000000000,10358680.039999999105930
FS( 45 ),5025738.379999999888241,5445890.000000000000000,10471628.379999998956919
FS( 46 ),5058191.120000000111759,5480125.000000000000000,10538316.120000001043081
FS( 47 ),4784021.419999999925494,5217935.000000000000000,10001956.419999999925494
FS( 48 ),4918308.620000000111759,5468435.000000000000000,10386743.620000001043081
FS( 49 ),5016785.899999999441206,5509350.000000000000000,10526135.899999998509884
FS( 50 ),4975380.679999999701977,5500165.000000000000000,10475545.679999999701977
FS( 51 ),5078334.200000000186265,5674679.999999999068677,10753014.199999999254942
FS( 52 ),5138763.440000000409782,5702235.000000000931323,10840998.440000001341105
FS( 53 ),5098477.280000000260770,5703070.000000000000000,10801547.280000001192093
FS( 54 ),5183525.839999999850988,5635435.000000000000000,10818960.839999999850988
FS( 55 ),5141001.559999999590218,5598695.000000000000000,10739696.559999998658895
FS( 56 ),5125334.719999999739230,5605375.000000000000000,10730709.719999998807907
FS( 57 ),5341313.299999999813735,5691380.000000000000000,11032693.300000000745058
FS( 58 ),5495743.580000000074506,5815795.000000000931323,11311538.580000001937151
FS( 59 ),5585268.379999999888241,5680525.000000000000000,11265793.379999998956919
FS( 60 ),5515886.660000000149012,5597025.000000000000000,11112911.660000000149012
FS( 61 ),5353622.959999999962747,5537739.999999999068677,10891362.959999999031425
FS( 62 ),5481195.799999999813735,5501835.000000000000000,10983030.800000000745058
FS( 63 ),5567363.419999999925494,5431695.000000000000000,10999058.419999999925494
FS( 64 ),5674793.179999999701977,5447560.000000000000000,11122353.179999999701977
FS( 65 ),5743055.839999999850988,5358215.000000000000000,11101270.839999999850988
