代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11224225.500000000000000
真實報酬,1224225.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11469.262543244160042
風險,146609.064820182189578
起點值,0.078230241474573
找到最佳解世代,2127
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](5),MCD[15](2),WMT[28](1),
Stock#,JNJ[12](5),MCD[15](2),WMT[28](1),
張數,32564,29124,56506,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,81.959999999962747,91.199999999720603,44.060000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323238.159999999683350,3312072.479999999515712,3297169.160000000149012,9932480.799999998882413
FS( 3 ),3282207.520000000018626,3302461.559999999590218,3336158.299999999813735,9920828.379999998956919
FS( 4 ),3352545.760000000242144,3384300.000000000000000,3371192.020000000018626,10108038.779999999329448
FS( 5 ),3364594.439999999944121,3390707.279999999795109,3418657.060000000055879,10173959.779999999329448
FS( 6 ),3335286.839999999850988,3393910.919999999925494,3368366.720000000204891,10097565.480000000447035
FS( 7 ),3326494.560000000055879,3395367.119999999646097,3341243.840000000316650,10063106.519999999552965
FS( 8 ),3342450.919999999925494,3413424.000000000000000,3365541.420000000391155,10121417.339999999850988
FS( 9 ),3311189.479999999981374,3380805.119999999646097,3354240.220000000204891,10046235.820000000298023
FS( 10 ),3326494.560000000055879,3386047.439999999944121,3412441.399999999906868,10124984.400000000372529
FS( 11 ),3390971.279999999795109,3405560.520000000018626,3370061.899999999906868,10166594.699999999254942
FS( 12 ),3427442.959999999962747,3432063.359999999869615,3407355.859999999869615,10266863.179999999701977
FS( 13 ),3375014.919999999925494,3422161.199999999720603,3332767.939999999944121,10129945.059999998658895
FS( 14 ),3319981.760000000242144,3397697.039999999571592,3325422.160000000149012,10043101.960000000894070
FS( 15 ),3307933.080000000074506,3427694.759999999776483,3364976.359999999869615,10100605.199999999254942
FS( 16 ),3344730.399999999906868,3428568.479999999515712,3420917.299999999813735,10194217.179999999701977
FS( 17 ),3370130.319999999832362,3460022.399999999441206,3451995.600000000093132,10282149.319999998435378
FS( 18 ),3377620.040000000037253,3453323.879999999422580,3437304.040000000037253,10268248.960000000894070
FS( 19 ),3361338.040000000037253,3458566.199999999720603,3432783.560000000055879,10252688.800000000745058
FS( 20 ),3387714.879999999888241,3497009.879999999422580,3481378.720000000204891,10366104.480000000447035
FS( 21 ),3379573.879999999888241,3478370.520000000018626,3485334.140000000130385,10343279.540000000968575
FS( 22 ),3345056.040000000037253,3440800.559999999590218,3463861.859999999869615,10249719.459999999031425
FS( 23 ),3272112.680000000167638,3424491.119999999646097,3472902.820000000298023,10169507.620000001043081
FS( 24 ),3285789.560000000055879,3471672.000000000000000,3555401.580000000074506,10312864.140000000596046
FS( 25 ),3269181.919999999925494,3448372.799999999813735,3591000.359999999869615,10308556.080000000074506
FS( 26 ),3231082.040000000037253,3368573.039999999571592,3674629.240000000223517,10274285.320000000298023
FS( 27 ),3196564.199999999720603,3363330.719999999739230,3590435.299999999813735,10150331.219999998807907
FS( 28 ),3177351.439999999944121,3398570.759999999776483,3628859.379999999888241,10204782.579999998211861
FS( 29 ),3199169.319999999832362,3420413.759999999776483,3594955.779999999795109,10214539.859999999403954
FS( 30 ),3159441.239999999757856,3352846.080000000074506,3498895.580000000074506,10011183.900000000372529
FS( 31 ),3220335.919999999925494,3396532.080000000074506,3563312.420000000391155,10180181.419999999925494
FS( 32 ),3158789.959999999962747,3354593.520000000018626,3499460.640000000130385,10012845.120000001043081
FS( 33 ),3175071.959999999962747,3422161.199999999720603,3535059.420000000391155,10132293.580000000074506
FS( 34 ),3118084.959999999962747,3372067.919999999925494,3437869.100000000093132,9928022.980000000447035
FS( 35 ),3124272.120000000111759,3432063.359999999869615,3496635.340000000316650,10052971.820000000298023
FS( 36 ),3150648.959999999962747,3448372.799999999813735,3542405.199999999720603,10141427.959999999031425
FS( 37 ),3139251.560000000055879,3471672.000000000000000,3585349.760000000242144,10196274.320000000298023
FS( 38 ),3294907.479999999981374,3507494.520000000018626,3616428.060000000055879,10418831.060000000521541
FS( 39 ),3326820.199999999720603,3520309.080000000074506,3613602.760000000242144,10460733.039999999105930
FS( 40 ),3330402.239999999757856,3564286.319999999366701,3628859.379999999888241,10523548.939999997615814
FS( 41 ),3401066.120000000111759,3605059.919999999925494,3749782.220000000204891,10755909.259999999776483
FS( 42 ),3398786.640000000130385,3629232.839999999850988,3814199.060000000055879,10842219.540000000968575
FS( 43 ),3367525.199999999720603,3610011.000000000000000,3778035.220000000204891,10755572.419999999925494
FS( 44 ),3391296.919999999925494,3537783.479999999515712,3744696.679999999701977,10673778.079999998211861
FS( 45 ),3383481.560000000055879,3514193.039999999571592,3753172.580000000074506,10650848.179999999701977
FS( 46 ),3274066.520000000018626,3361000.799999999813735,3785946.060000000055879,10421014.380000000819564
FS( 47 ),3321609.959999999962747,3379931.399999999441206,3780295.460000000428408,10481837.820000000298023
FS( 48 ),3320633.040000000037253,3407890.439999999944121,3718703.920000000391155,10447228.400000000372529
FS( 49 ),3312817.680000000167638,3423326.159999999683350,3717573.800000000279397,10453718.640000000596046
FS( 50 ),3311840.760000000242144,3399735.719999999739230,3691015.979999999515712,10402593.460000000894070
FS( 51 ),3315748.439999999944121,3434684.520000000018626,3739611.140000000596046,10490045.100000001490116
FS( 52 ),3332030.439999999944121,3471089.520000000018626,3723789.460000000428408,10526910.419999999925494
FS( 53 ),3337891.959999999962747,3455362.559999999590218,3735655.720000000204891,10528911.240000000223517
FS( 54 ),3394553.319999999832362,3412550.279999999795109,3623208.780000000260770,10430313.379999998956919
FS( 55 ),3391948.199999999720603,3393910.919999999925494,3653722.020000000018626,10439582.139999998733401
FS( 56 ),3411160.959999999962747,3427112.279999999795109,3708532.839999999850988,10546807.080000000074506
FS( 57 ),3389343.080000000074506,3404686.799999999813735,3756562.940000000409782,10550593.820000000298023
FS( 58 ),3417999.399999999906868,3409346.639999999664724,3792726.780000000260770,10620073.820000000298023
FS( 59 ),3464240.279999999795109,3447499.080000000074506,3844712.300000000279397,10756452.660000000149012
FS( 60 ),3444701.879999999888241,3409346.639999999664724,3758258.120000000577420,10612307.640000000596046
FS( 61 ),3426140.399999999906868,3413132.759999999776483,3748652.100000000093132,10587926.259999999776483
FS( 62 ),3491594.040000000037253,3461478.599999999627471,3755432.819999999832362,10708506.459999999031425
