代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11985089.359999999403954
真實報酬,1985089.359999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15639.607503360250121
風險,138488.164701855741441
起點值,0.112931004154976
找到最佳解世代,1902
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](10),MRK[17](1),NKE[19](4),V[25](2),
Stock#,CVX[5](10),MRK[17](1),NKE[19](4),V[25](2),
張數,22313,46554,37696,20764,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.479999999981374,50.199999999720603,1.280000000260770,14.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2491074.799999999813735,2530725.639999999664724,2483790.720000000204891,2507682.679999999701977,10013273.839999999850988
FS( 3 ),2524767.430000000167638,2532587.799999999813735,2452126.080000000074506,2530730.719999999739230,10040212.030000001192093
FS( 4 ),2535923.930000000167638,2527932.399999999441206,2459288.320000000298023,2513704.239999999757856,10036848.890000000596046
FS( 5 ),2540163.399999999906868,2535846.579999999608845,2418953.600000000093132,2530107.799999999813735,10025071.379999998956919
FS( 6 ),2529230.029999999795109,2549347.239999999757856,2454387.840000000316650,2537790.479999999981374,10070755.589999999850988
FS( 7 ),2615581.339999999850988,2567037.759999999776483,2499246.080000000074506,2585340.040000000037253,10267205.219999998807907
FS( 8 ),2605986.750000000000000,2577279.639999999664724,2518848.000000000000000,2579733.759999999776483,10281848.149999998509884
FS( 9 ),2598623.459999999962747,2577745.179999999701977,2494345.600000000093132,2558139.200000000186265,10228853.440000001341105
FS( 10 ),2568947.169999999925494,2551209.399999999441206,2495476.480000000447035,2545265.520000000018626,10160898.570000000298023
FS( 11 ),2578988.020000000018626,2572158.699999999720603,2502638.720000000204891,2562499.639999999664724,10216285.079999998211861
FS( 12 ),2574971.680000000167638,2591711.379999999888241,2484544.640000000130385,2585755.319999999832362,10236983.020000001415610
FS( 13 ),2541279.049999999813735,2543295.219999999739230,2477005.439999999944121,2558346.839999999850988,10119926.549999998882413
FS( 14 ),2554889.979999999981374,2543760.759999999776483,2518094.080000000074506,2593645.639999999664724,10210390.460000000894070
FS( 15 ),2611565.000000000000000,2546088.459999999497086,2501130.879999999888241,2558554.479999999981374,10217338.819999998435378
FS( 16 ),2537039.580000000074506,2519552.679999999701977,2428377.600000000093132,2491486.759999999776483,9976456.619999999180436
FS( 17 ),2520974.220000000204891,2486499.339999999385327,2436293.760000000242144,2429402.399999999906868,9873169.720000000670552
FS( 18 ),2573856.029999999795109,2515828.359999999869615,2484167.680000000633299,2504983.359999999869615,10078835.429999999701977
FS( 19 ),2558460.060000000055879,2502327.699999999720603,2494345.600000000093132,2437708.000000000000000,9992841.359999999403954
FS( 20 ),2501338.779999999795109,2564710.060000000055879,2466827.520000000018626,2429194.759999999776483,9962071.119999999180436
FS( 21 ),2544626.000000000000000,2535846.579999999608845,2504523.520000000018626,2483804.080000000074506,10068800.179999999701977
FS( 22 ),2504462.600000000093132,2479981.779999999795109,2417068.800000000279397,2458264.359999999869615,9859777.539999999105930
FS( 23 ),2562253.270000000018626,2518156.060000000055879,2514324.480000000447035,2475083.200000000186265,10069817.010000001639128
FS( 24 ),2554443.720000000204891,2539105.359999999869615,2579161.600000000093132,2487749.239999999757856,10160459.919999999925494
FS( 25 ),2617143.250000000000000,2538639.819999999832362,2623265.920000000391155,2516403.560000000055879,10295452.550000000745058
FS( 26 ),2560691.359999999869615,2484171.639999999664724,2546366.080000000074506,2443937.200000000186265,10035166.280000001192093
FS( 27 ),2587913.220000000204891,2614522.839999999385327,2532418.560000000521541,2466569.959999999962747,10201424.580000000074506
FS( 28 ),2651951.529999999795109,2629885.659999999683350,2525633.280000000260770,2506644.479999999981374,10314114.949999999254942
FS( 29 ),2660876.729999999981374,2616385.000000000000000,2519224.960000000428408,2487126.319999999832362,10283613.010000001639128
FS( 30 ),2660430.470000000204891,2641524.159999999683350,2554659.200000000186265,2513911.879999999888241,10370525.710000000894070
FS( 31 ),2675826.439999999944121,2661542.379999999888241,2535057.280000000260770,2507267.399999999906868,10379693.500000000000000
FS( 32 ),2693230.580000000074506,2730442.299999999813735,2527895.040000000502914,2530730.719999999739230,10482298.640000000596046
FS( 33 ),2693230.580000000074506,2759305.779999999795109,2544858.240000000223517,2570597.599999999627471,10567992.199999999254942
FS( 34 ),2762847.139999999664724,2743011.879999999888241,2495476.480000000447035,2570597.599999999627471,10571933.099999999627471
FS( 35 ),2760392.709999999962747,2729976.759999999776483,2477759.360000000335276,2573919.839999999850988,10542048.669999999925494
FS( 36 ),2729154.510000000242144,2738822.019999999552965,2491329.920000000391155,2578903.200000000186265,10538209.649999998509884
FS( 37 ),2757492.020000000018626,2804928.699999999720603,2521109.760000000242144,2584301.839999999850988,10667832.320000000298023
FS( 38 ),2734286.500000000000000,2797480.060000000055879,2524502.400000000372529,2518064.679999999701977,10574333.640000000596046
FS( 39 ),2738302.839999999850988,2776065.219999999739230,2513193.600000000093132,2516818.839999999850988,10544380.500000000000000
