代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10846759.349999999627471
真實報酬,846759.349999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10079.503621207915785
風險,267223.808212436153553
起點值,0.037719332302887
找到最佳解世代,1964
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,80945,101255,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,27.349999999627471,28.099999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5016189.000000000000000,4960510.549999999813735,9976699.550000000745058
FS( 3 ),5029140.200000000186265,4937221.899999999441206,9966362.099999999627471
FS( 4 ),5018617.349999999627471,4984811.749999999068677,10003429.099999997764826
FS( 5 ),4928768.399999999441206,4906845.399999999441206,9835613.799999998882413
FS( 6 ),4978144.849999999627471,4933171.699999999254942,9911316.549999998882413
FS( 7 ),4853489.549999999813735,4886594.399999999441206,9740083.949999999254942
FS( 8 ),4876154.149999999441206,4826853.950000000186265,9703008.099999999627471
FS( 9 ),4967621.999999999068677,4912920.700000000186265,9880542.699999999254942
FS( 10 ),4937672.349999999627471,4851155.149999999441206,9788827.500000000000000
FS( 11 ),5006475.599999999627471,4882544.199999999254942,9889019.799999998882413
FS( 12 ),4987048.799999999813735,4887606.950000000186265,9874655.750000000000000
FS( 13 ),4998381.099999999627471,4937221.899999999441206,9935603.000000000000000
FS( 14 ),4953861.349999999627471,4977723.899999999441206,9931585.250000000000000
FS( 15 ),4998381.099999999627471,5163020.549999999813735,10161401.649999998509884
FS( 16 ),4949004.649999999441206,5136694.249999999068677,10085698.899999998509884
FS( 17 ),4893962.049999999813735,5096192.249999999068677,9990154.299999998882413
FS( 18 ),4825158.799999999813735,5012150.599999999627471,9837309.399999998509884
FS( 19 ),4819492.649999999441206,5029363.950000000186265,9848856.599999999627471
FS( 20 ),4820302.099999999627471,5056702.799999999813735,9877004.899999998509884
FS( 21 ),4934434.549999999813735,5108342.849999999627471,10042777.399999998509884
FS( 22 ),4903675.449999999254942,5079991.450000000186265,9983666.899999998509884
FS( 23 ),4852680.099999999627471,5040502.000000000000000,9893182.099999999627471
FS( 24 ),4898818.750000000000000,5045564.749999999068677,9944383.500000000000000
FS( 25 ),4894771.500000000000000,5049614.949999999254942,9944386.449999999254942
FS( 26 ),4925530.599999999627471,5043539.649999999441206,9969070.250000000000000
FS( 27 ),4941719.599999999627471,5105305.200000000186265,10047024.800000000745058
FS( 28 ),4975716.500000000000000,5099229.899999999441206,10074946.399999998509884
FS( 29 ),4994333.849999999627471,5061765.549999999813735,10056099.399999998509884
FS( 30 ),5024283.500000000000000,5026326.299999999813735,10050609.800000000745058
FS( 31 ),5102800.149999999441206,5039489.450000000186265,10142289.599999999627471
FS( 32 ),5197505.799999998882413,5054677.700000000186265,10252183.500000000000000
FS( 33 ),5165127.799999999813735,5057715.349999999627471,10222843.149999998509884
FS( 34 ),5086611.149999999441206,4989874.500000000000000,10076485.649999998509884
FS( 35 ),5118989.149999999441206,5062778.099999999627471,10181767.250000000000000
FS( 36 ),5043710.299999999813735,5077966.349999999627471,10121676.649999998509884
FS( 37 ),5094705.649999999441206,5070878.499999999068677,10165584.149999998509884
FS( 38 ),5083373.349999999627471,5119480.899999999441206,10202854.250000000000000
FS( 39 ),5067184.349999999627471,5111380.499999999068677,10178564.849999997764826
FS( 40 ),5046138.649999999441206,5110367.949999999254942,10156506.599999997764826
FS( 41 ),5080135.549999999813735,5055690.250000000000000,10135825.800000000745058
FS( 42 ),5148129.349999999627471,5071891.049999999813735,10220020.399999998509884
