代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11315599.189999999478459
真實報酬,1315599.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12926.472827152734681
風險,357695.262986593006644
起點值,0.036138227605316
找到最佳解世代,1795
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),VZ[26](7),
Stock#,AAPL[0](2),MCD[15](1),VZ[26](7),
張數,111632,52099,123001,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.479999999981374,38.979999999981374,5.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331100.359999999869615,3338021.909999999683350,3365313.259999999776483,10034436.529999999329448
FS( 3 ),3337798.279999999795109,3315098.350000000093132,3349323.129999999888241,10002220.759999999776483
FS( 4 ),3360124.680000000167638,3304678.549999999813735,3366543.270000000018626,10031347.500000000000000
FS( 5 ),3491850.439999999944121,3317182.310000000055879,3361623.229999999515712,10170656.980000000447035
FS( 6 ),3494083.080000000074506,3392725.860000000335276,3407133.599999999627471,10293943.539999999105930
FS( 7 ),3556597.000000000000000,3391683.879999999888241,3439113.859999999869615,10387395.740000000223517
FS( 8 ),3585621.319999999832362,3383348.040000000037253,3420663.709999999962747,10389634.070000000298023
FS( 9 ),3595668.200000000186265,3397414.769999999552965,3431733.799999999813735,10424817.769999999552965
FS( 10 ),3613529.319999999832362,3414086.450000000186265,3419433.700000000186265,10447050.469999998807907
FS( 11 ),3569992.839999999850988,3434926.050000000279397,3434193.820000000298023,10439113.710000000894070
FS( 12 ),3578923.400000000372529,3442219.909999999683350,3441573.879999999888241,10462718.190000001341105
FS( 13 ),3574458.120000000111759,3458370.599999999627471,3467404.089999999850988,10500233.809999998658895
FS( 14 ),3582272.360000000335276,3474000.300000000279397,3484624.229999999515712,10540897.890000000596046
FS( 15 ),3544317.479999999981374,3466185.450000000186265,3496924.330000000074506,10507428.259999999776483
FS( 16 ),3584505.000000000000000,3491192.970000000204891,3525214.560000000055879,10600913.530000001192093
FS( 17 ),3641437.319999999832362,3508906.629999999888241,3562114.859999999869615,10712459.809999998658895
FS( 18 ),3658182.120000000111759,3480252.179999999701977,3503074.379999999888241,10641509.679999999701977
FS( 19 ),3614645.640000000130385,3485462.080000000074506,3485854.239999999757856,10585962.960000000894070
FS( 20 ),3682741.160000000149012,3504217.720000000204891,3492004.290000000037253,10678964.170000001788139
FS( 21 ),3706183.880000000353903,3494318.909999999683350,3501844.369999999646097,10702348.160000000149012
