代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12444605.779999999329448
真實報酬,2444605.779999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20063.187837439283612
風險,180176.194106572569581
起點值,0.111353155931200
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,90138,108790,
FS( 76 ),5992419.379999999888241,5690816.500000000000000,11683235.879999998956919
FS( 77 ),6007742.839999999850988,5678849.599999999627471,11686592.439999999478459
FS( 78 ),5991518.000000000000000,5681025.399999999441206,11672543.399999998509884
FS( 79 ),5924815.879999999888241,5625542.500000000000000,11550358.379999998956919
FS( 80 ),5991518.000000000000000,5593993.399999999441206,11585511.399999998509884
FS( 81 ),5967180.740000000223517,5564620.099999999627471,11531800.839999999850988
FS( 82 ),5929322.779999999329448,5530895.200000000186265,11460217.980000000447035
FS( 83 ),5956364.179999999701977,5535246.799999999813735,11491610.980000000447035
FS( 84 ),5950955.899999999441206,5554829.000000000000000,11505784.899999998509884
FS( 85 ),6012249.740000000223517,5576586.999999999068677,11588836.739999998360872
FS( 86 ),5978898.679999999701977,5546125.799999998882413,11525024.479999998584390
FS( 87 ),6077149.099999999627471,5550477.400000000372529,11627626.500000000000000
FS( 88 ),6029375.959999999962747,5517840.399999999441206,11547216.359999999403954
FS( 89 ),6055515.980000000447035,5513488.799999999813735,11569004.780000001192093
FS( 90 ),6152865.020000000484288,5621190.899999999441206,11774055.919999999925494
FS( 91 ),6176300.899999999441206,5650564.199999999254942,11826865.099999997764826
FS( 92 ),6151963.639999999664724,5645124.699999999254942,11797088.339999999850988
FS( 93 ),6128527.759999998845160,5622278.799999999813735,11750806.559999998658895
FS( 94 ),6162780.200000000186265,5687552.799999999813735,11850333.000000000000000
FS( 95 ),6142048.459999999962747,5698431.799999999813735,11840480.259999999776483
FS( 96 ),6199736.779999999329448,5765881.599999999627471,11965618.379999998956919
FS( 97 ),6136640.179999999701977,5795254.900000000372529,11931895.080000000074506
FS( 98 ),6215961.619999999180436,5809397.599999999627471,12025359.219999998807907
FS( 99 ),6287170.639999999664724,5831155.599999999627471,12118326.239999998360872
FS( 100 ),6221369.899999999441206,5777848.500000000000000,11999218.399999998509884
FS( 101 ),6188018.839999999850988,5723453.500000000000000,11911472.339999999850988
FS( 102 ),6215060.240000000223517,5968231.000000000000000,12183291.240000000223517
FS( 103 ),6057318.740000000223517,5857265.200000000186265,11914583.940000001341105
FS( 104 ),6107796.020000000484288,5875759.499999999068677,11983555.519999999552965
FS( 105 ),6135738.799999998882413,5953000.399999999441206,12088739.199999999254942
FS( 106 ),6086162.899999999441206,5976934.199999999254942,12063097.099999997764826
FS( 107 ),6069036.679999999701977,5974758.399999999441206,12043795.079999998211861
FS( 108 ),6021263.539999999105930,6054175.099999999627471,12075438.639999998733401
FS( 109 ),5897774.480000000447035,5944297.199999999254942,11842071.679999999701977
FS( 110 ),5959068.319999999366701,5953000.399999999441206,11912068.719999998807907
FS( 111 ),6043798.039999999105930,6011746.999999999068677,12055545.039999999105930
FS( 112 ),6137541.559999999590218,6115097.500000000000000,12252639.059999998658895
FS( 113 ),6223172.660000000149012,6110745.899999999441206,12333918.559999998658895
FS( 114 ),6236693.359999999403954,6086812.099999999627471,12323505.459999999031425
FS( 115 ),6270044.419999999925494,6110745.899999999441206,12380790.320000000298023
FS( 116 ),6238496.119999999180436,6135767.599999999627471,12374263.719999998807907
FS( 117 ),6243003.020000000484288,6154261.899999999441206,12397264.919999999925494
FS( 118 ),6228580.939999999478459,6146646.599999999627471,12375227.539999999105930
FS( 119 ),6316916.179999999701977,6206481.099999999627471,12523397.279999999329448
FS( 120 ),6277255.459999999962747,6201041.599999999627471,12478297.059999998658895
FS( 121 ),6211454.719999999739230,6146646.599999999627471,12358101.320000000298023
FS( 122 ),6130330.520000000484288,6078108.899999999441206,12208439.419999999925494
FS( 123 ),6133936.039999999105930,6172756.200000000186265,12306692.239999998360872
FS( 124 ),6214158.859999999403954,6251085.000000000000000,12465243.859999999403954
FS( 125 ),6223172.660000000149012,6256524.499999999068677,12479697.160000000149012
FS( 126 ),6177202.279999999329448,6267403.500000000000000,12444605.779999999329448
