代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12959179.089999999850988
真實報酬,2959179.089999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21657.014564446173608
風險,199352.007468369294656
起點值,0.108637052816649
找到最佳解世代,1815
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
HD[9](3),NKE[19](8),UNH[23](2),WBA[27](1),
Stock#,HD[9](3),NKE[19](8),UNH[23](2),WBA[27](1),
張數,27427,63067,28938,41659,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,28.949999999720603,24.120000000111759,46.180000000167638,43.410000000149012,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2441031.949999999720603,2485494.589999999850988,2511575.200000000186265,2508748.390000000130385,9946850.129999998956919
FS( 3 ),2466539.060000000055879,2520181.439999999944121,2519388.460000000428408,2602064.550000000279397,10108173.510000001639128
FS( 4 ),2512616.419999999925494,2587032.460000000428408,2539355.680000000167638,2664136.460000000428408,10303141.020000001415610
FS( 5 ),2490949.089999999385327,2598384.520000000484288,2543985.760000000242144,2622894.050000000279397,10256213.419999999925494
FS( 6 ),2439112.060000000055879,2580725.760000000242144,2562795.460000000428408,2608313.399999999906868,10190946.680000001564622
FS( 7 ),2447888.699999999720603,2600907.200000000186265,2524886.680000000167638,2637891.290000000037253,10211573.870000001043081
FS( 8 ),2447065.889999999664724,2580095.089999999850988,2519967.220000000204891,2642890.370000000111759,10190018.570000000298023
FS( 9 ),2436643.629999999888241,2580725.760000000242144,2493923.020000000484288,2617061.790000000037253,10128354.200000001117587
FS( 10 ),2451454.209999999497086,2573788.390000000130385,2489582.320000000298023,2612895.890000000130385,10127720.810000000521541
FS( 11 ),2475864.239999999757856,2560544.320000000298023,2522282.260000000242144,2651222.170000000391155,10209912.990000000223517
FS( 12 ),2501919.889999999664724,2570635.040000000037253,2517362.799999999813735,2654971.479999999981374,10244889.209999999031425
FS( 13 ),2525781.379999999888241,2585140.450000000186265,2535883.120000000111759,2632059.030000000260770,10278863.980000000447035
FS( 14 ),2532638.129999999888241,2580095.089999999850988,2540802.580000000074506,2619561.330000000074506,10273097.129999998956919
FS( 15 ),2520295.979999999515712,2544777.570000000298023,2539934.439999999944121,2517080.190000000409782,10122088.179999999701977
FS( 16 ),2509325.179999999701977,2526488.140000000130385,2505787.600000000093132,2545408.310000000055879,10087009.230000000447035
FS( 17 ),2551288.489999999757856,2549192.260000000242144,2552667.160000000149012,2562905.090000000316650,10216053.000000000000000
FS( 18 ),2520570.250000000000000,2515136.080000000074506,2493923.020000000484288,2519996.320000000298023,10049625.670000001788139
FS( 19 ),2546351.629999999888241,2822272.370000000111759,2506076.979999999981374,2507082.030000000260770,10381783.010000001639128
FS( 20 ),2547448.709999999497086,2810289.640000000130385,2503472.560000000521541,2482919.810000000055879,10344130.720000000670552
FS( 21 ),2516181.929999999701977,2812812.320000000298023,2495948.680000000167638,2469172.340000000316650,10294115.269999999552965
FS( 22 ),2496434.489999999757856,2765512.070000000298023,2456303.620000000111759,2459590.770000000018626,10177840.950000001117587
FS( 23 ),2529895.429999999701977,2815965.669999999925494,2456882.380000000353903,2489585.250000000000000,10292328.730000000447035
FS( 24 ),2565550.529999999795109,2847499.169999999925494,2489292.939999999944121,2531660.840000000316650,10434003.479999998584390
FS( 25 ),2557870.969999999739230,2813442.990000000223517,2462380.600000000093132,2526661.760000000242144,10360356.320000000298023
FS( 26 ),2536203.639999999664724,2777494.800000000279397,2436336.399999999906868,2492917.970000000204891,10242952.810000000521541
FS( 27 ),2580635.379999999888241,2801460.260000000242144,2506655.740000000223517,2560405.550000000279397,10449156.930000001564622
FS( 28 ),2552659.839999999385327,2751006.660000000149012,2458039.899999999906868,2564154.859999999869615,10325861.259999999776483
FS( 29 ),2538397.799999999813735,2749745.320000000298023,2471062.000000000000000,2624143.820000000298023,10383348.940000001341105
FS( 30 ),2484915.149999999441206,2692985.020000000484288,2429391.280000000260770,2528328.120000000111759,10135619.570000000298023
FS( 31 ),2471201.649999999441206,2683524.969999999739230,2396691.339999999850988,2528328.120000000111759,10079746.079999998211861
FS( 32 ),2409490.899999999441206,2686047.650000000372529,2377592.260000000242144,2539159.460000000428408,10012290.270000001415610
FS( 33 ),2437740.709999999497086,2744699.960000000428408,2471062.000000000000000,2515830.420000000391155,10169333.089999999850988
