代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11528559.049999998882413
真實報酬,1528559.049999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14224.131026910217770
風險,155812.085152023704723
起點值,0.091290293772989
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),PG[21](1),WMT[28](24),
Stock#,MCD[15](2),PG[21](1),WMT[28](24),
張數,35662,48379,52230,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,5.859999999869615,19.899999999906868,14.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3424984.340000000316650,3377357.890000000130385,3365715.599999999627471,10168058.830000000074506
FS( 3 ),3423914.479999999981374,3383163.370000000111759,3387652.199999999720603,10194731.049999998882413
FS( 4 ),3382546.559999999590218,3326559.939999999944121,3336989.100000000093132,10046096.599999999627471
FS( 5 ),3451374.219999999739230,3385582.320000000298023,3467041.799999999813735,10303999.339999999850988
FS( 6 ),3403230.520000000018626,3313013.820000000298023,3401232.000000000000000,10117477.339999999850988
FS( 7 ),3396811.359999999869615,3305273.179999999701977,3349002.000000000000000,10051087.539999999105930
FS( 8 ),3473841.279999999795109,3310111.080000000074506,3376683.900000000372529,10160637.259999999776483
FS( 9 ),3458150.000000000000000,3292694.640000000130385,3357358.799999999813735,10108204.440000001341105
FS( 10 ),3501657.639999999664724,3359941.450000000186265,3359447.999999999534339,10221048.089999999850988
FS( 11 ),3519488.639999999664724,3391387.799999999813735,3378773.099999999627471,10289650.539999999105930
FS( 12 ),3489175.939999999944121,3398160.859999999869615,3367282.500000000000000,10254620.300000000745058
FS( 13 ),3461002.959999999962747,3383647.159999999683350,3308262.600000000093132,10152913.719999998807907
FS( 14 ),3491315.660000000149012,3417996.250000000000000,3328110.000000000000000,10237422.910000000149012
FS( 15 ),3466352.259999999776483,3395741.909999999683350,3321320.100000000093132,10183415.269999999552965
FS( 16 ),3472771.419999999925494,3399128.439999999944121,3328110.000000000000000,10200010.859999999403954
FS( 17 ),3469561.840000000316650,3452345.339999999850988,3333855.299999999813735,10255763.480000000447035
FS( 18 ),3480260.439999999944121,3515721.830000000074506,3331243.799999999813735,10327227.070000000298023
FS( 19 ),3422131.379999999422580,3472180.729999999515712,3324976.199999999720603,10219289.309999998658895
FS( 20 ),3476337.620000000111759,3496854.020000000018626,3331243.799999999813735,10304436.440000001341105
FS( 21 ),3513782.719999999739230,3480405.159999999683350,3386607.600000000093132,10380796.479999998584390
FS( 22 ),3522698.219999999739230,3480888.950000000186265,3356836.499999999534339,10360424.669999999925494
FS( 23 ),3558716.840000000316650,3503627.080000000074506,3393919.800000000279397,10456264.720000000670552
FS( 24 ),3607930.399999999906868,3542330.279999999795109,3440404.500000000000000,10590666.179999999701977
FS( 25 ),3633963.660000000149012,3551038.500000000000000,3430480.800000000279397,10615483.960000000894070
