代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11325405.580000000074506
真實報酬,1325405.580000000074506

夏普值報酬,0.123840558000000
夏普值風險,0.058035578791576
夏普值,2.133873058193329

二次趨勢線,76.039228393920411 x^2 + -13860.389768767903661 x + 10000000.000000000000000
二次加權預期報酬,11840.869428377194708
風險,194573.619691056577722
二次加權趨勢值,0.060855471811534
一次趨勢線,596.512287593375049 x + 10000000.000000000000000
一次預期報酬,596.512287593375049
一次風險,580436.652857061824761
一次趨勢值,0.001027695760868
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),UNH[23](2),WMT[28](6),XOM[29](3),
Stock#,JNJ[12](1),UNH[23](2),WMT[28](6),XOM[29](3),
張數,25388,20262,34780,30350,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.640000000130385,74.439999999944121,13.600000000093132,70.500000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2499238.359999999869615,2468188.660000000149012,2499304.399999999906868,2523369.500000000000000,9990100.919999999925494
FS( 3 ),2493145.240000000223517,2475280.359999999869615,2522607.000000000000000,2504856.000000000000000,9995888.599999999627471
FS( 4 ),2511424.600000000093132,2445697.839999999850988,2566429.800000000279397,2515175.000000000000000,10038727.240000000223517
FS( 5 ),2482228.399999999906868,2406794.799999999813735,2541040.400000000372529,2487860.000000000000000,9917923.599999999627471
FS( 6 ),2498222.840000000316650,2418141.520000000018626,2531302.000000000000000,2476630.500000000000000,9924296.859999999403954
FS( 7 ),2526911.280000000260770,2475077.740000000223517,2543127.200000000186265,2495447.500000000000000,10040563.720000000670552
FS( 8 ),2545698.399999999906868,2481156.339999999850988,2569560.000000000000000,2501517.500000000000000,10097932.240000000223517
FS( 9 ),2533258.280000000260770,2532824.439999999944121,2566429.800000000279397,2522459.000000000000000,10154971.520000001415610
FS( 10 ),2549506.600000000093132,2550249.759999999776483,2561560.600000000093132,2511836.500000000000000,10173153.459999999031425
FS( 11 ),2567024.320000000298023,2531406.100000000093132,2567821.000000000000000,2516389.000000000000000,10182640.419999999925494
FS( 12 ),2540874.680000000167638,2509523.139999999664724,2552517.800000000279397,2507284.000000000000000,10110199.620000001043081
FS( 13 ),2548237.200000000186265,2485208.740000000223517,2542431.600000000093132,2481486.500000000000000,10057364.040000000968575
FS( 14 ),2547475.560000000055879,2448939.759999999776483,2529910.799999999813735,2478451.500000000000000,10004777.620000001043081
FS( 15 ),2543413.480000000447035,2443874.259999999776483,2544518.399999999906868,2482397.000000000000000,10014203.140000000596046
FS( 16 ),2543921.240000000223517,2417938.899999999906868,2521911.400000000372529,2462669.500000000000000,9946441.040000000968575
FS( 17 ),2517263.840000000316650,2389774.719999999739230,2489566.000000000000000,2426249.500000000000000,9822854.060000000521541
FS( 18 ),2495176.280000000260770,2388559.000000000000000,2482610.000000000000000,2405611.500000000000000,9771956.780000001192093
FS( 19 ),2513963.399999999906868,2462312.679999999701977,2507651.600000000093132,2503338.500000000000000,9987266.179999999701977
FS( 20 ),2531988.880000000353903,2462312.679999999701977,2512173.000000000000000,2523369.500000000000000,10029844.060000000521541
FS( 21 ),2534781.560000000055879,2442861.160000000149012,2509738.399999999906868,2519424.000000000000000,10006805.120000001043081
FS( 22 ),2544175.120000000111759,2459881.240000000223517,2503478.000000000000000,2404094.000000000000000,9911628.359999999403954
FS( 23 ),2539351.399999999906868,2449547.620000000111759,2510434.000000000465661,2369191.500000000000000,9868524.519999999552965
FS( 24 ),2533766.040000000037253,2448534.520000000018626,2512868.600000000093132,2342180.000000000000000,9837349.160000000149012
FS( 25 ),2552045.399999999906868,2510941.479999999981374,2556691.400000000372529,2342180.000000000000000,9961858.280000001192093
FS( 26 ),2515232.799999999813735,2472848.919999999925494,2531649.800000000279397,2370102.000000000000000,9889833.519999999552965
FS( 27 ),2509647.439999999944121,2468391.279999999795109,2478088.600000000093132,2331861.000000000000000,9787988.320000000298023
FS( 28 ),2533512.160000000149012,2481764.200000000186265,2486088.000000000000000,2390133.000000000000000,9891497.359999999403954
FS( 29 ),2513709.520000000484288,2477306.560000000055879,2501739.000000000465661,2351892.000000000000000,9844647.080000000074506
FS( 30 ),2506093.120000000111759,2455828.839999999850988,2524346.000000000000000,2391347.000000000000000,9877614.960000000894070
FS( 31 ),2500253.880000000353903,2442050.679999999701977,2507999.399999999906868,2387098.000000000000000,9837401.960000000894070
FS( 32 ),2508631.920000000391155,2452181.679999999701977,2517390.000000000000000,2378296.500000000000000,9856500.099999999627471
FS( 33 ),2535543.200000000186265,2508915.279999999795109,2501043.399999999906868,2390740.000000000000000,9936241.880000000819564
FS( 34 ),2522849.200000000186265,2542955.439999999944121,2416528.000000000000000,2364335.500000000000000,9846668.140000000596046
FS( 35 ),2521325.920000000391155,2496758.080000000074506,2384878.199999999720603,2313651.000000000000000,9716613.199999999254942
FS( 36 ),2508124.160000000149012,2427259.419999999925494,2380009.000000000465661,2263270.000000000000000,9578662.580000000074506
FS( 37 ),2426120.920000000391155,2356139.799999999813735,2314274.800000000279397,2189216.000000000000000,9285751.520000001415610
FS( 38 ),2356557.799999999813735,2237607.100000000093132,2224194.600000000093132,2085722.500000000000000,8904082.000000000000000
FS( 39 ),2303496.880000000353903,2228489.200000000186265,2194631.600000000093132,2085418.999999999767169,8812036.679999999701977
FS( 40 ),2414696.320000000298023,2299000.959999999962747,2254801.000000000000000,2200445.500000000000000,9168943.780000001192093
FS( 41 ),2442877.000000000000000,2386330.179999999701977,2298276.000000000000000,2271768.000000000000000,9399251.179999999701977
FS( 42 ),2416219.600000000093132,2376401.799999999813735,2258626.799999999813735,2278445.000000000000000,9329693.199999999254942
FS( 43 ),2386007.880000000353903,2344387.839999999850988,2251323.000000000000000,2283604.500000000000000,9265323.220000000670552
FS( 44 ),2338024.560000000055879,2282183.500000000000000,2219673.200000000186265,2187698.500000000000000,9027579.760000001639128
FS( 45 ),2370013.439999999944121,2314602.700000000186265,2241236.799999999813735,2222601.000000000000000,9148453.940000001341105
FS( 46 ),2351987.959999999962747,2309739.819999999832362,2255844.399999999906868,2239597.000000000000000,9157169.179999999701977
FS( 47 ),2318221.920000000391155,2276712.759999999776483,2222107.800000000279397,2199231.500000000000000,9016273.980000000447035
FS( 48 ),2384992.359999999869615,2352290.020000000018626,2308710.000000000000000,2230795.500000000000000,9276787.879999998956919
FS( 49 ),2341325.000000000000000,2331825.399999999906868,2264887.200000000186265,2185270.500000000000000,9123308.100000001490116
FS( 50 ),2354019.000000000000000,2366068.179999999701977,2230107.200000000186265,2201052.500000000000000,9151246.879999998956919
FS( 51 ),2359350.480000000447035,2405173.839999999850988,2248540.600000000093132,2206212.000000000000000,9219276.919999999925494
FS( 52 ),2369251.799999999813735,2386938.040000000037253,2235672.000000000000000,2200142.000000000000000,9192003.839999999850988
FS( 53 ),2396670.840000000316650,2432122.299999999813735,2237063.199999999720603,2211371.500000000000000,9277227.839999999850988
FS( 54 ),2402002.320000000298023,2454815.740000000223517,2249931.799999999813735,2255075.500000000000000,9361825.359999999403954
FS( 55 ),2407841.560000000055879,2497568.560000000055879,2242280.200000000186265,2259931.500000000000000,9407621.820000000298023
FS( 56 ),2371028.959999999962747,2481561.580000000074506,2202978.800000000279397,2205908.500000000000000,9261477.839999999850988
FS( 57 ),2364428.080000000074506,2511346.719999999739230,2216195.200000000186265,2227457.000000000000000,9319427.000000000000000
FS( 58 ),2367220.759999999776483,2490882.100000000093132,2211673.800000000279397,2207729.500000000000000,9277506.160000000149012
FS( 59 ),2360873.759999999776483,2497973.799999999813735,2216195.200000000186265,2194375.500000000000000,9269418.259999999776483
FS( 60 ),2347925.880000000353903,2453600.020000000018626,2220021.000000000000000,2207426.000000000000000,9228972.900000000372529
FS( 61 ),2310351.640000000130385,2357963.379999999888241,2218282.000000000000000,2222601.000000000000000,9109198.019999999552965
FS( 62 ),2319745.200000000186265,2283601.839999999850988,2214108.399999999906868,2203480.500000000000000,9020935.939999999478459
FS( 63 ),2362143.160000000149012,2314400.080000000074506,2218282.000000000000000,2214710.000000000000000,9109535.240000000223517
FS( 64 ),2370013.439999999944121,2350669.060000000055879,2255148.800000000279397,2256593.000000000000000,9232424.300000000745058
FS( 65 ),2365443.600000000093132,2362826.259999999776483,2235324.200000000186265,2247791.500000000000000,9211385.559999998658895
FS( 66 ),2384738.480000000447035,2407807.899999999906868,2260018.000000000000000,2303028.500000000000000,9355592.880000000819564
FS( 67 ),2405810.520000000484288,2424422.740000000223517,2290972.200000000186265,2331254.000000000000000,9452459.460000000894070
FS( 68 ),2371790.600000000093132,2351479.540000000037253,2284364.000000000465661,2364032.000000000000000,9371666.140000000596046
FS( 69 ),2411395.880000000353903,2359179.100000000093132,2308014.399999999906868,2403790.500000000000000,9482379.880000000819564
FS( 70 ),2413934.680000000167638,2352087.399999999906868,2326100.000000000000000,2428981.000000000000000,9521103.080000000074506
FS( 71 ),2421297.200000000186265,2416723.179999999701977,2319491.799999999813735,2405611.500000000000000,9563123.679999999701977
FS( 72 ),2437037.759999999776483,2482372.060000000055879,2327839.000000000465661,2406825.500000000000000,9654074.320000000298023
FS( 73 ),2423328.240000000223517,2512359.819999999832362,2320883.000000000000000,2402576.500000000000000,9659147.560000000521541
FS( 74 ),2399971.280000000260770,2473456.779999999795109,2087857.000000000232831,2432926.500000000000000,9394211.560000000521541
