代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14022802.000000000000000
真實報酬,4022802.000000000000000

夏普值報酬,0.393580200000000
夏普值風險,0.081914963209102
夏普值,4.804741216758133

二次趨勢線,13.519435674190532 x^2 + 9627.742007012933755 x + 10000000.000000000000000
二次加權預期報酬,14179.285350657075469
風險,367377.609929457015824
二次加權趨勢值,0.038595943158811
一次趨勢線,12187.975098627875923 x + 10000000.000000000000000
一次預期報酬,12187.975098627875923
一次風險,379830.714046466862783
一次趨勢值,0.032087913504375
找到最佳解世代,2016
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,228050,
分配資金,10000000.000000000000000,
剩餘資金,7.500000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10182440.000000000000000,10182440.000000000000000
FS( 3 ),10296465.000000000000000,10296465.000000000000000
FS( 4 ),10173318.000000000000000,10173318.000000000000000
FS( 5 ),10043329.500000000000000,10043329.500000000000000
FS( 6 ),10129988.500000000000000,10129988.500000000000000
FS( 7 ),9947548.500000000000000,9947548.500000000000000
FS( 8 ),9942987.500000000000000,9942987.500000000000000
FS( 9 ),9737742.500000000000000,9737742.500000000000000
FS( 10 ),9703535.000000000000000,9703535.000000000000000
FS( 11 ),9712657.000000000000000,9712657.000000000000000
FS( 12 ),9924743.500000000000000,9924743.500000000000000
FS( 13 ),9940707.000000000000000,9940707.000000000000000
FS( 14 ),10136830.000000000000000,10136830.000000000000000
FS( 15 ),10335233.500000000000000,10335233.500000000000000
FS( 16 ),10246294.000000000000000,10246294.000000000000000
FS( 17 ),10305587.000000000000000,10305587.000000000000000
FS( 18 ),10364880.000000000000000,10364880.000000000000000
FS( 19 ),10449258.500000000000000,10449258.500000000000000
FS( 20 ),10542759.000000000000000,10542759.000000000000000
FS( 21 ),10485746.500000000000000,10485746.500000000000000
FS( 22 ),10604332.500000000000000,10604332.500000000000000
FS( 23 ),10602052.000000000000000,10602052.000000000000000
FS( 24 ),10656784.000000000000000,10656784.000000000000000
FS( 25 ),10713796.500000000000000,10713796.500000000000000
FS( 26 ),10795894.500000000000000,10795894.500000000000000
FS( 27 ),10786772.500000000000000,10786772.500000000000000
FS( 28 ),10693272.000000000000000,10693272.000000000000000
FS( 29 ),10827821.500000000000000,10827821.500000000000000
FS( 30 ),10818699.500000000000000,10818699.500000000000000
FS( 31 ),10925883.000000000000000,10925883.000000000000000
FS( 32 ),10960090.500000000000000,10960090.500000000000000
FS( 33 ),10889395.000000000000000,10889395.000000000000000
