代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13429150.320000000298023
真實報酬,3429150.320000000298023

夏普值報酬,0.334215032000000
夏普值風險,0.105816611854389
夏普值,3.158436337575267

二次趨勢線,78.990053879389777 x^2 + -4398.473145309568281 x + 10000000.000000000000000
二次加權預期報酬,21878.884778567429748
風險,167523.471977062057704
二次加權趨勢值,0.130601906230568
一次趨勢線,10382.481325608321640 x + 10000000.000000000000000
一次預期報酬,10382.481325608321640
一次風險,575230.815279784146696
一次趨勢值,0.018049243972715
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](2),BA[2](1),JNJ[12](4),V[25](3),
Stock#,AXP[1](2),BA[2](1),JNJ[12](4),V[25](3),
張數,42337,34162,36764,78963,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,0.149999999906868,24.839999999850988,48.000000000000000,31.419999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2515241.319999999832362,2537236.579999999608845,2501470.560000000055879,2494472.589999999850988,10048421.049999998882413
FS( 3 ),2508467.399999999906868,2543044.119999999646097,2491911.919999999925494,2507106.669999999925494,10050530.109999999403954
FS( 4 ),2482218.459999999962747,2517422.619999999646097,2486764.959999999962747,2473152.580000000074506,9959558.620000001043081
FS( 5 ),2472904.319999999832362,2529037.699999999720603,2491911.919999999925494,2440777.750000000000000,9934631.689999999478459
FS( 6 ),2472057.580000000074506,2501366.479999999981374,2495588.319999999832362,2413930.330000000074506,9882942.710000000894070
FS( 7 ),2458933.109999999869615,2443291.079999999608845,2496323.600000000093132,2383924.390000000130385,9782472.179999999701977
FS( 8 ),2410245.560000000055879,2449781.859999999869615,2489338.439999999944121,2421037.000000000000000,9770402.859999999403954
FS( 9 ),2452582.560000000055879,2511273.459999999962747,2522426.040000000037253,2449463.679999999701977,9935745.739999998360872
FS( 10 ),2482641.830000000074506,2492825.979999999981374,2516543.800000000279397,2510265.189999999944121,10002276.800000000745058
FS( 11 ),2484335.310000000055879,2497608.659999999683350,2536764.000000000000000,2531585.200000000186265,10050293.169999999925494
FS( 12 ),2467823.879999999888241,2524255.020000000018626,2550366.680000000167638,2523688.899999999906868,10066134.480000000447035
FS( 13 ),2380609.659999999683350,2557392.159999999683350,2556248.919999999925494,2475521.470000000204891,9969772.209999999031425
FS( 14 ),2362828.120000000111759,2524255.020000000018626,2523161.319999999832362,2482628.140000000130385,9892872.600000001490116
FS( 15 ),2359441.159999999683350,2490776.259999999776483,2504044.040000000037253,2457359.979999999981374,9811621.439999999478459
FS( 16 ),2355207.459999999962747,2460713.699999999720603,2476103.399999999906868,2421037.000000000000000,9713061.560000000521541
FS( 17 ),2372989.000000000000000,2529037.699999999720603,2482720.919999999925494,2412351.069999999832362,9797098.689999999478459
FS( 18 ),2445385.270000000018626,2559100.259999999776483,2527205.359999999869615,2502368.890000000130385,10034059.779999999329448
FS( 19 ),2477984.759999999776483,2579597.459999999962747,2555881.279999999795109,2548957.060000000055879,10162420.560000000521541
FS( 20 ),2467823.879999999888241,2557392.159999999683350,2553307.800000000279397,2582911.149999999906868,10161434.990000000223517
FS( 21 ),2443268.419999999925494,2524938.259999999776483,2544852.080000000074506,2548167.430000000167638,10061226.189999999478459
FS( 22 ),2404741.750000000000000,2485993.579999999608845,2550734.319999999832362,2516582.229999999981374,9958051.880000000819564
FS( 23 ),2391617.279999999795109,2459347.219999999739230,2516543.800000000279397,2552115.580000000074506,9919623.880000000819564
FS( 24 ),2439034.719999999739230,2487360.060000000055879,2541175.680000000167638,2585280.040000000037253,10052850.500000000000000
FS( 25 ),2417442.850000000093132,2490093.020000000018626,2530881.760000000242144,2586859.299999999813735,10025276.929999999701977
FS( 26 ),2440304.830000000074506,2543727.359999999869615,2510661.560000000055879,2574225.220000000204891,10068918.970000000670552
FS( 27 ),2451735.819999999832362,2548510.039999999571592,2512867.399999999906868,2589228.189999999944121,10102341.449999999254942
FS( 28 ),2390770.540000000037253,2537578.199999999720603,2511764.479999999981374,2537112.610000000335276,9977225.830000001937151
FS( 29 ),2364521.600000000093132,2535186.859999999869615,2523528.959999999962747,2548167.430000000167638,9971404.849999999627471
FS( 30 ),2376375.959999999962747,2534503.619999999646097,2516911.439999999944121,2533164.459999999962747,9960955.480000000447035
FS( 31 ),2374259.109999999869615,2521522.060000000055879,2523528.959999999962747,2563960.029999999795109,9983270.160000000149012
FS( 32 ),2398814.569999999832362,2496242.179999999701977,2512867.399999999906868,2548167.430000000167638,9956091.580000000074506
FS( 33 ),2428873.839999999850988,2515714.520000000018626,2507352.800000000279397,2560011.879999999888241,10011953.039999999105930
FS( 34 ),2438187.979999999981374,2524938.259999999776483,2492647.199999999720603,2540271.129999999888241,9996044.570000000298023
FS( 35 ),2408975.449999999720603,2522205.299999999813735,2488970.800000000279397,2530005.939999999944121,9950157.490000000223517
FS( 36 ),2396274.350000000093132,2503074.579999999608845,2491911.919999999925494,2517371.859999999869615,9908632.709999999031425
FS( 37 ),2405588.489999999757856,2487018.439999999944121,2490809.000000000000000,2529216.310000000055879,9912632.240000000223517
FS( 38 ),2388653.689999999944121,2403663.159999999683350,2490441.359999999869615,2510265.189999999944121,9793023.399999998509884
FS( 39 ),2433954.279999999795109,2428601.419999999925494,2485294.399999999906868,2500789.629999999888241,9848639.730000000447035
FS( 40 ),2430990.689999999944121,2438508.399999999906868,2481250.359999999869615,2520530.379999999888241,9871279.829999998211861
FS( 41 ),2436917.870000000111759,2443291.079999999608845,2481985.640000000130385,2515002.970000000204891,9877197.560000000521541
FS( 42 ),2430990.689999999944121,2440558.119999999646097,2476838.680000000167638,2527637.049999999813735,9876024.539999999105930
FS( 43 ),2420406.439999999944121,2419377.679999999701977,2470956.439999999944121,2501579.259999999776483,9812319.819999998435378
FS( 44 ),2468247.250000000000000,2439191.640000000130385,2479044.520000000018626,2531585.200000000186265,9918068.609999999403954
FS( 45 ),2481371.719999999739230,2421085.779999999795109,2472794.640000000130385,2537112.610000000335276,9912364.750000000000000
FS( 46 ),2421253.179999999701977,2456955.879999999888241,2473162.279999999795109,2518951.119999999646097,9870322.459999999031425
FS( 47 ),2430567.319999999832362,2487701.679999999701977,2494117.760000000242144,2556853.360000000335276,9969240.120000001043081
FS( 48 ),2444115.159999999683350,2490093.020000000018626,2495588.319999999832362,2560801.509999999776483,9990598.009999999776483
FS( 49 ),2435224.390000000130385,2428259.799999999813735,2506617.520000000018626,2540271.129999999888241,9910372.839999999850988
FS( 50 ),2422946.659999999683350,2434750.579999999608845,2507352.800000000279397,2595545.229999999515712,9960595.269999999552965
FS( 51 ),2424640.140000000130385,2424160.359999999869615,2505514.600000000093132,2635026.729999999515712,9989341.829999998211861
FS( 52 ),2500000.000000000000000,2445340.799999999813735,2536396.359999999869615,2664243.040000000037253,10145980.199999999254942
FS( 53 ),2509314.140000000130385,2435092.199999999720603,2517279.080000000074506,2650029.700000000186265,10111715.120000001043081
FS( 54 ),2505503.810000000055879,2388631.879999999888241,2509191.000000000000000,2642923.029999999795109,10046249.719999998807907
FS( 55 ),2483911.939999999944121,2406737.739999999757856,2520220.199999999720603,2638974.879999999888241,10049844.759999997913837
FS( 56 ),2483911.939999999944121,2387948.640000000130385,2522058.399999999906868,2661084.520000000018626,10055003.500000000000000
FS( 57 ),2469940.729999999981374,2386240.539999999571592,2533087.600000000093132,2657136.369999999646097,10046405.239999998360872
