代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14034276.320000000298023
真實報酬,4034276.320000000298023

夏普值報酬,0.394727632000000
夏普值風險,0.105354899399490
夏普值,3.746647135063469

二次趨勢線,12.335051072968625 x^2 + 13900.516237261912465 x + 10000000.000000000000000
二次加權預期報酬,18020.423295633438102
風險,272606.281692317046691
二次加權趨勢值,0.066104211479516
一次趨勢線,16217.954724773238922 x + 10000000.000000000000000
一次預期報酬,16217.954724773238922
一次風險,286038.278084757213946
一次趨勢值,0.056698546898564
找到最佳解世代,1613
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,127991,
分配資金,10000000.000000000000000,
剩餘資金,63.169999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9970562.070000000298023,9970562.070000000298023
FS( 3 ),10138230.279999999329448,10138230.279999999329448
FS( 4 ),10151029.380000000819564,10151029.380000000819564
FS( 5 ),9965442.429999999701977,9965442.429999999701977
FS( 6 ),10216304.789999999105930,10216304.789999999105930
FS( 7 ),10131830.729999998584390,10131830.729999998584390
FS( 8 ),10097273.160000000149012,10097273.160000000149012
FS( 9 ),10151029.380000000819564,10151029.380000000819564
FS( 10 ),10179187.400000000372529,10179187.400000000372529
FS( 11 ),10243182.900000000372529,10243182.900000000372529
FS( 12 ),10203505.689999999478459,10203505.689999999478459
FS( 13 ),10076794.599999999627471,10076794.599999999627471
FS( 14 ),10070395.050000000745058,10070395.050000000745058
FS( 15 ),10048636.580000000074506,10048636.580000000074506
FS( 16 ),10110072.259999999776483,10110072.259999999776483
FS( 17 ),10171507.939999999478459,10171507.939999999478459
FS( 18 ),10250862.360000001266599,10250862.360000001266599
FS( 19 ),10313577.949999999254942,10313577.949999999254942
FS( 20 ),10264941.370000001043081,10264941.370000001043081
FS( 21 ),10351975.250000000000000,10351975.250000000000000
FS( 22 ),10322537.320000000298023,10322537.320000000298023
FS( 23 ),10495325.169999999925494,10495325.169999999925494
FS( 24 ),10537562.199999999254942,10537562.199999999254942
FS( 25 ),10561880.490000000223517,10561880.490000000223517
FS( 26 ),10577239.410000000149012,10577239.410000000149012
FS( 27 ),10540122.019999999552965,10540122.019999999552965
FS( 28 ),10418530.570000000298023,10418530.570000000298023
FS( 29 ),10422370.300000000745058,10422370.300000000745058
FS( 30 ),10433889.490000000223517,10433889.490000000223517
FS( 31 ),10407011.380000000819564,10407011.380000000819564
FS( 32 ),10533722.469999998807907,10533722.469999998807907
FS( 33 ),10711629.959999999031425,10711629.959999999031425
FS( 34 ),10711629.959999999031425,10711629.959999999031425
FS( 35 ),10705230.410000000149012,10705230.410000000149012
FS( 36 ),10738508.070000000298023,10738508.070000000298023
FS( 37 ),10673232.660000000149012,10673232.660000000149012
FS( 38 ),10654034.009999999776483,10654034.009999999776483
FS( 39 ),10669392.929999999701977,10669392.929999999701977
FS( 40 ),10679632.209999999031425,10679632.209999999031425
FS( 41 ),10684751.849999999627471,10684751.849999999627471
FS( 42 ),10686031.759999999776483,10686031.759999999776483
FS( 43 ),10675792.479999998584390,10675792.479999998584390
FS( 44 ),10616916.620000001043081,10616916.620000001043081
FS( 45 ),10584918.870000001043081,10584918.870000001043081
FS( 46 ),10660433.560000000521541,10660433.560000000521541
FS( 47 ),10578519.320000000298023,10578519.320000000298023
FS( 48 ),10483805.979999998584390,10483805.979999998584390
FS( 49 ),10543961.750000000000000,10543961.750000000000000
FS( 50 ),10496605.080000000074506,10496605.080000000074506
FS( 51 ),10637395.179999999701977,10637395.179999999701977
FS( 52 ),10680912.120000001043081,10680912.120000001043081
FS( 53 ),10701390.679999999701977,10701390.679999999701977
FS( 54 ),10783304.919999999925494,10783304.919999999925494
FS( 55 ),10751307.169999999925494,10751307.169999999925494
FS( 56 ),10751307.169999999925494,10751307.169999999925494
FS( 57 ),10925374.929999999701977,10925374.929999999701977
FS( 58 ),10984250.789999999105930,10984250.789999999105930
FS( 59 ),10785864.740000000223517,10785864.740000000223517
FS( 60 ),10638675.089999999850988,10638675.089999999850988
FS( 61 ),10656593.830000000074506,10656593.830000000074506
FS( 62 ),10605397.429999999701977,10605397.429999999701977
FS( 63 ),10652754.099999999627471,10652754.099999999627471
FS( 64 ),10709070.140000000596046,10709070.140000000596046
FS( 65 ),10797383.929999999701977,10797383.929999999701977
FS( 66 ),10627155.900000000372529,10627155.900000000372529
FS( 67 ),10485085.890000000596046,10485085.890000000596046
FS( 68 ),10514523.820000000298023,10514523.820000000298023
FS( 69 ),10546521.570000000298023,10546521.570000000298023
FS( 70 ),10520923.370000001043081,10520923.370000001043081
FS( 71 ),10423650.209999999031425,10423650.209999999031425
FS( 72 ),10094713.339999999850988,10094713.339999999850988
FS( 73 ),10119031.630000000819564,10119031.630000000819564
FS( 74 ),10255982.000000000000000,10255982.000000000000000
FS( 75 ),10368614.080000000074506,10368614.080000000074506
FS( 76 ),10477406.429999999701977,10477406.429999999701977
FS( 77 ),10270061.009999999776483,10270061.009999999776483
FS( 78 ),11173677.469999998807907,11173677.469999998807907
FS( 79 ),11084083.769999999552965,11084083.769999999552965
FS( 80 ),11155758.729999998584390,11155758.729999998584390
FS( 81 ),11450138.029999999329448,11450138.029999999329448
FS( 82 ),11391262.169999999925494,11391262.169999999925494
FS( 83 ),11245352.429999999701977,11245352.429999999701977
FS( 84 ),11293989.009999999776483,11293989.009999999776483
FS( 85 ),11415580.459999999031425,11415580.459999999031425
FS( 86 ),11350305.050000000745058,11350305.050000000745058
FS( 87 ),11466776.860000001266599,11466776.860000001266599
FS( 88 ),11494934.880000000819564,11494934.880000000819564
FS( 89 ),11672842.370000001043081,11672842.370000001043081
FS( 90 ),11712519.580000000074506,11712519.580000000074506
FS( 91 ),11684361.560000000521541,11684361.560000000521541
FS( 92 ),11693320.929999999701977,11693320.929999999701977
FS( 93 ),11827711.479999998584390,11827711.479999998584390
FS( 94 ),11864828.870000001043081,11864828.870000001043081
FS( 95 ),11963381.939999999478459,11963381.939999999478459
FS( 96 ),11965941.759999999776483,11965941.759999999776483
FS( 97 ),12009458.699999999254942,12009458.699999999254942
FS( 98 ),12008178.789999999105930,12008178.789999999105930
FS( 99 ),11940343.560000000521541,11940343.560000000521541
FS( 100 ),11788034.269999999552965,11788034.269999999552965
FS( 101 ),11699720.479999998584390,11699720.479999998584390
FS( 102 ),11716359.310000000521541,11716359.310000000521541
FS( 103 ),11767555.709999999031425,11767555.709999999031425
FS( 104 ),11867388.689999999478459,11867388.689999999478459
FS( 105 ),11904506.080000000074506,11904506.080000000074506
FS( 106 ),11880187.789999999105930,11880187.789999999105930
FS( 107 ),12096492.580000000074506,12096492.580000000074506
FS( 108 ),11944183.289999999105930,11944183.289999999105930
FS( 109 ),11942903.380000000819564,11942903.380000000819564
FS( 110 ),11973621.219999998807907,11973621.219999998807907
FS( 111 ),11832831.120000001043081,11832831.120000001043081
FS( 112 ),11907065.900000000372529,11907065.900000000372529
FS( 113 ),12019697.979999998584390,12019697.979999998584390
FS( 114 ),12035056.900000000372529,12035056.900000000372529
FS( 115 ),12349914.759999999776483,12349914.759999999776483
