代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12053493.259999999776483
真實報酬,2053493.259999999776483

夏普值報酬,0.196649326000000
夏普值風險,0.063365818203672
夏普值,3.103397566301818

二次趨勢線,59.222819030408210 x^2 + -7184.017427560842407 x + 10000000.000000000000000
二次加權預期報酬,12754.331646009926772
風險,231403.325973940314725
二次加權趨勢值,0.055117322071016
一次趨勢線,4031.259948981852176 x + 10000000.000000000000000
一次預期報酬,4031.259948981852176
一次風險,481773.726716136501636
一次趨勢值,0.008367537965301
找到最佳解世代,1797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](3),
Stock#,MCD[15](1),VZ[26](3),
張數,51926,102207,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,45.459999999962747,33.559999999590218,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4976114.040000000037253,5056213.849999999627471,10032327.890000000596046
FS( 3 ),4999480.740000000223517,5072566.969999999739230,10072047.710000000894070
FS( 4 ),5003115.559999999590218,5035772.450000000186265,10038888.009999999776483
FS( 5 ),5029078.559999999590218,5021463.469999999739230,10050542.029999999329448
FS( 6 ),5013500.759999999776483,5009198.629999998956919,10022699.389999998733401
FS( 7 ),5078408.259999999776483,5030662.099999999627471,10109070.359999999403954
FS( 8 ),5059714.899999999441206,5012264.839999999850988,10071979.739999998360872
FS( 9 ),5066984.540000000037253,5026573.819999999366701,10093558.359999999403954
FS( 10 ),5007788.899999999441206,5048037.290000000037253,10055826.189999999478459
FS( 11 ),4965728.839999999850988,5035772.450000000186265,10001501.289999999105930
FS( 12 ),4926784.339999999850988,4997955.859999999403954,9924740.199999999254942
FS( 13 ),4994288.140000000596046,5047015.219999999739230,10041303.359999999403954
FS( 14 ),4926265.080000000074506,5025551.750000000000000,9951816.830000000074506
FS( 15 ),5080485.299999999813735,5066434.549999999813735,10146919.849999999627471
FS( 16 ),5036867.459999999962747,5115493.909999999217689,10152361.369999999180436
FS( 17 ),5127218.699999999254942,5113449.769999999552965,10240668.469999998807907
FS( 18 ),5007788.899999999441206,5118560.119999999180436,10126349.019999999552965
FS( 19 ),5028040.040000000037253,5166597.409999999217689,10194637.449999999254942
FS( 20 ),5037905.979999999515712,5158420.849999999627471,10196326.829999998211861
FS( 21 ),5013500.759999999776483,5155354.639999999664724,10168855.399999998509884
FS( 22 ),5078408.259999999776483,5152288.429999999701977,10230696.689999999478459
FS( 23 ),4991691.839999999850988,5163531.200000000186265,10155223.039999999105930
FS( 24 ),4991691.839999999850988,5119582.189999999478459,10111274.029999999329448
FS( 25 ),5005192.599999999627471,5073589.040000000037253,10078781.640000000596046
FS( 26 ),5025443.740000000223517,5082787.669999998994172,10108231.410000000149012
FS( 27 ),5100736.440000000409782,5124692.540000000037253,10225428.980000000447035
FS( 28 ),5063349.720000000670552,5089942.159999999217689,10153291.879999998956919
FS( 29 ),5086197.160000000149012,5071544.899999999441206,10157742.059999998658895
FS( 30 ),5055041.559999999590218,5082787.669999998994172,10137829.229999998584390
FS( 31 ),5073734.919999999925494,5107317.349999999627471,10181052.269999999552965
FS( 32 ),5090870.500000000000000,5088920.089999999850988,10179790.589999999850988
FS( 33 ),5089831.979999999515712,5069500.759999999776483,10159332.739999998360872
FS( 34 ),5227955.140000000596046,5064390.409999999217689,10292345.550000000745058
FS( 35 ),5198357.320000000298023,5078699.389999999664724,10277056.710000000894070
FS( 36 ),5155258.740000000223517,5100162.859999999403954,10255421.599999999627471
FS( 37 ),5140200.199999999254942,5070522.829999999143183,10210723.029999997466803
FS( 38 ),5112679.419999999925494,5051103.500000000000000,10163782.919999999925494
FS( 39 ),5123064.620000000111759,5066434.549999999813735,10189499.169999999925494
FS( 40 ),5009865.940000000409782,5063368.339999999850988,10073234.280000001192093
FS( 41 ),4981306.640000000596046,5053147.639999999664724,10034454.280000001192093
FS( 42 ),4996365.179999999701977,5030662.099999999627471,10027027.279999999329448
FS( 43 ),5000000.000000000000000,5022485.540000000037253,10022485.539999999105930
FS( 44 ),5011942.979999999515712,5016353.119999999180436,10028296.099999997764826
FS( 45 ),5001038.520000000484288,4916190.259999999776483,9917228.780000001192093
FS( 46 ),4961055.500000000000000,4827270.169999998994172,9788325.669999998062849
FS( 47 ),4949631.779999999329448,4848733.639999999664724,9798365.419999998062849
FS( 48 ),4918995.440000000409782,4838512.939999999478459,9757508.379999998956919
FS( 49 ),4948593.259999999776483,4851799.849999999627471,9800393.109999999403954
FS( 50 ),4963651.799999999813735,4881439.879999998956919,9845091.679999999701977
FS( 51 ),4936131.020000000484288,4829314.309999999590218,9765445.330000000074506
FS( 52 ),4896667.259999999776483,4803762.559999999590218,9700429.820000000298023
FS( 53 ),4913802.839999999850988,4846689.500000000000000,9760492.339999999850988
FS( 54 ),4944439.179999999701977,4831358.450000000186265,9775797.629999998956919
FS( 55 ),4993768.879999999888241,4882461.950000000186265,9876230.830000000074506
FS( 56 ),4989095.540000000037253,4850777.779999999329448,9839873.320000000298023
FS( 57 ),5030117.080000000074506,4857932.269999999552965,9888049.349999999627471
FS( 58 ),5046214.140000000596046,4882461.950000000186265,9928676.089999999850988
FS( 59 ),5018174.099999999627471,4833402.589999999850988,9851576.689999999478459
FS( 60 ),4974037.000000000000000,4848733.639999999664724,9822770.640000000596046
FS( 61 ),5051926.000000000000000,4867130.899999999441206,9919056.899999998509884
FS( 62 ),4955862.899999999441206,4780254.950000000186265,9736117.849999999627471
