代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17127364.179999999701977
真實報酬,7127364.179999999701977

夏普值報酬,0.704036418000000
夏普值風險,0.191768215508083
夏普值,3.671288363062042

二次趨勢線,96.985941855884903 x^2 + 5744.997920869559493 x + 10000000.000000000000000
二次加權預期報酬,38396.931679017463466
風險,530812.771793920081109
二次加權趨勢值,0.072336111185216
一次趨勢線,24111.638640564062371 x + 10000000.000000000000000
一次預期報酬,24111.638640564062371
一次風險,872143.655644724727608
一次趨勢值,0.027646407199671
找到最佳解世代,2938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](6),V[25](5),
Stock#,AAPL[0](1),MRK[17](6),V[25](5),
張數,257201,107526,249500,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.039999999571592,27.000000000000000,13.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3474793.549999999348074,3282795.780000000260770,3358283.000000000000000,10115873.330000000074506
FS( 3 ),3418209.329999999143183,3222581.219999999739230,3592813.000000000000000,10233604.549999998882413
FS( 4 ),3343621.039999999571592,3170968.739999999757856,3515468.000000000000000,10030058.779999999329448
FS( 5 ),3405349.279999999795109,3156990.359999999869615,3478043.000000000000000,10040383.640000000596046
FS( 6 ),3328188.979999999515712,3089248.979999999981374,3470558.000000000000000,9887996.959999999031425
FS( 7 ),3258744.709999999497086,3064518.000000000000000,3303393.000000000000000,9626656.709999999031425
FS( 8 ),3222736.569999999366701,3058066.439999999944121,3315868.000000000000000,9596672.009999999776483
FS( 9 ),3135288.229999999515712,2991400.319999999832362,3178643.000000000000000,9305332.549999998882413
FS( 10 ),3063271.949999999720603,3023658.120000000111759,3081338.000000000000000,9168269.070000000298023
FS( 11 ),3024691.799999999348074,3031184.939999999944121,2956588.000000000000000,9012465.739999998360872
FS( 12 ),2872943.209999999497086,2998927.140000000130385,2647208.000000000000000,8519079.349999999627471
FS( 13 ),3042695.869999999646097,2964518.819999999832362,2756988.000000000000000,8764203.689999999478459
FS( 14 ),3245884.659999999217689,2951615.699999999720603,2756988.000000000000000,8954489.359999999403954
FS( 15 ),3245884.659999999217689,3032260.199999999720603,2764473.000000000000000,9042618.859999999403954
FS( 16 ),3294752.849999999627471,2988174.540000000037253,2657188.000000000000000,8940116.390000000596046
FS( 17 ),3333333.000000000000000,3050539.620000000111759,2754493.000000000000000,9138366.620000001043081
FS( 18 ),3461933.500000000000000,3094625.280000000260770,2946608.000000000000000,9503167.780000001192093
FS( 19 ),3418209.329999999143183,3111829.439999999944121,2886728.000000000000000,9416767.769999999552965
FS( 20 ),3312756.919999999925494,3069894.300000000279397,3078843.000000000000000,9461495.220000000670552
FS( 21 ),3361625.109999999869615,3056991.180000000167638,3116268.000000000000000,9534885.289999999105930
FS( 22 ),3415637.319999999366701,3251613.239999999757856,3018963.000000000000000,9686214.559999998658895
FS( 23 ),3436213.399999999441206,3215054.399999999906868,3063873.000000000000000,9715141.799999998882413
FS( 24 ),3544237.819999999366701,3236559.600000000093132,3353293.000000000000000,10134091.419999999925494
FS( 25 ),3665122.289999999571592,3308602.020000000018626,3455588.000000000000000,10429313.309999998658895
FS( 26 ),3765430.679999999701977,3295698.899999999906868,3450598.000000000000000,10511728.580000000074506
FS( 27 ),3595678.019999999552965,3119356.260000000242144,3358283.000000000000000,10073318.279999999329448
FS( 28 ),3557097.869999999646097,3195699.719999999739230,3428143.000000000000000,10180941.589999999850988
FS( 29 ),3647118.219999999273568,3154839.839999999850988,3517963.000000000000000,10319922.059999998658895
FS( 30 ),3644546.209999999497086,3091399.500000000000000,3490518.000000000000000,10226464.709999999031425
FS( 31 ),3472221.539999999571592,3076345.859999999869615,3383233.000000000000000,9931801.399999998509884
FS( 32 ),3467077.519999999552965,3079571.640000000130385,3502993.000000000000000,10049643.160000000149012
FS( 33 ),3330760.989999999292195,3067743.780000000260770,3470558.000000000000000,9869063.769999999552965
FS( 34 ),3351337.069999999366701,3021507.600000000093132,3473053.000000000000000,9845898.669999999925494
FS( 35 ),3194444.459999999497086,2997851.879999999888241,3383233.000000000000000,9575530.339999999850988
FS( 36 ),3315328.929999999701977,3067743.780000000260770,3515468.000000000000000,9898541.710000000894070
FS( 37 ),3348765.059999999590218,3001077.660000000149012,3458083.000000000000000,9807926.719999998807907
FS( 38 ),3276748.779999999795109,2800004.040000000037253,3498003.000000000000000,9574756.820000000298023
FS( 39 ),3281892.799999999348074,2602156.199999999720603,3537923.000000000000000,9421973.000000000000000
FS( 40 ),3230452.599999999627471,2520436.439999999944121,3378243.000000000000000,9129133.039999999105930
FS( 41 ),3245884.659999999217689,2478501.300000000279397,3390718.000000000000000,9115104.959999999031425
FS( 42 ),3348765.059999999590218,2491404.420000000391155,3448103.000000000000000,9288273.480000000447035
FS( 43 ),3263888.729999999515712,2380652.640000000130385,3333333.000000000000000,8977875.369999999180436
FS( 44 ),3135288.229999999515712,2445168.239999999757856,3131238.000000000000000,8711695.469999998807907
FS( 45 ),3052983.909999999217689,2256997.739999999757856,3106288.000000000000000,8416270.649999998509884
FS( 46 ),3256172.699999999720603,2387104.199999999720603,3298403.000000000000000,8941680.899999998509884
FS( 47 ),3405349.279999999795109,2359147.439999999944121,3203593.000000000000000,8968090.719999998807907
FS( 48 ),3539093.799999999348074,2583876.780000000260770,3373253.000000000000000,9496224.580000000074506
FS( 49 ),3523661.739999999292195,2910755.819999999832362,3246008.000000000000000,9680426.559999998658895
FS( 50 ),3505657.669999999925494,2818283.459999999962747,3253493.000000000000000,9577435.129999998956919
FS( 51 ),3662550.279999999795109,2861293.859999999869615,3448103.000000000000000,9971948.140000000596046
FS( 52 ),3729422.539999999571592,2898927.959999999962747,3512973.000000000000000,10141324.500000000000000
FS( 53 ),3734566.559999999590218,2800004.040000000037253,3285928.000000000000000,9820499.599999999627471
FS( 54 ),3731994.549999999348074,2873121.719999999739230,3275948.000000000000000,9881065.269999999552965
FS( 55 ),3955759.419999999925494,3008604.479999999981374,3465568.000000000000000,10429932.900000000372529
FS( 56 ),3912035.250000000000000,2983873.500000000000000,3343313.000000000000000,10239222.750000000000000
FS( 57 ),3912035.250000000000000,2956992.000000000000000,3290918.000000000000000,10159946.250000000000000
FS( 58 ),4038063.739999999292195,2965594.079999999608845,3463073.000000000000000,10466731.819999998435378
FS( 59 ),3924895.299999999348074,2920433.160000000149012,3383233.000000000000000,10228562.459999999031425
FS( 60 ),3840018.969999999273568,2854842.300000000279397,3338323.000000000000000,10033185.269999999552965
FS( 61 ),3863167.059999999590218,2876347.500000000000000,3468063.000000000000000,10207578.559999998658895
FS( 62 ),3994339.569999999366701,2902153.739999999757856,3385728.000000000000000,10282222.309999998658895
FS( 63 ),4140944.140000000130385,2903229.000000000000000,3468063.000000000000000,10512237.140000000596046
FS( 64 ),4261828.609999999403954,2845164.959999999962747,3747503.000000000000000,10854497.570000000298023
FS( 65 ),4351848.960000000894070,2867745.420000000391155,3687623.000000000000000,10907218.380000000819564
FS( 66 ),4225820.469999998807907,2824735.020000000018626,3565368.000000000000000,10615924.489999998360872
FS( 67 ),4274688.660000000149012,2877422.760000000242144,3607783.000000000000000,10759895.419999999925494
FS( 68 ),4393001.119999999180436,2827960.800000000279397,3667663.000000000000000,10888625.919999999925494
FS( 69 ),4416149.210000000894070,2801079.300000000279397,3812373.000000000000000,11029602.510000001639128
FS( 70 ),4346704.939999999478459,2761294.680000000167638,3637723.000000000000000,10745723.619999999180436
FS( 71 ),4323556.849999999627471,2822584.500000000000000,3687623.000000000000000,10833765.349999999627471
FS( 72 ),4462445.390000000596046,2779574.100000000093132,3622753.000000000000000,10864773.490000000223517
FS( 73 ),4534461.669999999925494,2766670.979999999981374,3617763.000000000000000,10918896.650000000372529
