代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13308053.860000001266599
真實報酬,3308053.860000001266599

夏普值報酬,0.322105386000000
夏普值風險,0.091706678432314
夏普值,3.512343828238587

二次趨勢線,13.470872637372667 x^2 + 10931.915089779628033 x + 10000000.000000000000000
二次加權預期報酬,15449.147714178589013
風險,229765.324680579506094
二次加權趨勢值,0.067238813061353
一次趨勢線,13472.848398106903915 x + 10000000.000000000000000
一次預期報酬,13472.848398106903915
一次風險,248767.009316362469690
一次趨勢值,0.054158501302611
找到最佳解世代,1632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](3),MRK[17](15),MSFT[18](1),NKE[19](4),V[25](2),
Stock#,INTC[11](3),MRK[17](15),MSFT[18](1),NKE[19](4),V[25](2),
張數,59772,31118,29338,34100,21424,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,28.879999999888241,46.140000000130385,28.540000000037253,35.000000000000000,69.600000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2052599.360000000102445,1996577.020000000018626,2026697.580000000074506,1962831.000000000000000,2014139.840000000316650,10052844.800000000745058
FS( 3 ),2010161.239999999990687,1963591.940000000176951,2011735.199999999953434,1949191.000000000000000,1997857.600000000093132,9932536.980000000447035
FS( 4 ),2025104.239999999990687,1965459.020000000018626,2037846.019999999785796,1977153.000000000000000,2012211.680000000167638,10017773.959999999031425
FS( 5 ),2011356.679999999701977,1955190.080000000074506,2053101.780000000260770,2002728.000000000000000,2037277.760000000242144,10059654.300000000745058
FS( 6 ),2027495.119999999878928,1939942.260000000242144,2053395.159999999916181,1983973.000000000000000,2044133.439999999944121,10048938.980000000447035
FS( 7 ),2047219.879999999888241,1953634.180000000167638,2087427.240000000223517,1985337.000000000000000,2060629.920000000158325,10134248.220000000670552
FS( 8 ),2046622.159999999916181,1957057.160000000149012,2105616.799999999813735,1975789.000000000000000,2055488.160000000149012,10140573.280000001192093
FS( 9 ),2072921.839999999850988,1962347.220000000204891,2135248.180000000167638,1977835.000000000000000,2076697.920000000158325,10225050.160000000149012
FS( 10 ),2060369.719999999739230,1948344.120000000111759,2151970.839999999850988,1970674.000000000000000,2074555.520000000018626,10205914.199999999254942
FS( 11 ),2063956.040000000037253,1942120.520000000018626,2150503.939999999944121,1965900.000000000000000,2090623.520000000018626,10213104.019999999552965
FS( 12 ),2065749.199999999953434,1948655.300000000046566,2166933.220000000204891,1969992.000000000000000,2104977.600000000093132,10256307.320000000298023
FS( 13 ),2077105.879999999888241,1958613.060000000055879,2177494.899999999906868,2015345.000000000000000,2101978.240000000223517,10330537.080000000074506
FS( 14 ),2075910.439999999711290,1948966.480000000214204,2164879.560000000055879,2044330.000000000000000,2133900.000000000000000,10367986.480000000447035
FS( 15 ),2062162.879999999888241,1947099.400000000139698,2159305.339999999850988,2010230.000000000000000,2150396.479999999981374,10329194.099999999627471
FS( 16 ),2072324.119999999878928,1940564.620000000111759,2176614.759999999776483,2025234.000000000000000,2142255.359999999869615,10356992.859999999403954
FS( 17 ),2077105.879999999888241,1923138.540000000037253,2172507.439999999944121,1990111.000000000000000,2160680.000000000000000,10323542.859999999403954
FS( 18 ),2090255.719999999739230,1981951.560000000055879,2146396.620000000111759,1982950.000000000000000,2133257.279999999795109,10334811.179999999701977
FS( 19 ),2110578.200000000186265,1995021.120000000111759,2142876.060000000055879,2000682.000000000000000,2124259.200000000186265,10373416.580000001937151
FS( 20 ),2120141.719999999739230,1987863.980000000214204,2132901.140000000130385,2013640.000000000000000,2133043.040000000037253,10387589.879999998956919
FS( 21 ),2172741.080000000074506,1989108.700000000186265,2129380.580000000074506,2040579.000000000000000,2161108.479999999981374,10492917.839999999850988
FS( 22 ),2190074.959999999962747,1974172.060000000055879,2119992.420000000391155,2038874.000000000000000,2169892.320000000298023,10493005.760000001639128
FS( 23 ),2181109.160000000149012,1976661.500000000232831,2116765.240000000223517,2050809.000000000000000,2155109.760000000242144,10480454.660000000149012
FS( 24 ),2169752.479999999515712,1963591.940000000176951,2132314.380000000353903,2037851.000000000000000,2161536.959999999962747,10465046.760000001639128
FS( 25 ),2177522.839999999850988,1955501.260000000242144,2124099.740000000223517,2038874.000000000000000,2174391.359999999869615,10470389.199999999254942
FS( 26 ),2176327.399999999906868,1939319.900000000139698,2135541.560000000055879,2027621.000000000000000,2169892.320000000298023,10448702.179999999701977
FS( 27 ),2187086.359999999869615,1944609.960000000195578,2126153.399999999906868,2042625.000000000000000,2163250.879999999888241,10463725.600000001490116
FS( 28 ),2160188.959999999962747,1934963.380000000121072,2095055.119999999878928,2014322.000000000000000,2131543.359999999869615,10336072.820000000298023
FS( 29 ),2144050.519999999552965,1941186.980000000214204,2127033.540000000037253,2010912.000000000000000,2144397.760000000242144,10367580.800000000745058
FS( 30 ),2172143.359999999869615,1950211.200000000186265,2159011.959999999962747,2038533.000000000000000,2182532.479999999981374,10502432.000000000000000
FS( 31 ),2151820.879999999888241,1944921.140000000130385,2148156.899999999906868,1996931.000000000000000,2198814.720000000204891,10440644.640000000596046
FS( 32 ),2140464.200000000186265,1951144.740000000223517,2160772.240000000223517,1996249.000000000000000,2213597.279999999795109,10462227.460000000894070
FS( 33 ),2102210.120000000111759,1924383.260000000242144,2124099.740000000223517,1959421.000000000000000,2188745.439999999944121,10298859.560000000521541
FS( 34 ),2092646.599999999860302,1913491.960000000195578,2126740.159999999683350,1873830.000000000000000,2196243.840000000316650,10202952.560000000521541
FS( 35 ),2087267.119999999878928,1928428.600000000093132,2116765.240000000223517,1828136.000000000000000,2211454.879999999888241,10172051.839999999850988
FS( 36 ),2071128.679999999701977,1942431.700000000186265,2146396.620000000111759,1845868.000000000000000,2229665.279999999795109,10235490.279999999329448
FS( 37 ),2071726.399999999674037,1934029.840000000083819,2133487.899999999906868,1828136.000000000000000,2210597.920000000391155,10177978.060000000521541
