二次加權,一次,二次平均
result_train_2009_10-12(2009 Q1).csv
JNJ[12](4)MSFT[18](3)V[25](2)VZ[26](1),MSFT[18](2)V[25](1)VZ[26](22),JNJ[12](8)MSFT[18](1)V[25](2)VZ[26](10)
result_train_2009_11~2010_01(2009 Q1).csv
BA[2](1)UNH[23](2),BA[2](1)UNH[23](2),BA[2](1)DIS[6](9)HD[9](6)MRK[17](2)VZ[26](22)
result_train_2009_12~2010_02(2009 Q1).csv
BA[2](3)HD[9](5)MCD[15](4)PG[21](2)TRV[22](1),BA[2](1)HD[9](3)MCD[15](13)UNH[23](2),BA[2](1)HD[9](3)MCD[15](4)UNH[23](2)
result_train_2010_01-03(2010 Q1).csv
DIS[6](2)MCD[15](7)NKE[19](1),BA[2](1)MCD[15](2)PG[21](3)TRV[22](4)UNH[23](6),BA[2](2)HD[9](4)MCD[15](5)TRV[22](7)
result_train_2010_02-04(2010 Q1).csv
AAPL[0](1)CAT[3](5)DIS[6](4)MCD[15](2),CAT[3](2)CSCO[4](4)DIS[6](1)MCD[15](11),CAT[3](3)CSCO[4](5)DIS[6](1)MCD[15](4)
result_train_2010_03-05(2010 Q1).csv
AAPL[0](1),AAPL[0](1),AAPL[0](1)
result_train_2010_04-06(2010 Q1).csv
MRK[17](1),AAPL[0](1),AAPL[0](1)
result_train_2010_05-07(2010 Q1).csv
GS[8](5)MMM[16](1)VZ[26](3),,KO[14](2)VZ[26](1)
result_train_2010_06-08(2010 Q1).csv
MCD[15](4)VZ[26](1),MCD[15](2)VZ[26](1),MCD[15](2)VZ[26](1)
result_train_2010_07-09(2010 Q1).csv
MCD[15](5)VZ[26](1),MCD[15](3)VZ[26](1),MCD[15](4)VZ[26](1)
result_train_2010_08-10(2010 Q1).csv
IBM[10](3)KO[14](2)MCD[15](15)PG[21](13)TRV[22](5)V[25](12)XOM[29](1),MCD[15](1)VZ[26](4),IBM[10](8)KO[14](1)MCD[15](2)
result_train_2010_09-11(2010 Q1).csv
INTC[11](2)KO[14](1)NKE[19](9)XOM[29](3),INTC[11](2)KO[14](1)NKE[19](6)XOM[29](7),AAPL[0](5)DIS[6](13)INTC[11](2)KO[14](1)NKE[19](9)WBA[27](11)
result_train_2010_10-12(2010 Q1).csv
CAT[3](1)KO[14](2)VZ[26](5),CAT[3](7)DIS[6](5)KO[14](1)XOM[29](2),CAT[3](2)DIS[6](5)KO[14](1)
result_train_2010_11~2011_01(2010 Q1).csv
IBM[10](3)PFE[20](5),CAT[3](2)DIS[6](10)XOM[29](1),CAT[3](3)IBM[10](9)WBA[27](2)XOM[29](1)
result_train_2010_12~2011_02(2010 Q1).csv
CVX[5](4)DIS[6](2)XOM[29](1),CVX[5](1)JPM[13](3)MMM[16](15)XOM[29](6),CVX[5](2)DIS[6](6)XOM[29](1)
result_train_2011_01-03(2011 Q1).csv
CVX[5](1)PFE[20](2),CVX[5](2)PFE[20](1),CVX[5](2)PFE[20](1)
result_train_2011_02-04(2011 Q1).csv
CVX[5](6)JNJ[12](7)MRK[17](1)PFE[20](2)WMT[28](10),CVX[5](1)MCD[15](7)PFE[20](5),CVX[5](1)MCD[15](10)PFE[20](2)
result_train_2011_03-05(2011 Q1).csv
AXP[1](1)MCD[15](2)PG[21](3),AXP[1](1)PFE[20](2),AXP[1](1)MCD[15](2)
result_train_2011_04-06(2011 Q1).csv
MCD[15](1),MCD[15](1),JNJ[12](2)MCD[15](1)
result_train_2011_05-07(2011 Q1).csv
AAPL[0](3)MCD[15](4)MSFT[18](1),MCD[15](1),MCD[15](1)
result_train_2011_06-08(2011 Q1).csv
MCD[15](1),MCD[15](1),MCD[15](1)
result_train_2011_07-09(2011 Q1).csv
V[25](2)VZ[26](1),AAPL[0](1)MCD[15](2),AAPL[0](1)MCD[15](2)
result_train_2011_08-10(2011 Q1).csv
INTC[11](1)TRV[22](2)WMT[28](3),PG[21](1),INTC[11](1)WMT[28](2)
result_train_2011_09-11(2011 Q1).csv
HD[9](1),HD[9](2)INTC[11](1),HD[9](1)
result_train_2011_10-12(2011 Q1).csv
HD[9](2)MCD[15](1)MRK[17](3),HD[9](2)MCD[15](1)MRK[17](3),HD[9](2)MCD[15](1)
result_train_2011_11~2012_01(2011 Q1).csv
AAPL[0](1)HD[9](2)MSFT[18](4),HD[9](1),HD[9](1)
result_train_2011_12~2012_02(2011 Q1).csv
AAPL[0](1)IBM[10](14)MSFT[18](2)V[25](6),AAPL[0](8)HD[9](1)IBM[10](29)MCD[15](14)MSFT[18](2)PFE[20](20)TRV[22](15),AAPL[0](1)HD[9](3)IBM[10](22)MSFT[18](2)V[25](6)
result_train_2012_01-03(2012 Q1).csv
