代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12335173.029999999329448
真實報酬,2335173.029999999329448

夏普值報酬,0.224817303000000
夏普值風險,0.065604410335649
夏普值,3.426862643071960

二次趨勢線,103.244361314040901 x^2 + 6350.843643145364695 x + 10000000.000000000000000
二次加權預期報酬,23764.725918113585067
風險,68911.116265279459185
二次加權趨勢值,0.344860556700738
一次趨勢線,16145.999392635209006 x + 10000000.000000000000000
一次預期報酬,16145.999392635209006
一次風險,197482.520524837513221
一次趨勢值,0.081759131642259
找到最佳解世代,3052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](21),AXP[1](4),CAT[3](1),CSCO[4](2),HD[9](3),MCD[15](8),
Stock#,AAPL[0](21),AXP[1](4),CAT[3](1),CSCO[4](2),HD[9](3),MCD[15](8),
張數,11614,19584,15580,53197,10821,10928,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,57.000000000000000,67.600000000093132,73.399999999906868,3.989999999990687,123.790000000037253,146.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1673518.260000000009313,1662553.360000000102445,1674767.599999999860302,1654962.659999999916181,1652382.280000000027940,1672894.959999999962747,9991083.120000001043081
FS( 3 ),1657723.219999999972060,1640031.760000000009313,1659499.199999999953434,1634215.829999999841675,1645456.840000000083819,1673113.520000000018626,9910044.369999999180436
FS( 4 ),1674563.520000000018626,1651586.320000000065193,1665887.000000000000000,1643791.289999999804422,1647404.619999999878928,1707864.560000000055879,9991101.310000000521541
FS( 5 ),1684783.840000000083819,1650998.800000000046566,1680220.599999999860302,1648047.050000000046566,1636042.570000000065193,1699668.560000000055879,9999765.419999999925494
FS( 6 ),1690242.419999999925494,1648257.040000000037253,1686452.599999999860302,1653898.719999999972060,1629766.389999999897555,1693002.479999999981374,10001623.649999998509884
FS( 7 ),1692681.360000000102445,1661182.479999999981374,1697670.199999999720603,1657622.510000000009313,1651300.180000000167638,1711252.240000000223517,10071712.969999998807907
FS( 8 ),1716257.780000000027940,1671953.680000000167638,1690036.000000000000000,1663474.179999999934807,1658874.879999999888241,1694423.119999999878928,10095023.639999998733401
FS( 9 ),1731007.559999999823049,1670191.120000000111759,1694709.999999999767169,1671453.729999999981374,1654438.270000000018626,1697045.840000000083819,10118850.519999999552965
FS( 10 ),1737046.840000000083819,1669016.080000000074506,1695800.599999999860302,1675709.489999999990687,1665367.479999999981374,1696827.279999999795109,10139771.769999999552965
FS( 11 ),1743086.120000000111759,1674891.280000000027940,1668223.999999999767169,1676241.459999999962747,1646755.359999999869615,1682620.880000000121072,10091823.100000001490116
FS( 12 ),1754003.280000000027940,1682920.720000000204891,1680376.399999999906868,1696988.289999999804422,1658983.090000000083819,1681855.919999999925494,10155131.700000001117587
FS( 13 ),1746105.760000000009313,1671562.000000000000000,1672118.999999999767169,1694860.409999999916181,1591135.420000000158325,1685352.880000000121072,10061139.470000000670552
FS( 14 ),1745292.780000000027940,1676262.160000000149012,1660745.599999999860302,1693796.469999999972060,1587023.440000000176951,1682183.759999999776483,10045308.210000000894070
FS( 15 ),1766430.260000000009313,1664707.600000000093132,1685517.800000000046566,1694860.409999999916181,1564623.970000000204891,1659562.800000000046566,10035706.840000001713634
