代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11742095.779999999329448
真實報酬,1742095.779999999329448

夏普值報酬,0.165509578000000
夏普值風險,0.058565259194491
夏普值,2.826070955314212

二次趨勢線,98.734981771514086 x^2 + 4247.568168219931067 x + 10000000.000000000000000
二次加權預期報酬,20769.221784653291252
風險,104132.798927957526757
二次加權趨勢值,0.199449376166506
一次趨勢線,13540.850815040786983 x + 10000000.000000000000000
一次預期報酬,13540.850815040786983
一次風險,202952.623571801465005
一次趨勢值,0.066719269634128
找到最佳解世代,1828
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),MCD[15](1),MMM[16](2),
Stock#,KO[14](3),MCD[15](1),MMM[16](2),
張數,79744,27866,18721,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.800000000279397,2.080000000074506,58.949999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3321371.400000000372529,3329431.760000000242144,3338387.669999999459833,9989191.830000000074506
FS( 3 ),3329345.800000000279397,3335562.280000000260770,3326967.859999999869615,9991876.939999999478459
FS( 4 ),3328548.360000000335276,3365100.240000000223517,3336702.779999999329448,10030352.379999998956919
FS( 5 ),3295055.880000000353903,3355904.460000000428408,3318730.620000000111759,9969691.960000000894070
FS( 6 ),3272727.560000000055879,3350888.580000000074506,3305813.129999999888241,9929430.269999999552965
FS( 7 ),3273525.000000000000000,3368444.160000000149012,3330337.639999999664724,9972307.800000000745058
FS( 8 ),3265550.600000000558794,3402440.679999999701977,3321913.189999999478459,9989905.469999998807907
FS( 9 ),3259968.520000000484288,3385721.080000000074506,3320977.139999999664724,9966667.740000000223517
FS( 10 ),3287081.479999999981374,3420553.580000000074506,3318543.409999999683350,10026179.470000000670552
FS( 11 ),3292663.560000000055879,3419438.939999999944121,3341570.239999999757856,10053673.740000000223517
FS( 12 ),3280701.960000000428408,3404669.960000000428408,3345127.229999999981374,10030500.150000000372529
FS( 13 ),3295055.880000000353903,3406899.240000000223517,3341570.239999999757856,10043526.360000001266599
FS( 14 ),3303827.720000000204891,3382377.160000000149012,3341944.659999999683350,10028150.540000000968575
FS( 15 ),3341307.400000000372529,3373181.379999999888241,3294393.319999999832362,10008883.099999999627471
FS( 16 ),3358851.080000000074506,3393802.220000000204891,3308621.279999999329448,10061275.580000000074506
FS( 17 ),3334130.440000000409782,3396310.160000000149012,3310306.169999999459833,10040747.769999999552965
FS( 18 ),3305422.600000000558794,3423618.839999999850988,3322662.029999999329448,10051704.469999998807907
FS( 19 ),3299840.520000000484288,3428077.399999999906868,3284096.769999999552965,10012015.689999999478459
FS( 20 ),3314991.880000000353903,3415537.699999999720603,3272864.169999999459833,10003394.750000000000000
FS( 21 ),3290271.240000000223517,3411357.800000000279397,3279416.519999999552965,9981046.560000000521541
FS( 22 ),3301435.400000000372529,3433650.600000000093132,3260882.729999999981374,9995969.730000000447035
FS( 23 ),3312599.560000000055879,3462073.919999999925494,3276982.789999999571592,10051657.269999999552965
FS( 24 ),3314194.440000000409782,3467925.780000000260770,3278106.049999999813735,10060227.269999999552965
FS( 25 ),3341307.400000000372529,3471827.020000000018626,3290461.909999999683350,10103597.330000000074506
FS( 26 ),3350876.680000000633299,3474056.300000000279397,3314986.419999999459833,10139920.400000000372529
FS( 27 ),3289473.800000000279397,3468761.760000000242144,3335766.729999999981374,10094003.290000000968575
FS( 28 ),3236045.320000000298023,3506102.199999999720603,3351117.949999999720603,10093266.469999998807907
FS( 29 ),3239235.080000000074506,3498299.720000000204891,3388934.370000000111759,10126470.170000001788139
FS( 30 ),3232058.120000000577420,3505823.540000000037253,3399792.549999999813735,10137675.210000000894070
FS( 31 ),3224881.160000000149012,3524493.760000000242144,3401664.649999999441206,10151040.570000000298023
FS( 32 ),3285486.600000000558794,3530624.280000000260770,3433677.559999999590218,10249789.440000001341105
FS( 33 ),3287878.919999999925494,3561276.879999999888241,3425065.899999999441206,10274222.699999999254942
FS( 34 ),3306220.040000000502914,3567964.719999999739230,3432928.719999999739230,10307114.480000000447035
FS( 35 ),3317384.200000000186265,3562670.179999999701977,3482913.789999999571592,10362969.169999999925494
FS( 36 ),3322168.839999999850988,3574373.900000000372529,3504442.939999999478459,10400986.679999999701977
FS( 37 ),3331738.120000000577420,3584962.980000000447035,3508561.559999999590218,10425263.660000000149012
