代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13697113.820000000298023
真實報酬,3697113.820000000298023

夏普值報酬,0.361011382000000
夏普值風險,0.139366045810439
夏普值,2.590382613646328

二次趨勢線,470.670210329171596 x^2 + -23166.553067696662765 x + 10000000.000000000000000
二次加權預期報酬,54964.701846945827128
風險,541998.942694096243940
二次加權趨勢值,0.101411086844071
一次趨勢線,20781.568981111558969 x + 10000000.000000000000000
一次預期報酬,20781.568981111558969
一次風險,980643.073060970520601
一次趨勢值,0.021191776653502
找到最佳解世代,1861
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MSFT[18](1),
Stock#,AAPL[0](2),MSFT[18](1),
張數,385802,245941,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.080000000074506,19.470000000670552,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5212191.099999999627471,5046728.790000000968575,10258919.890000000596046
FS( 3 ),5127314.660000000149012,5105754.630000000819564,10233069.290000000968575
FS( 4 ),5015432.080000000074506,4798328.380000000819564,9813760.460000000894070
FS( 5 ),5108024.560000000521541,4948352.390000000596046,10056376.950000001117587
FS( 6 ),4992283.959999999962747,4800787.790000000968575,9793071.750000000000000
FS( 7 ),4888117.419999999925494,4788490.740000000223517,9676608.160000000149012
FS( 8 ),4834105.139999999664724,4874570.090000000782311,9708675.230000000447035
FS( 9 ),4702932.459999999962747,4695033.160000001080334,9397965.620000001043081
FS( 10 ),4594907.900000000372529,4731924.310000000521541,9326832.210000000894070
FS( 11 ),4537037.599999999627471,4847516.580000001005828,9384554.179999999701977
FS( 12 ),4309414.419999999925494,4545009.150000000372529,8854423.570000000298023
FS( 13 ),4564043.740000000223517,4766356.050000000745058,9330399.790000000968575
FS( 14 ),4868827.319999999366701,4208069.980000000447035,9076897.300000000745058
FS( 15 ),4868827.319999999366701,4230204.670000000856817,9099031.990000000223517
FS( 16 ),4942129.700000000186265,4335959.300000000745058,9278089.000000000000000
FS( 17 ),5000000.000000000000000,4343337.530000000260770,9343337.530000001192093
FS( 18 ),5192901.000000000000000,4436795.110000000335276,9629696.109999999403954
FS( 19 ),5127314.660000000149012,4326121.660000001080334,9453436.320000000298023
FS( 20 ),4969135.840000000782311,4205610.570000001229346,9174746.410000002011657
FS( 21 ),5042438.219999999739230,4385147.500000000000000,9427585.719999998807907
FS( 22 ),5123456.639999999664724,4549927.970000000670552,9673384.609999999403954
FS( 23 ),5154320.799999999813735,4581900.300000000745058,9736221.100000001490116
