代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11390921.909999998286366
真實報酬,1390921.909999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11208.882154080816690
風險,110095.006828738478362
起點值,0.101810994675872
找到最佳解世代,2565
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),JNJ[12](11),NKE[19](8),V[25](2),
Stock#,HD[9](3),JNJ[12](11),NKE[19](8),V[25](2),
張數,47160,36764,112561,78963,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,48.399999999906868,48.000000000000000,20.189999999944121,31.419999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2435862.399999999906868,2501470.560000000055879,2546150.010000000242144,2494472.589999999850988,9977955.560000000521541
FS( 3 ),2457556.000000000000000,2491911.919999999925494,2594551.240000000223517,2507106.669999999925494,10051125.830000000074506
FS( 4 ),2459442.399999999906868,2486764.959999999962747,2572039.040000000037253,2473152.580000000074506,9991398.980000000447035
FS( 5 ),2458027.599999999627471,2491911.919999999925494,2540521.959999999962747,2440777.750000000000000,9931239.230000000447035
FS( 6 ),2462743.599999999627471,2495588.319999999832362,2568662.209999999962747,2413930.330000000074506,9940924.460000000894070
FS( 7 ),2436805.600000000093132,2496323.600000000093132,2596802.459999999962747,2383924.390000000130385,9913856.050000000745058
FS( 8 ),2431146.399999999906868,2489338.439999999944121,2584420.750000000000000,2421037.000000000000000,9925942.589999999850988
FS( 9 ),2456612.800000000279397,2522426.040000000037253,2644078.079999999608845,2449463.679999999701977,10072580.599999999627471
FS( 10 ),2426430.399999999906868,2516543.800000000279397,2618189.050000000279397,2510265.189999999944121,10071428.439999999478459
FS( 11 ),2392003.599999999627471,2536764.000000000000000,2610309.780000000260770,2531585.200000000186265,10070662.580000000074506
