代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11091179.437500000000
真實報酬,1091179.437500000000

夏普值報酬,0.100417943750
夏普值風險,0.036578053820
夏普值,2.745305812190

預期報酬,19035.580002806350
風險,119577.590147063940
起點值,0.159190195917
找到最佳解世代,4375
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
1301(3),1303(4),1326(5),2408(23),2886(35),3008(41),
Stock#,1301(3),1303(4),1326(5),2408(23),2886(35),3008(41),
張數,22,28,20,43,80,0,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,29075.754499999999,42034.194000000003,59579.160000000003,15266.103750000000,5101.640000000233,1666666.000000000000,
FS( 1 ),1664335.754500000000,1664354.193999999900,1664379.159999999900,1664316.103750000000,1664301.639999999900,1666666.000000000000,9988356.852249998600
FS( 2 ),1671774.504500000000,1686166.571999999700,1657277.919999999900,1679708.211750000200,1648995.080000000100,1666666.000000000000,10010592.288249999000
FS( 3 ),1663451.497500000100,1680870.112999999900,1653494.734999999900,1692123.032000000400,1648995.080000000100,1666666.000000000000,10005604.457500000000
FS( 4 ),1675936.007999999700,1686166.571999999700,1653494.734999999900,1679708.211750000200,1656959.679999999700,1666666.000000000000,10018935.206750000000
FS( 5 ),1684259.014999999900,1696759.490000000000,1664645.174999999800,1677567.725499999700,1648995.080000000100,1666666.000000000000,10038896.485500000000
FS( 6 ),1690391.756999999800,1696759.490000000000,1664645.174999999800,1686129.670500000000,1645809.240000000200,1666666.000000000000,10050405.332500000000
FS( 7 ),1692582.022000000100,1701777.187999999800,1687145.169999999900,1690410.643000000200,1648995.080000000100,1666666.000000000000,10087580.103000000000
FS( 8 ),1682068.750000000000,1699268.339000000200,1704069.945000000300,1686129.670500000000,1633862.340000000100,1666666.000000000000,10072069.044500001000
