代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11879532.035250001000
真實報酬,1879532.035250000700

夏普值報酬,0.179253203525
夏普值風險,0.048199708204
夏普值,3.718968645313

預期報酬,27223.219798710830
風險,110056.888482942970
起點值,0.247355891793
找到最佳解世代,3947
找到最佳解實驗#,34
找到最佳解次數,4

投資組合檔數,4
2454(27),2474(28),2882(33),3008(41),
Stock#,2454(27),2474(28),2882(33),3008(41),
張數,8,17,78,2,
FS( 54 ),2831933.293999999800,2850168.426750000100,2860480.451500000400,2703286.287000000500,11245868.459250001000
FS( 55 ),2875658.947999999900,2880633.021749999800,2879117.615499999400,2778492.022500000000,11413901.607749999000
FS( 56 ),2838703.203999999900,2971857.558999999900,2869799.033499999900,2806686.706499999900,11487046.503000000000
FS( 57 ),2912694.338000000000,2949009.112750000300,2913285.749500000400,2769093.794499999800,11544082.994750001000
FS( 58 ),2936189.907999999800,2835105.376999999900,2910179.555500000700,2853677.846500000000,11535152.687000001000
FS( 59 ),2929499.643999999900,2918713.765500000200,2941241.495500000200,2891270.758500000000,11680725.663500002000
FS( 60 ),2902579.296000000100,2918713.765500000200,2941241.495500000200,2881872.530499999900,11644407.087500000000
FS( 61 ),2919384.602000000000,2835105.376999999900,2950560.077500000100,2863076.074500000100,11568126.131000001000
FS( 62 ),2909349.205999999800,2857784.575499999800,2941241.495500000200,2872474.302499999800,11580849.579499999000
FS( 63 ),2959765.123999999800,2903481.468000000300,2953666.271499999800,2872474.302499999800,11689387.165999999000
FS( 64 ),3016950.951999999600,2979473.707749999600,3032097.670000000400,2928863.670500000000,11957386.000250001000
FS( 65 ),3010181.041999999400,2949009.112750000300,3019672.893999999900,2900668.986499999600,11879532.035250001000
