代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10925282.330750002000
真實報酬,925282.330750001590

夏普值報酬,0.083828233075
夏普值風險,0.026183843964
夏普值,3.201525077405

預期報酬,16105.414150224877
風險,45288.622736378711
起點值,0.355617220775
找到最佳解世代,5053
找到最佳解實驗#,2
找到最佳解次數,1

投資組合檔數,8
1102(1),2357(20),2409(24),2474(27),2801(28),2892(40),3045(43),4904(45),
Stock#,1102(1),2357(20),2409(24),2474(27),2801(28),2892(40),3045(43),4904(45),
張數,48,4,108,5,78,78,12,18,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,18006.907999999999,245290.326000000000,4067.072000000233,154591.263749999780,7251.603500000000,12719.384000000000,56461.627999999997,19929.644000000000,
FS( 1 ),1248246.908000000100,1248570.325999999900,1248227.071999999900,1248441.263749999900,1248231.603500000000,1248239.384000000100,1248301.628000000000,1248249.644000000100,9986507.829250000400
FS( 2 ),1235634.956000000000,1244130.811999999900,1237345.559000000100,1236333.279999999800,1234974.781999999900,1249761.144499999900,1265726.845999999900,1261451.492000000100,9965358.871500002200
FS( 3 ),1242803.096000000100,1251617.535999999800,1268526.968000000100,1224286.822499999300,1242740.267000000000,1260632.823500000200,1277076.400999999800,1270053.260000000000,10037737.173999999000
FS( 4 ),1242803.096000000100,1255360.898000000000,1298633.156000000200,1231504.741249999500,1245846.460999999900,1260632.823500000200,1260111.803000000100,1270053.260000000000,10064946.238750000000
FS( 5 ),1233723.452000000300,1251617.535999999800,1329814.565000000200,1236333.279999999800,1242740.267000000000,1256750.081000000200,1254377.291000000000,1268261.224999999900,10073617.697000001000
FS( 6 ),1228944.692000000000,1257232.578999999900,1324438.460000000200,1231504.741249999500,1245846.460999999900,1260632.823500000200,1254377.291000000000,1266648.393499999800,10069625.441250000000
FS( 7 ),1249493.360000000100,1264679.480000000000,1324438.460000000200,1209801.206249999600,1253611.946000000000,1263739.017500000100,1271461.358000000000,1268261.224999999900,10105486.052750001000
FS( 8 ),1275298.663999999900,1277781.247000000000,1335190.670000000400,1190487.051249999800,1271472.561500000100,1267621.760000000200,1265726.845999999900,1268261.224999999900,10151840.024750000000
FS( 9 ),1277210.168000000300,1281524.608999999700,1350243.764000000000,1197704.969999999700,1271472.561500000100,1267621.760000000200,1277076.400999999800,1276862.993000000000,10199717.226500001000
FS( 10 ),1261440.260000000200,1274037.884999999800,1329814.565000000200,1212190.586249999700,1267589.818999999900,1260632.823500000200,1271461.358000000000,1285285.557500000100,10162452.854249999000
FS( 11 ),1265741.143999999900,1274037.884999999800,1329814.565000000200,1231504.741249999500,1260600.882500000100,1263739.017500000100,1277076.400999999800,1280267.859500000000,10182782.495750001000
FS( 12 ),1245192.475999999800,1262847.622000000000,1340566.775000000100,1224286.822499999300,1260600.882500000100,1260632.823500000200,1271461.358000000000,1283672.726000000000,10149261.485500000000
FS( 13 ),1233723.452000000300,1259104.260000000000,1329814.565000000200,1277400.748749999800,1256718.139999999900,1252867.338500000100,1254377.291000000000,1283672.726000000000,10147678.521249998000
FS( 14 ),1228944.692000000000,1268422.842000000200,1324438.460000000200,1325686.136249999700,1260600.882500000100,1252867.338500000100,1248762.247999999900,1278475.824500000100,10188198.423750000000
FS( 15 ),1240413.716000000000,1281524.608999999700,1329814.565000000200,1332953.833749999800,1264483.625000000200,1263739.017500000100,1254377.291000000000,1288690.423999999900,10255997.081249999000
FS( 16 ),1254272.120000000100,1266551.160999999800,1335190.670000000400,1386067.759999999300,1260600.882500000100,1263739.017500000100,1243027.736000000000,1288690.423999999900,10298139.771000000000
FS( 17 ),1259050.880000000100,1251617.535999999800,1386801.277999999900,1364314.446249999800,1260600.882500000100,1263739.017500000100,1214713.583000000100,1244427.159500000100,10245264.782749999000
FS( 18 ),1265741.143999999900,1240387.450000000000,1360995.973999999900,1390896.298750000100,1267589.818999999900,1267621.760000000200,1220328.625999999900,1247832.026000000100,10261393.097750001000
FS( 19 ),1277210.168000000300,1231029.044999999900,1366372.079000000100,1390896.298750000100,1274578.755500000000,1281599.632999999900,1248762.247999999900,1254641.759000000100,10325089.986250000000
FS( 20 ),1281988.928000000100,1242259.131000000100,1335190.670000000400,1412599.833749999800,1285450.434500000000,1292471.311999999900,1243027.736000000000,1251236.892500000100,10344224.937750001000
FS( 21 ),1275298.663999999900,1227285.683000000200,1283580.062000000200,1417428.372499999600,1285450.434500000000,1289365.118000000200,1237412.692999999700,1254641.759000000100,10270462.786000000000
