代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10551536.992750000000
真實報酬,551536.992750000210

夏普值報酬,0.046453699275
夏普值風險,0.021158884624
夏普值,2.195470134634

預期報酬,9688.841804634774
風險,117475.002492881370
起點值,0.082475774412
找到最佳解世代,3553
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1216(2),2412(24),3008(41),
Stock#,1216(2),2412(24),3008(41),
張數,69,39,0,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,42870.763500000467,14390.236499999533,3333333.000000000000,
FS( 1 ),3328650.763499999900,3328610.236500000100,3333333.000000000000,9990595.000000000000
FS( 2 ),3356014.938750000700,3317439.281249999100,3333333.000000000000,10006788.219999999000
FS( 3 ),3350519.364750000600,3324039.943499999100,3333333.000000000000,10007893.308249999000
FS( 4 ),3302433.092250000200,3324039.943499999100,3333333.000000000000,9959807.035749999800
FS( 5 ),3307928.666250000200,3337629.542249999900,3333333.000000000000,9978892.208499999700
FS( 6 ),3296250.571500000500,3313944.813000000100,3333333.000000000000,9943529.384500000600
FS( 7 ),3296250.571500000500,3303849.682499999600,3333333.000000000000,9933434.254000000700
FS( 8 ),3283885.530000000700,3320933.749499999500,3333333.000000000000,9938153.279500000200
FS( 9 ),3259842.393750000300,3320933.749499999500,3333333.000000000000,9914110.143249999700
FS( 10 ),3307928.666250000200,3320933.749499999500,3333333.000000000000,9962196.415750000600
FS( 11 ),3331971.802500000700,3376068.693000000000,3333333.000000000000,10041374.495500000000
FS( 12 ),3344336.844000001000,3383057.629500000300,3333333.000000000000,10060728.473500002000
FS( 13 ),3314111.186999999900,3379563.161249999400,3333333.000000000000,10027008.348250000000
FS( 14 ),3476917.566750000200,3383057.629500000300,3333333.000000000000,10193309.196250001000
FS( 15 ),3374562.501000000200,3390046.565999999600,3333333.000000000000,10097943.067000000000
FS( 16 ),3338154.323250000400,3393541.034250000000,3333333.000000000000,10065029.357500000000
FS( 17 ),3398605.637250000100,3397035.502499999900,3333333.000000000000,10128975.139750000000
FS( 18 ),3326476.228500000200,3414896.117999999800,3333333.000000000000,10074706.346500000000
FS( 19 ),3392423.116500000500,3397035.502499999900,3333333.000000000000,10122792.619000001000
FS( 20 ),3362197.459500000300,3414896.117999999800,3333333.000000000000,10110427.577500001000
FS( 21 ),3386240.595750000300,3432756.733500000100,3333333.000000000000,10152331.329250000000
FS( 22 ),3392423.116500000500,3485562.031500000500,3333333.000000000000,10211319.148000002000
FS( 23 ),3386240.595750000300,3478573.094999999300,3333333.000000000000,10198147.690749999000
FS( 24 ),3422648.773500000600,3517788.794249999800,3333333.000000000000,10273771.567749999000
FS( 25 ),3476917.566750000200,3531766.667249999900,3333333.000000000000,10342018.234000001000
FS( 26 ),3453561.377250000400,3506917.115249999800,3333333.000000000000,10293812.492500000000
FS( 27 ),3434326.868249999800,3485562.031500000500,3333333.000000000000,10253222.899750000000
FS( 28 ),3608124.396000000600,3492939.242249999700,3333333.000000000000,10434397.638250001000
FS( 29 ),3511264.904250000100,3510411.583499999700,3333333.000000000000,10355010.487749999000
FS( 30 ),3601254.928500000400,3521283.262499999300,3333333.000000000000,10455872.191000000000
FS( 31 ),3627358.905000000700,3499928.178749999500,3333333.000000000000,10460621.083750000000
FS( 32 ),3698114.420250000400,3468089.690249999500,3333333.000000000000,10499538.110500000000
FS( 33 ),3710479.461750000200,3464595.221999999600,3333333.000000000000,10508408.683750000000
FS( 34 ),3845807.971500000500,3499928.178749999500,3333333.000000000000,10679070.150249999000
FS( 35 ),3794286.965250000400,3499928.178749999500,3333333.000000000000,10627549.143999999000
FS( 36 ),3806652.006750000200,3482067.563249999700,3333333.000000000000,10622053.570000000000
FS( 37 ),3698114.420250000400,3468089.690249999500,3333333.000000000000,10499538.110500000000
FS( 38 ),3588889.887000000100,3383057.629500000300,3333333.000000000000,10305281.516500000000
FS( 39 ),3595072.407750000700,3390046.565999999600,3333333.000000000000,10318452.973750001000
FS( 40 ),3665827.923000000000,3383057.629500000300,3333333.000000000000,10382219.552500000000
FS( 41 ),3665827.923000000000,3418390.586249999700,3333333.000000000000,10417552.509250000000
FS( 42 ),3658958.455500000200,3418390.586249999700,3333333.000000000000,10410683.041749999000
FS( 43 ),3768182.988750000500,3513906.051749999200,3333333.000000000000,10615423.040500000000
FS( 44 ),3614306.916750000300,3464595.221999999600,3333333.000000000000,10412236.138750000000
FS( 45 ),3672010.443750000100,3450229.074749999200,3333333.000000000000,10455573.518500000000
FS( 46 ),3736583.438250000100,3461100.753749999200,3333333.000000000000,10531018.192000000000
FS( 47 ),3646593.414000000800,3468089.690249999500,3333333.000000000000,10448017.104250001000
FS( 48 ),3543551.401500000600,3468089.690249999500,3333333.000000000000,10344975.091750000000
FS( 49 ),3543551.401500000600,3432756.733500000100,3333333.000000000000,10309642.135000002000
FS( 50 ),3658958.455500000200,3468089.690249999500,3333333.000000000000,10460382.145749999000
FS( 51 ),3717348.929250000000,3468089.690249999500,3333333.000000000000,10518772.619500000000
FS( 52 ),3736583.438250000100,3485562.031500000500,3333333.000000000000,10555479.469750000000
FS( 53 ),3678192.964500000200,3485562.031500000500,3333333.000000000000,10497088.996000001000
FS( 54 ),3665827.923000000000,3499928.178749999500,3333333.000000000000,10499090.101749999000
FS( 55 ),3672010.443750000100,3499928.178749999500,3333333.000000000000,10505272.622499999000
FS( 56 ),3742765.959000000300,3503422.646999999400,3333333.000000000000,10579522.605999999000
FS( 57 ),3691244.952750000200,3503422.646999999400,3333333.000000000000,10528001.599749999000
FS( 58 ),3646593.414000000800,3468089.690249999500,3333333.000000000000,10448017.104250001000
FS( 59 ),3710479.461750000200,3496433.710500000000,3333333.000000000000,10540247.172250001000
FS( 60 ),3575837.898750000600,3475078.626749999400,3333333.000000000000,10384250.525500000000
FS( 61 ),3575837.898750000600,3489444.773999999700,3333333.000000000000,10398616.672750000000
FS( 62 ),3595072.407750000700,3485562.031500000500,3333333.000000000000,10413968.439250002000
FS( 63 ),3704296.941000000100,3513906.051749999200,3333333.000000000000,10551536.992750000000
