代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11153635.999000000000
真實報酬,1153635.998999999800

夏普值報酬,0.106663599900
夏普值風險,0.033934552986
夏普值,3.143215116009

預期報酬,18363.788435041970
風險,89390.808951964573
起點值,0.205432623894
找到最佳解世代,3336
找到最佳解實驗#,1
找到最佳解次數,19

投資組合檔數,8
1102(1),1301(3),2324(16),2408(23),2883(33),2884(34),3008(42),5880(47),
Stock#,1102(1),1301(3),2324(16),2408(23),2883(33),2884(34),3008(42),5880(47),
張數,49,14,64,22,150,73,0,82,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,6570.634500000000,12038.415000000001,6630.720000000000,53697.695000000000,7732.287500000000,5769.494500000000,1250000.000000000000,14141.407499999767,
FS( 1 ),1248230.634499999900,1248238.415000000000,1248230.720000000000,1248297.695000000100,1248232.287500000100,1248229.494500000000,1250000.000000000000,1248241.407500000000,9987700.654000001000
FS( 2 ),1254444.250999999700,1244162.035000000100,1228081.776000000100,1232060.265000000100,1247223.162500000100,1242731.609000000200,1250000.000000000000,1239515.028999999900,9938218.127499997600
FS( 3 ),1263713.054250000000,1256148.758000000100,1233816.287999999900,1258343.445000000100,1259170.062500000200,1245638.687999999800,1250000.000000000000,1246862.372499999600,10013692.668249998000
FS( 4 ),1261761.727249999800,1256148.758000000100,1233816.287999999900,1258343.445000000100,1260663.425000000000,1236190.681249999900,1250000.000000000000,1246862.372499999600,10003786.697000001000
FS( 5 ),1249565.933499999800,1249458.493999999900,1224895.936000000000,1256153.180000000200,1251703.250000000000,1232556.832500000000,1250000.000000000000,1246862.372499999600,9961195.998500000700
FS( 6 ),1249565.933499999800,1233569.117000000100,1245922.480000000000,1264914.240000000000,1278583.775000000100,1236190.681249999900,1250000.000000000000,1239515.028999999900,9998261.255749998600
FS( 7 ),1256883.409749999900,1244162.035000000100,1284789.727999999900,1284626.625000000000,1287543.950000000200,1242731.609000000200,1250000.000000000000,1246862.372499999600,10097599.729249999000
FS( 8 ),1242736.288999999900,1262281.500000000200,1275869.376000000200,1286816.890000000100,1278583.775000000100,1245638.687999999800,1250000.000000000000,1254209.715999999800,10096136.233999999000
