代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10945800.885749999000
真實報酬,945800.885749999430

夏普值報酬,0.085880088575
夏普值風險,0.033401424857
夏普值,2.571150450724

預期報酬,17825.568085757088
風險,341955.693062671050
起點值,0.052128297459
找到最佳解世代,3846
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1303(4),1326(5),
Stock#,1303(4),1326(5),
張數,119,105,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,34203.809749999069,22216.752499999067,
FS( 1 ),4992933.809750000000,4992916.752500000400,9985850.562249999500
FS( 2 ),5125006.881999999300,5021098.384999999800,10146105.266999999000
FS( 3 ),5433037.786999998600,5358747.646249999300,10791785.433249999000
FS( 4 ),5475688.219999999700,5315888.142500000100,10791576.362500001000
FS( 5 ),5485166.093999998600,5193581.753749998300,10678747.847749997000
FS( 6 ),5604824.253249999100,5265711.162499997800,10870535.415749997000
FS( 7 ),5604824.253249999100,5193581.753749998300,10798406.006999997000
FS( 8 ),5552695.946249998200,5100545.269999999600,10653241.216249999000
FS( 9 ),5544402.806499999000,5093227.793749999300,10637630.600249998000
FS( 10 ),5527816.526999998800,5121452.345000000700,10649268.872000000000
FS( 11 ),5552695.946249998200,5071275.364999999300,10623971.311249997000
FS( 12 ),5501752.373499997900,5049322.936250001200,10551075.309749998000
FS( 13 ),5552695.946249998200,5049322.936250001200,10602018.882500000000
FS( 14 ),5544402.806499999000,5071275.364999999300,10615678.171499997000
FS( 15 ),5544402.806499999000,5056640.412499997800,10601043.218999997000
FS( 16 ),5485166.093999998600,5021098.384999999800,10506264.478999998000
FS( 17 ),5347736.921000000100,4948968.976250000300,10296705.897250000000
FS( 18 ),5329965.907249998300,5013780.908749999500,10343746.815999998000
FS( 19 ),5279022.334499999900,4970921.405000001200,10249943.739500001000
FS( 20 ),5175950.454749998600,4999145.956249998900,10175096.410999998000
FS( 21 ),5090649.588749999200,4906109.472499998300,9996759.061249997500
FS( 22 ),5056292.295499999100,4870567.445000000300,9926859.740499999400
FS( 23 ),5021935.002249999900,4863249.968749999100,9885184.970999999000
FS( 24 ),5090649.588749999200,4970921.405000001200,10061570.993750000000
FS( 25 ),4961513.555499998900,4906109.472499998300,9867623.027999997100
FS( 26 ),5056292.295499999100,4913426.948749999500,9969719.244249999500
FS( 27 ),5038521.281749999200,4841297.539999999100,9879818.821749998300
FS( 28 ),5090649.588749999200,4884157.043749999300,9974806.632499998400
FS( 29 ),5184243.594499998700,4906109.472499998300,10090353.066999998000
FS( 30 ),5321672.767499999100,5035733.337499999400,10357406.104999999000
FS( 31 ),5475688.219999999700,5193581.753749998300,10669269.973749999000
FS( 32 ),5441330.926749998700,5106817.392500000100,10548148.319249999000
FS( 33 ),5485166.093999998600,5164311.848749999900,10649477.942749999000
FS( 34 ),5475688.219999999700,5229123.781249999100,10704812.001249999000
FS( 35 ),5459101.940499998600,5243758.733749999700,10702860.674249999000
FS( 36 ),5501752.373499997900,5221806.304999999700,10723558.678499997000
FS( 37 ),5604824.253249999100,5243758.733749999700,10848582.987000000000
FS( 38 ),5475688.219999999700,5293935.713749999200,10769623.933750000000
FS( 39 ),5587053.239499999200,5336795.217500001200,10923848.457000000000
FS( 40 ),5570466.959999999000,5394289.673750000100,10964756.633749999000
FS( 41 ),5596531.113499999000,5394289.673750000100,10990820.787249999000
FS( 42 ),5604824.253249999100,5358747.646249999300,10963571.899499997000
FS( 43 ),5536109.666749998900,5351430.169999999000,10887539.836749997000
FS( 44 ),5587053.239499999200,5344112.693749997800,10931165.933249997000
FS( 45 ),5536109.666749998900,5279300.761249999500,10815410.427999999000
FS( 46 ),5552695.946249998200,5279300.761249999500,10831996.707499998000
FS( 47 ),5613117.392999999200,5373382.598749999900,10986499.991749998000
FS( 48 ),5613117.392999999200,5438194.531249999100,11051311.924249999000
FS( 49 ),5613117.392999999200,5423559.578749999400,11036676.971749999000
FS( 50 ),5510045.513249998900,5329477.741250000000,10839523.254499998000
FS( 51 ),5467395.080249999600,5308570.666249999800,10775965.746500000000
FS( 52 ),5459101.940499998600,5351430.169999999000,10810532.110499997000
FS( 53 ),5433037.786999998600,5323205.618749999400,10756243.405749999000
FS( 54 ),5501752.373499997900,5344112.693749997800,10845865.067249995000
FS( 55 ),5578760.099749999100,5366065.122499998700,10944825.222249998000
FS( 56 ),5578760.099749999100,5408924.626250000700,10987684.726000000000
FS( 57 ),5587053.239499999200,5358747.646249999300,10945800.885749999000
