代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11410797.387250001000
真實報酬,1410797.387250000600

夏普值報酬,0.132379738725
夏普值風險,0.040862369371
夏普值,3.239649113938

預期報酬,20950.982319444298
風險,93342.025174118258
起點值,0.224453907877
找到最佳解世代,3355
找到最佳解實驗#,1
找到最佳解次數,26

投資組合檔數,8
1326(5),2105(9),2347(18),2382(22),2412(24),2498(27),2888(35),3045(40),
Stock#,1326(5),2105(9),2347(18),2382(22),2412(24),2498(27),2888(35),3045(40),
張數,22,36,26,36,20,2,131,25,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,27700.702000000001,4427.585000000000,5949.751000000000,7311.689000000000,58103.964999999997,108936.298000000000,7662.187749999766,27760.787499999999,
FS( 1 ),1248260.702000000000,1248227.585000000000,1248229.750999999900,1248231.689000000000,1248303.965000000100,1248376.298000000000,1248232.187750000000,1248260.787500000100,9986122.965250000400
FS( 2 ),1250744.678000000100,1253475.980000000200,1223836.648500000100,1242740.618000000000,1238059.455000000100,1228898.438499999900,1270130.933749999900,1241117.818750000100,9949004.570499999400
FS( 3 ),1242859.724000000200,1242723.770000000000,1234190.628499999900,1223386.640000000100,1239652.375000000500,1228898.438499999900,1302736.014999999900,1239126.668750000200,9953574.259750001100
FS( 4 ),1242859.724000000200,1253475.980000000200,1241179.564999999900,1229479.559000000100,1241444.410000000100,1262588.696499999800,1302736.014999999900,1241117.818750000100,10014881.768250000000
FS( 5 ),1260381.844000000000,1260644.120000000100,1285960.528499999800,1225537.082000000200,1249807.240000000000,1275431.613999999800,1335341.096249999700,1246842.375000000000,10139945.899750000000
FS( 6 ),1257096.446500000300,1257060.049999999800,1260075.578499999800,1225537.082000000200,1273701.040000000000,1251358.610500000000,1313169.640999999800,1260033.743750000100,10098032.192250000000
FS( 7 ),1247678.307000000000,1249891.909999999900,1284148.581999999900,1213351.243999999700,1260161.220000000000,1256177.193499999800,1285781.372750000100,1254309.187500000000,10051499.016750000000
FS( 8 ),1234755.743500000100,1260644.120000000100,1292949.465000000100,1200090.185000000100,1251599.275000000100,1230491.358499999900,1264914.120750000000,1254309.187500000000,9989753.455250000600
FS( 9 ),1242859.724000000200,1267812.260000000000,1254898.588499999800,1187545.940000000200,1248214.320000000100,1182365.262999999800,1270130.933749999900,1265758.300000000000,9919585.329250000400
FS( 10 ),1300244.666999999900,1291108.714999999900,1267064.515000000100,1245249.466999999900,1251599.275000000100,1206438.266500000100,1280564.559749999800,1278949.668750000200,10121219.134000000000
FS( 11 ),1325870.767500000100,1332683.926999999900,1278971.591999999900,1257435.304999999900,1260161.220000000000,1183958.183000000000,1261001.510999999700,1290149.887500000200,10190232.392999999000
FS( 12 ),1330689.350499999900,1287524.645000000000,1236002.575000000000,1257435.304999999900,1266931.129999999900,1110166.163999999900,1238830.055749999600,1282683.075000000200,10010262.300250001000
FS( 13 ),1322804.396500000300,1287524.645000000000,1244544.608500000100,1267470.700999999700,1263546.175000000300,1134219.255999999800,1255784.697999999900,1280691.925000000000,10056586.405000001000
FS( 14 ),1329156.165000000000,1287524.645000000000,1268617.611999999700,1316214.053000000100,1263546.175000000300,1185571.014500000000,1255784.697999999900,1275216.262500000200,10181630.625000000000
FS( 15 ),1340326.516500000100,1292900.749999999800,1267064.515000000100,1316214.053000000100,1263546.175000000300,1219261.272500000000,1238830.055749999600,1280691.925000000000,10218835.262750002000
FS( 16 ),1346678.284999999900,1283940.575000000000,1267064.515000000100,1348112.275999999800,1263546.175000000300,1195188.268999999900,1244046.868749999900,1282683.075000000200,10231260.038750000000
FS( 17 ),1407348.625499999800,1289316.680000000200,1270429.558500000000,1372842.359000000200,1277085.995000000100,1185571.014500000000,1261001.510999999700,1292141.037500000100,10355736.780999999000
FS( 18 ),1447430.474999999900,1296484.820000000100,1294502.561999999900,1360656.520999999900,1271909.004999999900,1193595.348999999900,1255784.697999999900,1301599.000000000000,10421962.430000000000
FS( 19 ),1445897.289500000000,1289316.680000000200,1310292.381499999900,1355638.823000000100,1265139.095000000000,1193595.348999999900,1238830.055749999600,1311056.962500000100,10409766.636249999000
FS( 20 ),1473056.575500000000,1253475.980000000200,1315469.371500000100,1399722.884000000300,1271909.004999999900,1244947.107499999900,1255784.697999999900,1326239.481250000200,10540605.102750000000
FS( 21 ),1431441.540500000100,1231613.152999999900,1299938.401499999900,1385028.196999999900,1270316.085000000200,1217668.352500000000,1249263.681749999800,1316781.518750000000,10402050.930000000000
FS( 22 ),1450715.872500000100,1231613.152999999900,1317022.468499999700,1404740.582000000200,1277085.995000000100,1294686.034499999800,1261001.510999999700,1324248.331250000000,10561113.947750000000
FS( 23 ),1450715.872500000100,1219068.907999999800,1318834.415000000000,1404740.582000000200,1275293.960000000200,1293073.203000000000,1244046.868749999900,1324248.331250000000,10530022.140500000000
FS( 24 ),1444145.077500000100,1217276.873000000100,1313657.424999999800,1397214.034999999900,1287240.860000000100,1304303.288999999900,1228396.429749999700,1320514.925000000000,10512748.914250001000
FS( 25 ),1448963.660500000000,1228029.082999999900,1303303.444999999800,1404740.582000000200,1290625.815000000200,1321964.789500000000,1233613.242749999700,1314790.368750000100,10546030.986500001000
FS( 26 ),1519271.166999999700,1224445.012999999800,1291137.518499999800,1394705.186000000000,1305758.554999999700,1328376.292500000000,1249263.681749999800,1320514.925000000000,10633472.338749999000
FS( 27 ),1543364.082000000200,1204732.628000000000,1285960.528499999800,1387537.045999999900,1324475.365000000000,1350836.464500000000,1310561.234499999800,1316781.518750000000,10724248.867250001000
FS( 28 ),1546649.479499999700,1208316.698000000300,1277418.494999999900,1367824.661000000100,1356532.879999999700,1355655.047499999900,1293606.592249999500,1320514.925000000000,10726518.778250000000
