代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11376133.288000003000
真實報酬,1376133.288000002500

夏普值報酬,0.128913328800
夏普值風險,0.039160141128
夏普值,3.291952610140

預期報酬,22919.063978498794
風險,147399.848043242290
起點值,0.155489061100
找到最佳解世代,3554
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2498(27),2912(39),3045(40),
Stock#,2498(27),2912(39),3045(40),
張數,12,52,78,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,23583.317999999999,53185.440999999999,40166.916000000463,
FS( 1 ),3328623.318000000000,3328665.441000000100,3328646.916000000200,9985936.675000000700
FS( 2 ),3305277.278999999600,3297605.074000000000,3324967.071000000000,9927850.424000000600
FS( 3 ),3357724.169999999900,3305888.257999999900,3319531.231500000200,9983144.659499999100
FS( 4 ),3541467.491999999600,3322454.625999999700,3319531.231500000200,10183454.349499999000
FS( 5 ),3440874.594000000500,3281038.706000000700,3319531.231500000200,10041445.531500001000
FS( 6 ),3414591.413999999900,3318313.034000000000,3307883.004000000700,10040788.452000000000
FS( 7 ),3475879.011000000400,3338503.295000000400,3346710.429000000500,10161093.735000001000
FS( 8 ),3427733.003999999700,3346786.478999999800,3346710.429000000500,10121230.912000000000
FS( 9 ),3480299.363999999600,3552312.982000000300,3319531.231500000200,10352144.577500001000
FS( 10 ),3484600.247999999200,3482423.616999999600,3335838.750000000500,10302863.614999998000
FS( 11 ),3454016.183999999900,3544029.798000000400,3335838.750000000500,10333885.732000001000
FS( 12 ),3405870.177000000100,3494848.393000000200,3324967.071000000000,10225686.641000001000
FS( 13 ),3484600.247999999200,3539888.206000000200,3324967.071000000000,10349456.525000000000
FS( 14 ),3506463.074999999300,3515038.654000000600,3319531.231500000200,10341033.960500000000
FS( 15 ),3550308.197999999400,3486565.208999999800,3253524.609000001100,10290399.016000001000
FS( 16 ),3576471.909000000000,3503131.577000000000,3253524.609000001100,10333129.095000001000
FS( 17 ),3637759.505999999600,3539888.206000000200,3297011.325000000200,10474660.037000000000
