代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10898430.262750000000
真實報酬,898430.262749999760

夏普值報酬,0.081143026275
夏普值風險,0.026135231403
夏普值,3.104737242376

預期報酬,13106.046534473313
風險,81472.823651249550
起點值,0.160864027379
找到最佳解世代,3621
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,7
2324(16),2330(18),2412(25),2474(27),2884(34),2912(41),3481(44),
Stock#,2324(16),2330(18),2412(25),2474(27),2884(34),2912(41),3481(44),
張數,75,7,14,4,86,5,113,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,6797.856250000000,119317.969249999990,42979.341500000002,266637.601000000020,659.121000000233,169279.062500000000,6136.915750000000,
FS( 1 ),1426547.856250000000,1426707.969250000100,1426599.341500000100,1426917.601000000000,1426539.121000000000,1426779.062500000000,1426546.915749999900,9986640.867250001100
FS( 2 ),1420265.462499999900,1410817.682250000100,1427167.087000000300,1448863.002000000100,1420229.602000000200,1406729.008749999800,1414636.602749999800,9948711.447249999300
FS( 3 ),1403091.793750000000,1407472.550250000100,1433717.970500000100,1429509.024000000000,1420229.602000000200,1413996.706250000000,1464136.591749999900,9972157.238500000900
FS( 4 ),1444905.943750000100,1400712.596000000400,1427167.087000000300,1423734.689000000000,1435641.103000000400,1406729.008749999800,1554136.571749999900,10093029.999250000000
FS( 5 ),1455359.481250000000,1407472.550250000100,1420476.823000000100,1421783.362000000000,1435641.103000000400,1423604.004999999900,1503511.582999999900,10067851.907500001000
FS( 6 ),1427732.274999999900,1407472.550250000100,1420476.823000000100,1417920.531000000000,1435641.103000000400,1413996.706250000000,1599136.561749999900,10122379.550250001000
FS( 7 ),1438185.812500000200,1410817.682250000100,1420476.823000000100,1421783.362000000000,1439065.881000000300,1401900.470000000000,1593511.562999999600,10125744.593750000000
FS( 8 ),1416532.056249999900,1393952.641750000200,1420476.823000000100,1387017.882999999900,1442490.659000000200,1399511.089999999600,1593511.562999999600,10053495.715999998000
FS( 9 ),1413545.331250000000,1383847.555499999800,1433717.970500000100,1388969.210000000000,1438209.686500000100,1399511.089999999600,1648636.550749999900,10106440.394499999000
FS( 10 ),1427732.274999999900,1387262.377750000000,1427167.087000000300,1392832.041000000000,1434784.908500000400,1397071.931249999900,1659886.548250000000,10126740.168749999000
FS( 11 ),1430719.000000000000,1377087.601250000100,1413786.558999999900,1367703.728000000100,1422798.185500000400,1394682.551250000000,1632886.554250000000,10039667.179250002000
FS( 12 ),1438185.812500000200,1380502.423500000000,1407096.295000000200,1385106.379000000000,1422798.185500000400,1418825.245000000100,1582261.565499999800,10034778.906000001000
FS( 13 ),1434452.406250000000,1400712.596000000400,1413786.558999999900,1387017.882999999900,1430503.936000000200,1413996.706250000000,1571011.568000000000,10051484.654500002000
FS( 14 ),1444905.943750000100,1400712.596000000400,1413786.558999999900,1392832.041000000000,1418517.213000000000,1411557.547500000100,1531636.576749999800,10013951.477000000000
FS( 15 ),1444905.943750000100,1414232.504500000000,1420476.823000000100,1441137.340000000100,1434784.908500000400,1435700.241250000200,1643011.551999999900,10234252.313000001000
FS( 16 ),1441172.537499999900,1407472.550250000100,1413786.558999999900,1466225.830000000100,1434784.908500000400,1464621.695000000300,1627261.555500000000,10255328.635750001000
FS( 17 ),1430719.000000000000,1420922.768500000200,1413786.558999999900,1458500.168000000100,1427079.158000000300,1426043.163750000100,1587886.564249999800,10164940.381500000000
FS( 18 ),1427732.274999999900,1431097.544999999900,1400545.411500000400,1464314.326000000100,1418517.213000000000,1435700.241250000200,1582261.565499999800,10160171.577250002000
FS( 19 ),1448639.349999999900,1444547.763250000100,1413786.558999999900,1458500.168000000100,1430503.936000000200,1433261.082500000000,1610386.559249999700,10239628.418000000000
FS( 20 ),1452372.756249999900,1454652.849500000000,1420476.823000000100,1468177.157000000100,1438209.686500000100,1433261.082500000000,1593511.562999999600,10260664.917749999000
FS( 21 ),1452372.756249999900,1454652.849500000000,1427167.087000000300,1477814.323000000100,1434784.908500000400,1430871.702499999900,1637386.553249999900,10315053.180000002000
FS( 22 ),1438185.812500000200,1451307.717499999800,1420476.823000000100,1468177.157000000100,1434784.908500000400,1426043.163750000100,1599136.561749999900,10238115.144000001000
FS( 23 ),1438185.812500000200,1485037.798500000000,1433717.970500000100,1506805.466999999900,1434784.908500000400,1421214.625000000000,1542886.574249999800,10262636.156250000000
FS( 24 ),1441172.537499999900,1491797.752750000000,1440408.234500000300,1568610.763000000000,1422798.185500000400,1442918.160000000400,1469761.590499999700,10277470.223750001000
FS( 25 ),1448639.349999999900,1505247.971000000400,1433717.970500000100,1537708.115000000200,1422798.185500000400,1471889.392500000100,1497886.584249999800,10317890.568750001000
FS( 26 ),1416532.056249999900,1518767.879500000000,1433717.970500000100,1514531.129000000000,1430503.936000000200,1503250.005000000100,1454011.594000000000,10271317.570250001000
FS( 27 ),1423998.868749999900,1508593.102999999900,1447098.498500000000,1499079.804999999900,1434784.908500000400,1495982.307499999900,1448386.595250000000,10257927.086499998000
FS( 28 ),1448639.349999999900,1508593.102999999900,1453788.762500000200,1543482.450000000000,1434784.908500000400,1488764.388749999900,1459636.592750000100,10337692.555500001000
FS( 29 ),1448639.349999999900,1498488.016750000200,1453788.762500000200,1529982.453000000200,1438209.686500000100,1508028.764999999900,1475386.589249999700,10352526.623000002000
FS( 30 ),1452372.756249999900,1495142.884749999700,1453788.762500000200,1553159.439000000000,1453621.187500000000,1488764.388749999900,1459636.592750000100,10356489.011499999000
FS( 31 ),1462826.293750000000,1491797.752750000000,1453788.762500000200,1508716.970999999900,1453621.187500000000,1467060.853750000000,1448386.595250000000,10286201.416500000000
FS( 32 ),1469546.425000000000,1488382.930499999800,1447098.498500000000,1499079.804999999900,1450196.409500000300,1464621.695000000300,1509136.581749999700,10328065.345249999000
FS( 33 ),1452372.756249999900,1501902.839000000200,1453788.762500000200,1493265.647000000100,1450196.409500000300,1469450.233749999900,1475386.589249999700,10296366.237250000000
FS( 34 ),1469546.425000000000,1501902.839000000200,1453788.762500000200,1518393.960000000000,1453621.187500000000,1510467.923750000100,1514761.580499999900,10422485.678250000000
FS( 35 ),1452372.756249999900,1505247.971000000400,1453788.762500000200,1526119.622000000000,1450196.409500000300,1527342.919999999900,1531636.576749999800,10446708.017999999000
FS( 36 ),1452372.756249999900,1515353.057250000100,1467029.910000000100,1514531.129000000000,1453621.187500000000,1500810.846249999900,1537261.575499999600,10440983.461750001000
FS( 37 ),1448639.349999999900,1515353.057250000100,1467029.910000000100,1518393.960000000000,1457902.160000000400,1491153.768750000000,1520386.579250000000,10418861.785250001000
FS( 38 ),1420265.462499999900,1488382.930499999800,1473720.174000000300,1495216.973999999900,1445915.436999999900,1467060.853750000000,1526011.577999999700,10316576.409750000000
FS( 39 ),1448639.349999999900,1515353.057250000100,1480410.438000000100,1502942.636000000200,1445915.436999999900,1486325.229999999700,1531636.576749999800,10411225.725000000000
FS( 40 ),1452372.756249999900,1528872.965750000200,1480410.438000000100,1510668.298000000200,1450196.409500000300,1495982.307499999900,1542886.574249999800,10461392.749250000000
FS( 41 ),1444905.943750000100,1528872.965750000200,1473720.174000000300,1533845.284000000000,1450196.409500000300,1486325.229999999700,1548511.573000000100,10466380.580000002000
FS( 42 ),1448639.349999999900,1549083.138250000100,1480410.438000000100,1576336.425000000000,1453621.187500000000,1495982.307499999900,1599136.561749999900,10603212.408000000000
FS( 43 ),1448639.349999999900,1538978.052000000100,1480410.438000000100,1634278.890000000100,1445915.436999999900,1481496.691250000400,1610386.559249999700,10640108.417500000000
FS( 44 ),1448639.349999999900,1545738.006250000100,1473720.174000000300,1603376.242000000100,1445915.436999999900,1512857.303750000400,1616011.557999999700,10646261.071000000000
FS( 45 ),1430719.000000000000,1555843.092499999800,1486961.321499999800,1634278.890000000100,1445915.436999999900,1512857.303750000400,1587886.564249999800,10654464.608999999000
