代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10499299.199999999254942
真實報酬,499299.199999999254942

夏普值報酬,0.041229920000000
夏普值風險,0.023978776989834
夏普值,1.719433815055671

二次趨勢線,4208.401985813829015 x^2 + -54326.074137418065220 x + 10000000.000000000000000
二次加權預期報酬,60703.580141493264819
風險,64137.058338118469692
二次加權趨勢值,0.946466547023024
一次趨勢線,10339.614912892000575 x + 10000000.000000000000000
一次預期報酬,10339.614912892000575
一次風險,209739.662593315937556
一次趨勢值,0.049297375541890
找到最佳解世代,1599
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](8),KO[14](3),TRV[22](2),VZ[26](1),
Stock#,AXP[1](8),KO[14](3),TRV[22](2),VZ[26](1),
張數,43096,67439,42137,64901,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.040000000037253,36.270000000018626,11.790000000037253,13.479999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2516376.479999999981374,2487186.590000000316650,2497893.149999999906868,2496105.939999999944121,9997562.160000000149012
FS( 3 ),2472418.560000000055879,2477070.739999999757856,2495364.930000000167638,2491562.870000000111759,9936417.100000001490116
FS( 4 ),2503878.640000000130385,2477745.130000000353903,2481038.350000000093132,2444185.139999999664724,9906847.260000001639128
FS( 5 ),2463368.399999999906868,2457513.429999999701977,2446064.640000000130385,2431204.939999999944121,9798151.410000000149012
FS( 6 ),2421134.319999999832362,2428514.659999999683350,2433423.540000000037253,2388370.279999999795109,9671442.799999998882413
FS( 7 ),2454318.240000000223517,2431886.610000000335276,2451121.080000000074506,2426012.860000000335276,9763338.790000000968575
FS( 8 ),2501292.879999999888241,2435258.560000000055879,2490308.490000000223517,2437046.029999999795109,9863905.959999999031425
FS( 9 ),2468539.919999999925494,2425817.100000000093132,2449014.229999999981374,2418224.739999999757856,9761595.990000000223517
FS( 10 ),2492242.719999999739230,2442676.850000000093132,2492836.709999999962747,2429257.910000000149012,9857014.190000001341105
FS( 11 ),2507326.319999999832362,2493930.489999999757856,2527810.419999999925494,2449377.220000000204891,9978444.449999999254942
FS( 12 ),2501292.879999999888241,2501348.780000000260770,2505899.180000000167638,2444185.139999999664724,9952725.980000000447035
FS( 13 ),2481037.760000000242144,2489209.759999999776483,2599864.689999999944121,2475986.629999999888241,10046098.839999999850988
FS( 14 ),2475866.240000000223517,2500000.000000000000000,2644108.540000000037253,2513629.209999999962747,10133603.990000000223517
FS( 15 ),2470263.760000000242144,2485163.419999999925494,2650850.459999999962747,2503245.049999999813735,10109522.689999999478459
FS( 16 ),2483623.520000000018626,2499325.610000000335276,2670233.479999999981374,2563602.979999999981374,10216785.590000001713634
FS( 17 ),2538786.399999999906868,2526975.600000000093132,2687509.649999999906868,2562304.959999999962747,10315576.609999999403954
FS( 18 ),2568091.680000000167638,2552602.419999999925494,2729225.279999999795109,2605139.620000000111759,10455059.000000000000000
FS( 19 ),2593087.360000000335276,2584298.750000000000000,2697201.160000000149012,2610980.709999999962747,10485567.980000000447035
FS( 20 ),2594811.200000000186265,2573508.509999999776483,2710263.629999999888241,2620715.860000000335276,10499299.199999999254942
