代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10121664.609999999403954
真實報酬,121664.609999999403954

夏普值報酬,0.003466461000000
夏普值風險,0.008434293582561
夏普值,0.410996008861659

二次趨勢線,1924.581720506650072 x^2 + -34319.635091499643750 x + 10000000.000000000000000
二次加權預期報酬,20851.707563024323463
風險,21816.905613662016549
二次加權趨勢值,0.955759168246423
一次趨勢線,-3302.538991241293843 x + 10000000.000000000000000
一次預期報酬,-3302.538991241293843
一次風險,102757.248886890316498
一次趨勢值,-339359821.081641316413879
找到最佳解世代,2180
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
BA[2](30),HD[9](1),JNJ[12](18),KO[14](8),MCD[15](2),PG[21](3),TRV[22](4),VZ[26](6),
Stock#,BA[2](30),HD[9](1),JNJ[12](18),KO[14](8),MCD[15](2),PG[21](3),TRV[22](4),VZ[26](6),
張數,2836,6750,9035,27545,6754,12698,9396,21945,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,401.679999999934807,102.500000000000000,7.750000000000000,7.899999999906868,172.299999999813735,8.880000000121072,50.119999999878928,12.800000000046566,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1227510.520000000018626,1240820.000000000000000,1251174.549999999813735,1257437.149999999906868,1219877.159999999916181,1255460.140000000130385,1241731.520000000018626,1234199.600000000093132,9928210.639999998733401
FS( 3 ),1220222.000000000000000,1242102.500000000000000,1253794.700000000186265,1256059.899999999906868,1225010.199999999720603,1258253.700000000186265,1246805.359999999869615,1230688.399999999906868,9932936.759999999776483
FS( 4 ),1204170.239999999990687,1245140.000000000000000,1256685.900000000139698,1251928.149999999906868,1229602.919999999925494,1256222.020000000251457,1238442.919999999925494,1221910.400000000139698,9904102.550000002607703
FS( 5 ),1198781.839999999850988,1232045.000000000000000,1249006.150000000139698,1247245.500000000000000,1219404.379999999888241,1251396.780000000027940,1235530.159999999916181,1235516.300000000046566,9868926.110000001266599
FS( 6 ),1198725.119999999878928,1223405.000000000000000,1247379.850000000093132,1235125.699999999953434,1212515.299999999813735,1249619.060000000055879,1231114.040000000037253,1240563.650000000139698,9838447.720000000670552
FS( 7 ),1134830.039999999804422,1231572.500000000000000,1251897.350000000093132,1272036.000000000000000,1223186.619999999878928,1264475.720000000204891,1239100.639999999897555,1263605.899999999906868,9880704.770000001415610
FS( 8 ),1065064.439999999944121,1242102.500000000000000,1257499.050000000046566,1268455.149999999906868,1228252.119999999878928,1270443.780000000027940,1247087.239999999757856,1260314.150000000139698,9839218.430000001564622
FS( 9 ),1069970.719999999972060,1222797.500000000000000,1259577.099999999860302,1273137.799999999813735,1229805.539999999804422,1284792.520000000251457,1249718.119999999878928,1265361.500000000000000,9855160.799999998882413
FS( 10 ),1059080.479999999981374,1225970.000000000000000,1247018.450000000186265,1258814.399999999906868,1234398.259999999776483,1286570.239999999990687,1250281.879999999888241,1271725.550000000046566,9833859.260000001639128
FS( 11 ),1075217.320000000065193,1230155.000000000000000,1243223.750000000000000,1247796.399999999906868,1251891.119999999878928,1300792.000000000000000,1260805.399999999906868,1281381.350000000093132,9891262.339999999850988
FS( 12 ),1056187.759999999776483,1238187.500000000000000,1239338.699999999953434,1250826.349999999860302,1242570.599999999627471,1288982.860000000102445,1267946.359999999869615,1274358.949999999953434,9858399.079999998211861
FS( 13 ),1059449.159999999916181,1242980.000000000000000,1250813.149999999906868,1254958.099999999860302,1236897.239999999990687,1293935.080000000307336,1249060.399999999906868,1261850.300000000046566,9849943.430000001564622
FS( 14 ),1067191.439999999944121,1256277.500000000000000,1240422.899999999906868,1254131.750000000000000,1249459.679999999701977,1291649.440000000176951,1234026.800000000046566,1265580.950000000186265,9858740.460000000894070
FS( 15 ),1057378.879999999888241,1282400.000000000000000,1247741.250000000000000,1253580.849999999860302,1258915.279999999795109,1301426.900000000139698,1262590.639999999897555,1279186.850000000093132,9943220.650000000372529
FS( 16 ),1027515.799999999930151,1274165.000000000000000,1236989.599999999860302,1265149.750000000000000,1261887.039999999804422,1290887.560000000055879,1267570.520000000018626,1311446.000000000000000,9935611.269999999552965
FS( 17 ),1051026.239999999990687,1280442.500000000000000,1234279.100000000093132,1267904.250000000000000,1254525.179999999701977,1294696.959999999962747,1268040.319999999832362,1318468.399999999906868,9969382.949999999254942
FS( 18 ),1050799.359999999869615,1278147.500000000000000,1251987.699999999953434,1284706.699999999953434,1266412.219999999739230,1308156.840000000083819,1268322.199999999720603,1330538.150000000139698,10039070.669999999925494
FS( 19 ),1061661.239999999990687,1277540.000000000000000,1253162.250000000000000,1283880.349999999860302,1266614.839999999850988,1306633.080000000307336,1281194.719999999739230,1336024.400000000139698,10066710.880000000819564
FS( 20 ),1062313.520000000018626,1283007.500000000000000,1254788.550000000046566,1283053.999999999767169,1279312.359999999636784,1314886.780000000027940,1286362.520000000018626,1296523.399999999906868,10060248.630000000819564
FS( 21 ),1082108.800000000046566,1295360.000000000000000,1263010.399999999906868,1290766.599999999860302,1282756.899999999906868,1321235.780000000027940,1288805.479999999748543,1297620.650000000139698,10121664.609999999403954
