代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10808367.039999999105930
真實報酬,808367.039999999105930

夏普值報酬,0.072136704000000
夏普值風險,0.025512219361115
夏普值,2.827535424454201

二次趨勢線,2035.700360116567253 x^2 + 5874.855518134350859 x + 10000000.000000000000000
二次加權預期報酬,58803.064881165097177
風險,44803.712160085022333
二次加權趨勢值,1.312459661178519
一次趨勢線,35627.399242914973001 x + 10000000.000000000000000
一次預期報酬,35627.399242914973001
一次風險,98245.796028394208406
一次趨勢值,0.362635356250951
找到最佳解世代,2921
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](11),CSCO[4](1),TRV[22](2),VZ[26](3),
Stock#,BA[2](11),CSCO[4](1),TRV[22](2),VZ[26](3),
張數,6452,52809,19764,45829,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,301.640000000130385,21.939999999944121,51.640000000130385,28.050000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2561745.640000000130385,2500528.089999999850988,2491106.200000000186265,2476627.210000000428408,10030007.140000000596046
FS( 3 ),2646783.000000000000000,2495775.279999999795109,2493873.160000000149012,2481210.110000000335276,10117641.550000000745058
FS( 4 ),2652783.360000000335276,2507393.259999999776483,2481421.839999999850988,2465169.960000000428408,10106768.419999999925494
FS( 5 ),2614458.480000000447035,2466202.240000000223517,2505336.280000000260770,2455087.580000000074506,10041084.580000001937151
FS( 6 ),2612780.960000000428408,2492078.649999999906868,2486165.200000000186265,2472502.600000000558794,10063527.410000000149012
FS( 7 ),2606587.040000000037253,2512674.159999999683350,2478852.520000000018626,2477085.500000000000000,10075199.219999998807907
FS( 8 ),2650267.080000000074506,2529044.950000000186265,2515218.280000000260770,2494042.230000000447035,10188572.540000000968575
FS( 9 ),2649363.799999999813735,2508449.439999999944121,2530634.200000000186265,2496791.970000000204891,10185239.410000000149012
FS( 10 ),2644460.280000000260770,2555977.540000000037253,2508696.160000000149012,2476168.920000000391155,10185302.900000000372529
FS( 11 ),2697044.080000000074506,2610370.810000000055879,2544469.000000000465661,2527955.689999999944121,10379839.580000000074506
FS( 12 ),2686011.160000000149012,2621988.790000000037253,2551584.040000000037253,2540787.810000000055879,10400371.800000000745058
FS( 13 ),2720142.240000000223517,2620932.609999999869615,2564233.000000000465661,2555453.090000000316650,10460760.939999999478459
FS( 14 ),2694527.799999999813735,2609314.629999999888241,2565814.120000000111759,2573326.400000000372529,10442982.949999999254942
FS( 15 ),2736272.240000000223517,2646280.929999999701977,2589530.920000000391155,2608614.730000000447035,10580698.820000000298023
FS( 16 ),2754466.880000000353903,2682191.049999999813735,2618584.000000000465661,2602198.670000000391155,10657440.599999999627471
FS( 17 ),2753821.680000000167638,2702786.560000000055879,2633999.920000000391155,2595782.610000000335276,10686390.769999999552965
FS( 18 ),2809760.520000000018626,2724438.250000000000000,2621153.320000000298023,2599448.930000000167638,10754801.019999999552965
FS( 19 ),2838923.560000000055879,2733943.870000000111759,2626884.879999999888241,2608614.730000000447035,10808367.039999999105930
