代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10913404.120000001043081
真實報酬,913404.120000001043081

夏普值報酬,0.082640412000000
夏普值風險,0.032208762867227
夏普值,2.565774175824967

二次趨勢線,2362.962221803973989 x^2 + -10688.244162381890419 x + 10000000.000000000000000
二次加權預期報酬,63351.238787475973368
風險,66220.548196239353274
二次加權趨勢值,0.956670406891522
一次趨勢線,30940.111574930648203 x + 10000000.000000000000000
一次預期報酬,30940.111574930648203
一次風險,161405.910643451701617
一次趨勢值,0.191691316951074
找到最佳解世代,1964
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](3),PFE[20](2),PG[21](10),UNH[23](5),
Stock#,INTC[11](3),PFE[20](2),PG[21](10),UNH[23](5),
張數,49251,70561,20185,11509,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.240000000223517,23.770000000018626,87.750000000000000,130.109999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2432526.130000000353903,2448490.470000000204891,2444087.549999999813735,2494705.859999999869615,9819810.009999999776483
FS( 3 ),2464046.770000000484288,2501411.220000000204891,2457409.649999999906868,2478708.350000000093132,9901575.990000000223517
FS( 4 ),2507880.160000000149012,2535280.500000000000000,2503027.750000000000000,2529808.310000000055879,10075996.720000000670552
FS( 5 ),2493104.859999999869615,2528224.399999999906868,2479613.149999999906868,2546381.270000000018626,10047323.679999999701977
FS( 6 ),2449271.470000000204891,2500000.000000000000000,2441059.800000000279397,2533376.100000000093132,9923707.370000001043081
FS( 7 ),2486209.720000000204891,2518345.859999999869615,2462254.050000000279397,2556048.830000000074506,10022858.460000000894070
FS( 8 ),2517237.850000000093132,2525401.959999999962747,2461446.649999999906868,2575038.679999999701977,10079125.140000000596046
FS( 9 ),2565503.830000000540167,2547981.479999999981374,2444289.399999999906868,2555933.739999999757856,10113708.450000001117587
FS( 10 ),2543340.880000000353903,2561388.069999999832362,2423297.000000000000000,2538900.419999999925494,10066926.370000001043081
FS( 11 ),2593084.390000000130385,2575500.270000000018626,2365769.750000000000000,2746062.419999999925494,10280416.830000000074506
FS( 12 ),2583234.190000000409782,2564210.510000000242144,2372430.799999999813735,2727648.020000000018626,10247523.520000001415610
FS( 13 ),2554176.100000000093132,2572677.830000000074506,2354264.299999999813735,2804528.139999999664724,10285646.369999999180436
FS( 14 ),2529550.600000000093132,2572677.830000000074506,2371219.700000000186265,2823748.169999999925494,10297196.300000000745058
FS( 15 ),2567473.870000000577420,2572677.830000000074506,2403717.549999999813735,2807405.389999999664724,10351274.640000000596046
FS( 16 ),2561563.750000000000000,2570561.000000000000000,2466291.050000000279397,2871395.429999999701977,10469811.230000000447035
FS( 17 ),2547280.959999999962747,2594551.740000000223517,2482842.750000000000000,2852060.310000000055879,10476735.759999999776483
FS( 18 ),2572398.970000000204891,2567738.560000000055879,2518973.899999999906868,2814195.699999999720603,10473307.129999998956919
FS( 19 ),2780730.700000000186265,2594551.740000000223517,2487889.000000000000000,2818799.299999999813735,10681970.740000000223517
FS( 20 ),2795506.000000000000000,2630537.850000000093132,2492531.550000000279397,2843428.560000000055879,10762003.960000000894070
FS( 21 ),2774820.580000000540167,2696159.580000000074506,2494953.750000000000000,2903735.719999999739230,10869669.629999998956919
FS( 22 ),2787625.840000000316650,2715211.049999999813735,2522001.649999999906868,2932623.310000000055879,10957461.850000001490116
FS( 23 ),2784178.270000000484288,2707449.339999999850988,2513322.100000000093132,2908454.409999999683350,10913404.120000001043081
