代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10607279.339999999850988
真實報酬,607279.339999999850988

夏普值報酬,0.052027934000000
夏普值風險,0.024590849599828
夏普值,2.115743654516232

二次趨勢線,-813.678945325264067 x^2 + 51097.886696001318342 x + 10000000.000000000000000
二次加權預期報酬,26687.518336243403610
風險,117077.916900662225089
二次加權趨勢值,0.227946644787737
一次趨勢線,37373.835151515100733 x + 10000000.000000000000000
一次預期報酬,37373.835151515100733
一次風險,125966.424402783391997
一次趨勢值,0.296696800982542
找到最佳解世代,2104
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),MSFT[18](1),
Stock#,AAPL[0](2),MSFT[18](1),
張數,76640,157878,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.400000000372529,3.739999999292195,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5064377.600000000558794,5034733.159999999217689,10099110.759999999776483
FS( 3 ),5139484.800000000745058,5004736.339999998919666,10144221.140000000596046
FS( 4 ),5093500.799999999813735,4985790.979999998584390,10079291.779999997466803
FS( 5 ),5091201.600000000558794,5061572.419999999925494,10152774.019999999552965
FS( 6 ),5047516.800000000745058,5192611.159999999217689,10240127.960000000894070
FS( 7 ),4975475.200000000186265,5162614.339999999850988,10138089.539999999105930
FS( 8 ),5117259.200000000186265,5189453.599999998696148,10306712.799999998882413
FS( 9 ),5360208.000000000000000,5088411.679999998770654,10448619.679999999701977
FS( 10 ),5457540.799999999813735,5107357.039999999105930,10564897.839999999850988
FS( 11 ),5451409.599999999627471,5018945.359999999403954,10470354.959999999031425
FS( 12 ),5499692.800000000745058,5020524.139999999664724,10520216.940000001341105
FS( 13 ),5558705.600000000558794,4955794.159999999217689,10514499.759999999776483
FS( 14 ),5485897.600000000558794,4992106.099999999627471,10478003.699999999254942
FS( 15 ),5500459.200000000186265,4990527.319999999366701,10490986.519999999552965
FS( 16 ),5506590.400000000372529,5113672.159999999217689,10620262.559999998658895
FS( 17 ),5485131.200000000186265,5486264.239999999292195,10971395.439999999478459
FS( 18 ),5506590.400000000372529,5391537.439999999478459,10898127.839999999850988
FS( 19 ),5349478.400000000372529,5251026.019999998621643,10600504.419999998062849
FS( 20 ),5374769.599999999627471,5213135.299999999813735,10587904.899999998509884
FS( 21 ),5383200.000000000000000,5296810.639999998733401,10680010.639999998733401
FS( 22 ),5334150.400000000372529,5273128.939999999478459,10607279.339999999850988
