代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10525817.109999999403954
真實報酬,525817.109999999403954

夏普值報酬,0.043881711000000
夏普值風險,0.013946503352865
夏普值,3.146431036492449

二次趨勢線,-1137.241882802732789 x^2 + 48314.462746202269045 x + 10000000.000000000000000
二次加權預期報酬,17229.851282927571447
風險,34708.622022022136662
二次加權趨勢值,0.496414155306871
一次趨勢線,30839.770400696852448 x + 10000000.000000000000000
一次預期報酬,30839.770400696852448
一次風險,64161.641694385754818
一次趨勢值,0.480657439340356
找到最佳解世代,2228
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),CVX[5](20),NKE[19](2),PG[21](3),WMT[28](1),
Stock#,BA[2](5),CVX[5](20),NKE[19](2),PG[21](3),WMT[28](1),
張數,5643,17201,23621,16479,17445,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,7.939999999944121,39.729999999981374,9.929999999934807,108.560000000055879,105.199999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2011906.729999999748543,2016856.979999999981374,2039683.279999999795109,2030486.149999999906868,2022155.149999999906868,10121088.290000000968575
FS( 3 ),2033180.840000000083819,2023565.369999999878928,2088578.750000000000000,2023070.600000000093132,2013956.000000000000000,10182351.560000000521541
FS( 4 ),2048416.939999999944121,2034229.989999999990687,2094956.419999999925494,2024883.290000000037253,2001570.050000000046566,10204056.689999999478459
FS( 5 ),2024603.479999999748543,2053667.119999999878928,2094484.000000000000000,2013347.989999999990687,2029482.049999999813735,10215584.640000000596046
FS( 6 ),2085040.010000000009313,2095981.579999999841675,2051021.359999999869615,1975611.080000000074506,2024597.449999999953434,10232251.479999998584390
FS( 7 ),2160938.359999999869615,2086177.010000000009313,2049131.679999999934807,1998516.889999999897555,2024074.099999999860302,10318838.039999999105930
FS( 8 ),2119688.029999999795109,2088585.149999999906868,2070863.000000000000000,2023235.389999999897555,2039774.600000000093132,10342146.169999999925494
FS( 9 ),2142993.620000000111759,2089961.229999999981374,2062595.649999999674037,2012524.040000000037253,2048671.550000000046566,10356746.089999999850988
FS( 10 ),2137858.490000000223517,2135027.850000000093132,2061414.599999999860302,1973468.810000000055879,2016223.849999999860302,10323993.599999999627471
FS( 11 ),2168048.540000000037253,2131071.620000000111759,2068973.320000000065193,1996704.199999999953434,2032622.150000000139698,10397419.830000000074506
FS( 12 ),2180519.570000000298023,2136059.910000000149012,2080547.609999999869615,2000823.949999999953434,2043961.399999999906868,10441912.439999999478459
FS( 13 ),2169402.859999999869615,2127115.390000000130385,2071571.629999999888241,2008898.660000000149012,2043089.149999999906868,10420077.689999999478459
FS( 14 ),2140905.709999999962747,2138468.049999999813735,2047478.210000000195578,2014501.520000000018626,2040821.300000000046566,10382174.790000000968575
FS( 15 ),2127588.229999999981374,2148444.629999999888241,2071335.419999999925494,2030650.939999999944121,2051986.100000000093132,10430005.319999998435378
FS( 16 ),2153658.889999999664724,2128491.469999999739230,2059288.710000000195578,2037077.750000000000000,2065593.199999999953434,10444110.019999999552965
FS( 17 ),2179334.540000000037253,2124535.240000000223517,2145032.940000000409782,2027355.139999999897555,2066814.349999999860302,10543072.210000000894070
FS( 18 ),2183228.209999999962747,2066911.889999999897555,2177157.500000000000000,2048613.050000000046566,2063848.699999999953434,10539759.349999999627471
FS( 19 ),2160486.919999999925494,2040078.329999999841675,2180464.440000000409782,2052897.589999999850988,2066465.449999999953434,10500392.730000000447035
FS( 20 ),2147000.149999999906868,2040078.329999999841675,2218494.250000000000000,2049766.580000000074506,2070477.800000000046566,10525817.109999999403954
