代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10191885.219999998807907
真實報酬,191885.219999998807907

夏普值報酬,0.010488522000000
夏普值風險,0.011674200780376
夏普值,0.898435978386699

二次趨勢線,972.684004929570392 x^2 + -8072.834561669817049 x + 10000000.000000000000000
二次加權預期報酬,21107.685586217296077
風險,66269.868638633692171
二次加權趨勢值,0.318511052154282
一次趨勢線,8333.102321475582357 x + 10000000.000000000000000
一次預期報酬,8333.102321475582357
一次風險,86480.072635591917788
一次趨勢值,0.096358641563467
找到最佳解世代,2507
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](2),UNH[23](8),UTX[24](1),WMT[28](3),
Stock#,MCD[15](2),UNH[23](8),UTX[24](1),WMT[28](3),
張數,21843,21503,25853,42380,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,68.649999999906868,61.219999999739230,14.899999999906868,3.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2484054.609999999869615,2529674.139999999664724,2462513.149999999906868,2472876.799999999813735,9949118.699999999254942
FS( 3 ),2476846.419999999925494,2472906.219999999739230,2448294.000000000000000,2502119.000000000000000,9900165.640000000596046
FS( 4 ),2538225.250000000000000,2531824.439999999478459,2474922.589999999850988,2528394.599999999627471,10073366.879999998956919
FS( 5 ),2543030.709999999962747,2492473.949999999720603,2479576.129999999888241,2563993.799999999813735,10079074.589999999850988
FS( 6 ),2545433.439999999944121,2491828.859999999869615,2436143.089999999850988,2526275.599999999627471,9999680.989999998360872
FS( 7 ),2546525.589999999850988,2473981.369999999646097,2434333.379999999888241,2505933.199999999720603,9960773.539999999105930
FS( 8 ),2560068.250000000000000,2498924.849999999627471,2426836.010000000242144,2524156.600000000093132,10009985.709999999031425
FS( 9 ),2535604.089999999850988,2493979.159999999683350,2412099.799999999813735,2515680.599999999627471,9957363.649999998509884
FS( 10 ),2539535.830000000074506,2491183.769999999552965,2405119.489999999757856,2559332.000000000000000,9995171.089999999850988
FS( 11 ),2554170.640000000130385,2529029.049999999813735,2411065.680000000167638,2527547.000000000000000,10021812.369999999180436
FS( 12 ),2574047.770000000018626,2555262.709999999497086,2459410.789999999571592,2555517.799999999813735,10144239.070000000298023
FS( 13 ),2566621.149999999906868,2563648.879999999888241,2426836.010000000242144,2499576.199999999720603,10056682.239999998360872
FS( 14 ),2548273.029999999795109,2490538.679999999701977,2387280.919999999925494,2494066.799999999813735,9920159.429999999701977
FS( 15 ),2570771.319999999832362,2524728.449999999720603,2420114.229999999981374,2523732.799999999813735,10039346.800000000745058
FS( 16 ),2571426.609999999869615,2525373.539999999571592,2452689.010000000242144,2565689.000000000000000,10115178.160000000149012
FS( 17 ),2595017.049999999813735,2552252.289999999571592,2489658.799999999813735,2588998.000000000000000,10225926.140000000596046
FS( 18 ),2589993.159999999683350,2544726.239999999757856,2489658.799999999813735,2577979.199999999720603,10202357.399999998509884
FS( 19 ),2593924.899999999906868,2544511.209999999497086,2484229.669999999925494,2574588.799999999813735,10197254.579999998211861
FS( 20 ),2622757.659999999683350,2576550.679999999701977,2514736.209999999962747,2611035.599999999627471,10325080.149999998509884
FS( 21 ),2608778.140000000130385,2557197.979999999981374,2505170.600000000093132,2614002.199999999720603,10285148.919999999925494
FS( 22 ),2580600.669999999925494,2529674.139999999664724,2483712.609999999869615,2597897.799999999813735,10191885.219999998807907
