代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10715106.190000001341105
真實報酬,715106.190000001341105

夏普值報酬,0.062810619000000
夏普值風險,0.018287783187975
夏普值,3.434567129016441

二次趨勢線,127.938084415584740 x^2 + 26208.417034161539050 x + 10000000.000000000000000
二次加權預期報酬,30046.559566629079200
風險,33271.472393916556030
二次加權趨勢值,0.903072734831022
一次趨勢線,28366.306057971018163 x + 10000000.000000000000000
一次預期報酬,28366.306057971018163
一次風險,34064.630758844774391
一次趨勢值,0.832720197638009
找到最佳解世代,2572
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](1),WMT[28](2),
Stock#,VZ[26](1),WMT[28](2),
張數,99147,70921,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,16.790000000037253,69.500000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5033709.980000000447035,5031914.450000000186265,10065624.429999999701977
FS( 3 ),5048582.030000000260770,5026240.770000000484288,10074822.800000000745058
FS( 4 ),5027761.160000000149012,5039006.549999999813735,10066767.710000000894070
FS( 5 ),5130874.040000000037253,5037588.129999999888241,10168462.169999999925494
FS( 6 ),5108070.230000000447035,5055318.379999999888241,10163388.609999999403954
FS( 7 ),5150703.440000000409782,5041843.390000000596046,10192546.830000001937151
FS( 8 ),5222089.280000000260770,5045389.440000000409782,10267478.720000000670552
FS( 9 ),5212174.580000000074506,5002127.629999999888241,10214302.210000000894070
FS( 10 ),5253816.320000000298023,5031914.450000000186265,10285730.769999999552965
FS( 11 ),5238944.270000000484288,5043971.020000000484288,10282915.290000000968575
FS( 12 ),5300415.410000000149012,5056736.799999999813735,10357152.210000000894070
FS( 13 ),5332142.450000000186265,5031914.450000000186265,10364056.900000000372529
FS( 14 ),5330159.509999999776483,5042552.599999999627471,10372712.109999999403954
FS( 15 ),5363869.490000000223517,5068084.159999999217689,10431953.649999998509884
FS( 16 ),5356929.200000000186265,5088651.250000000000000,10445580.449999999254942
FS( 17 ),5420383.280000000260770,5113473.599999999627471,10533856.879999998956919
FS( 18 ),5396588.000000000000000,5103544.659999999217689,10500132.660000000149012
FS( 19 ),5427323.570000000298023,5070921.000000000000000,10498244.570000000298023
FS( 20 ),5435255.330000000074506,5071630.209999999962747,10506885.539999999105930
FS( 21 ),5459050.610000000335276,5139005.159999999217689,10598055.769999999552965
FS( 22 ),5536385.270000000484288,5178720.919999999925494,10715106.190000001341105
