代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10261471.919999998062849
真實報酬,261471.919999998062849

夏普值報酬,0.017447192000000
夏普值風險,0.022887247521232
夏普值,0.762310626641089

二次趨勢線,2875.744380834675212 x^2 + -38412.997371102188481 x + 10000000.000000000000000
二次加權預期報酬,44025.008212825159717
風險,142664.101853743602987
二次加權趨勢值,0.308592053927895
一次趨勢線,7933.301603745037937 x + 10000000.000000000000000
一次預期報酬,7933.301603745037937
一次風險,207039.600548651564168
一次趨勢值,0.038317798057579
找到最佳解世代,2588
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](1),VZ[26](2),
Stock#,IBM[10](1),VZ[26](2),
張數,29354,139353,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,133.179999999701977,14.359999999403954,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4901664.099999999627471,4955407.040000000037253,9857071.140000000596046
FS( 3 ),4846772.120000000111759,4908027.019999999552965,9754799.140000000596046
FS( 4 ),4911350.919999999925494,4963768.219999998807907,9875119.139999998733401
FS( 5 ),4850881.679999999701977,4930323.500000000000000,9781205.179999999701977
FS( 6 ),4736988.160000000149012,4910814.080000000074506,9647802.240000000223517
FS( 7 ),4767809.859999999403954,4912207.609999999403954,9680017.469999998807907
FS( 8 ),4797457.399999999441206,4947045.859999999403954,9744503.259999997913837
FS( 9 ),4909296.139999999664724,4960981.159999999217689,9870277.299999998882413
FS( 10 ),4992955.040000000037253,5043199.429999998770654,10036154.469999998807907
FS( 11 ),5078081.639999999664724,5117056.519999999552965,10195138.160000000149012
FS( 12 ),5082191.199999999254942,5055741.199999999254942,10137932.399999998509884
FS( 13 ),5128864.059999999590218,5073857.089999998919666,10202721.149999998509884
FS( 14 ),5078962.259999999776483,4994425.879999999888241,10073388.140000000596046
FS( 15 ),4949804.660000000149012,4959587.629999999888241,9909392.289999999105930
FS( 16 ),4970939.540000000037253,5000000.000000000000000,9970939.539999999105930
FS( 17 ),5122699.719999999739230,5066889.439999999478459,10189589.160000000149012
FS( 18 ),5216632.519999999552965,5140746.529999999329448,10357379.049999998882413
FS( 19 ),5211935.879999999888241,5133778.879999999888241,10345714.759999999776483
FS( 20 ),5259489.359999999403954,5176978.309999999590218,10436467.669999998062849
FS( 21 ),5133267.160000000149012,5128204.759999998845160,10261471.919999998062849
