代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11020462.679999999701977
真實報酬,1020462.679999999701977

夏普值報酬,0.093346268000000
夏普值風險,0.034026121072501
夏普值,2.743370829754678

二次趨勢線,1877.848235997173333 x^2 + 15417.966692526311817 x + 10000000.000000000000000
二次加權預期報酬,69249.616124445266905
風險,84155.163928223526455
二次加權趨勢值,0.822880176236228
一次趨勢線,45681.892914527314133 x + 10000000.000000000000000
一次預期報酬,45681.892914527314133
一次風險,129156.606670989523991
一次趨勢值,0.353693814756966
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](4),CSCO[4](5),DD[7](2),MSFT[18](1),
Stock#,CAT[3](4),CSCO[4](5),DD[7](2),MSFT[18](1),
張數,31391,91743,36651,61394,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.759999999776483,3.250000000000000,35.290000000037253,36.320000000298023,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2518834.599999999627471,2488990.839999999850988,2517958.990000000223517,2473600.580000000074506,9999385.009999999776483
FS( 3 ),2558073.349999999627471,2497247.709999999962747,2540682.609999999869615,2550957.020000000018626,10146960.689999999478459
FS( 4 ),2528251.899999999906868,2512844.020000000018626,2532619.389999999664724,2549729.140000000596046,10123444.449999999254942
FS( 5 ),2525112.799999999813735,2527522.899999999906868,2524556.169999999925494,2542975.800000000279397,10120167.669999999925494
FS( 6 ),2532646.640000000130385,2534862.339999999850988,2543981.199999999720603,2546659.439999999944121,10158149.619999999180436
FS( 7 ),2592917.359999999403954,2572476.969999999739230,2525655.699999999720603,2561394.000000000000000,10252444.029999999329448
FS( 8 ),2578477.500000000000000,2566972.390000000130385,2519425.029999999795109,2563849.760000000242144,10228724.679999999701977
FS( 9 ),2605473.759999999776483,2551376.080000000074506,2548745.830000000074506,2557096.420000000391155,10262692.089999999850988
FS( 10 ),2673278.319999999832362,2591743.000000000000000,2615450.649999999906868,2594546.760000000242144,10475018.730000000447035
FS( 11 ),2647537.699999999720603,2623853.050000000279397,2596758.639999999664724,2588407.359999999869615,10456556.750000000000000
FS( 12 ),2614263.239999999757856,2561467.810000000055879,2591994.009999999776483,2555254.600000000093132,10322979.660000000149012
FS( 13 ),2655699.359999999403954,2612843.890000000130385,2614351.120000000111759,2634452.859999999869615,10517347.230000000447035
FS( 14 ),2634353.479999999981374,2632109.919999999925494,2591627.500000000000000,2617876.480000000447035,10475967.380000000819564
FS( 15 ),2664174.929999999701977,2625687.910000000149012,2610686.020000000018626,2639364.380000000353903,10539913.240000000223517
FS( 16 ),2661663.649999999906868,2631192.489999999757856,2661997.419999999925494,2660852.280000000726432,10615705.839999999850988
FS( 17 ),2655699.359999999403954,2644036.510000000242144,2668228.089999999850988,2938967.100000000093132,10906931.059999998658895
FS( 18 ),2678614.789999999571592,2650458.520000000018626,2686553.589999999850988,2948790.140000000596046,10964417.039999999105930
FS( 19 ),2705924.959999999962747,2689908.010000000242144,2704879.089999999850988,3018165.359999999869615,11118877.419999999925494
FS( 20 ),2746733.259999999776483,2665137.399999999906868,2693883.790000000037253,3012025.960000000428408,11117780.410000000149012
FS( 21 ),2727270.839999999850988,2644953.939999999944121,2661997.419999999925494,2986240.480000000447035,11020462.679999999701977
