代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10805464.089999999850988
真實報酬,805464.089999999850988

夏普值報酬,0.071846409000000
夏普值風險,0.027599922595336
夏普值,2.603138061414038

二次趨勢線,-171.825655552224362 x^2 + 46663.240616673574550 x + 10000000.000000000000000
二次加權預期報酬,41966.672698246111395
風險,101213.154296926368261
二次加權趨勢值,0.414636545909137
一次趨勢線,44022.992738676017325 x + 10000000.000000000000000
一次預期報酬,44022.992738676017325
一次風險,101541.020041072915774
一次趨勢值,0.433548852679133
找到最佳解世代,2128
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,2
DD[7](4),NKE[19](1),
Stock#,DD[7](4),NKE[19](1),
張數,119817,205002,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.590000000782311,1.219999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4998801.830000001005828,5006150.060000000521541,10004951.890000000596046
FS( 3 ),5032350.590000000782311,5006150.060000000521541,10038500.650000002235174
FS( 4 ),5057512.160000001080334,5045100.439999999478459,10102612.600000001490116
FS( 5 ),5170140.140000000596046,5053300.519999999552965,10223440.660000000149012
FS( 6 ),5222859.620000001043081,5026650.259999999776483,10249509.880000000819564
FS( 7 ),5298344.330000001005828,5094300.919999999925494,10392645.250000000000000
FS( 8 ),5315118.710000000894070,5084050.820000000298023,10399169.530000001192093
FS( 9 ),5294749.820000000298023,4987699.879999998956919,10282449.699999999254942
FS( 10 ),5360649.170000000856817,4967199.679999999701977,10327848.850000001490116
FS( 11 ),5428944.860000001266599,5022550.219999999739230,10451495.080000001937151
FS( 12 ),5595490.490000001154840,5069700.679999999701977,10665191.170000001788139
FS( 13 ),5533185.650000000372529,5012300.119999999180436,10545485.769999999552965
FS( 14 ),5543969.180000001564622,5073800.719999999739230,10617769.900000002235174
FS( 15 ),5458899.110000001266599,5387453.780000000260770,10846352.890000000596046
FS( 16 ),5491249.700000000186265,5412054.019999999552965,10903303.719999998807907
FS( 17 ),5531987.480000001378357,5262402.560000000521541,10794390.040000002831221
FS( 18 ),5480466.170000000856817,5305452.979999999515712,10785919.150000000372529
FS( 19 ),5395396.100000000558794,5227552.219999999739230,10622948.320000000298023
FS( 20 ),5516411.270000000484288,5289052.820000000298023,10805464.089999999850988
