代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10559244.470000000670552
真實報酬,559244.470000000670552

夏普值報酬,0.047224447000000
夏普值風險,0.025382833939350
夏普值,1.860487568600024

二次趨勢線,2364.195250156013117 x^2 + -18849.865113896114053 x + 10000000.000000000000000
二次加權預期報酬,52075.992390784274903
風險,92245.984506669192342
二次加權趨勢值,0.564533975861240
一次趨勢線,21026.228105401911307 x + 10000000.000000000000000
一次預期報酬,21026.228105401911307
一次風險,163545.785078082117252
一次趨勢值,0.128564781387446
找到最佳解世代,2357
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](11),HD[9](1),WBA[27](2),
Stock#,BA[2](11),HD[9](1),WBA[27](2),
張數,25178,33710,49185,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.580000000540167,88.200000000186265,65.550000000279397,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330563.420000000391155,3309061.800000000279397,3283164.300000000279397,9922790.520000001415610
FS( 3 ),3322758.240000000689179,3323557.100000000093132,3314150.850000000093132,9960467.190000001341105
FS( 4 ),3306392.540000000502914,3335692.700000000186265,3339727.050000000745058,9981813.290000000968575
FS( 5 ),3328800.960000000894070,3358952.600000000093132,3374156.549999999813735,10061911.109999999403954
FS( 6 ),3280207.420000000391155,3385583.500000000465661,3331365.600000000558794,9997157.520000001415610
FS( 7 ),3264597.060000000521541,3358952.600000000093132,3373664.700000000651926,9997215.360000001266599
FS( 8 ),3138203.500000000465661,3335355.600000000093132,3352023.300000000745058,9825583.400000002235174
FS( 9 ),3106227.440000000875443,3380189.899999999906868,3591062.400000000372529,10077480.740000002086163
FS( 10 ),3040764.640000000596046,3363672.000000000000000,3664348.050000000279397,10068785.690000001341105
FS( 11 ),3073747.820000000298023,3372773.700000000186265,3612211.950000000186265,10058734.470000000670552
FS( 12 ),3128384.080000000540167,3271980.800000000279397,3560567.700000000186265,9960933.580000001937151
FS( 13 ),3148778.260000000707805,3335355.600000000093132,3540893.700000000186265,10025028.560000002384186
FS( 14 ),3164136.840000000782311,3393673.900000000372529,3658445.850000000093132,10216257.590000001713634
FS( 15 ),3178236.520000000484288,3436148.500000000465661,3601883.100000000558794,10216269.120000001043081
FS( 16 ),3228340.740000000689179,3489073.200000000186265,3653035.500000000000000,10370450.440000001341105
FS( 17 ),3273912.920000000391155,3497837.800000000279397,3763209.900000000372529,10534961.620000001043081
FS( 18 ),3304378.300000000745058,3491095.800000000279397,3771079.500000000465661,10566554.600000001490116
FS( 19 ),3314197.720000000204891,3497500.700000000186265,3760750.649999999906868,10572450.070000000298023
FS( 20 ),3330815.200000000186265,3523794.500000000000000,3776981.700000000651926,10631592.400000000372529
FS( 21 ),3319233.320000000763685,3515029.899999999906868,3740584.800000000279397,10574849.020000001415610
FS( 22 ),3272654.020000000484288,3538626.900000000372529,3747962.550000000279397,10559244.470000000670552
