代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10366452.539999999105930
真實報酬,366452.539999999105930

夏普值報酬,0.027945254000000
夏普值風險,0.012973544896875
夏普值,2.154018367541974

二次趨勢線,1647.032645800138198 x^2 + -10682.998798941305722 x + 10000000.000000000000000
二次加權預期報酬,32139.849991862283787
風險,20281.480235758208437
二次加權趨勢值,1.584689560044864
一次趨勢線,13389.016793522267108 x + 10000000.000000000000000
一次預期報酬,13389.016793522267108
一次風險,73591.266048197139753
一次趨勢值,0.181937579178939
找到最佳解世代,3681
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
DIS[6](8),HD[9](5),KO[14](18),WBA[27](2),
Stock#,DIS[6](8),HD[9](5),KO[14](18),WBA[27](2),
張數,22084,17050,58948,30138,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,91.199999999720603,129.000000000000000,15.320000000298023,52.899999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2496466.560000000055879,2495226.000000000000000,2515915.960000000428408,2486437.899999999906868,9994046.420000001788139
FS( 3 ),2495583.199999999720603,2500341.000000000000000,2509431.680000000167638,2446354.359999999869615,9951710.239999998360872
FS( 4 ),2496687.399999999441206,2510571.000000000000000,2515326.480000000447035,2461121.979999999981374,9983706.859999999403954
FS( 5 ),2486307.919999999459833,2508695.500000000000000,2511789.600000000093132,2481314.439999999944121,9988107.459999999031425
FS( 6 ),2482995.319999999832362,2527109.500000000000000,2516505.439999999944121,2486739.280000000260770,10013349.539999999105930
FS( 7 ),2497129.079999999608845,2526939.000000000000000,2514737.000000000000000,2491862.740000000223517,10030667.820000000298023
FS( 8 ),2496466.560000000055879,2498636.000000000000000,2531242.439999999944121,2488547.559999999590218,10014892.559999998658895
FS( 9 ),2500000.000000000000000,2487894.500000000000000,2522400.240000000223517,2485835.140000000130385,9996129.880000000819564
FS( 10 ),2512808.719999999739230,2511764.500000000000000,2538905.680000000167638,2505424.839999999850988,10068903.740000000223517
FS( 11 ),2521863.159999999683350,2519437.000000000000000,2563074.360000000335276,2496082.059999999590218,10100456.580000000074506
FS( 12 ),2511704.520000000018626,2510230.000000000000000,2548337.360000000335276,2516877.280000000260770,10087149.160000000149012
FS( 13 ),2535113.560000000055879,2535805.000000000000000,2540084.640000000596046,2535864.219999999739230,10146867.420000001788139
FS( 14 ),2527384.159999999683350,2557629.000000000000000,2538905.680000000167638,2532549.040000000037253,10156467.879999998956919
FS( 15 ),2511042.000000000000000,2589853.500000000000000,2551284.760000000242144,2540083.540000000037253,10192263.800000000745058
FS( 16 ),2543726.319999999832362,2609290.500000000000000,2541263.600000000093132,2589509.859999999869615,10283790.279999999329448
FS( 17 ),2552559.919999999459833,2629580.000000000000000,2548926.840000000316650,2589509.859999999869615,10320576.619999999180436
FS( 18 ),2558301.759999999776483,2661975.000000000000000,2535368.800000000279397,2588605.719999999739230,10344251.280000001192093
FS( 19 ),2553001.599999999627471,2661634.000000000000000,2543621.520000000018626,2608195.419999999925494,10366452.539999999105930
