代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10536078.809999998658895
真實報酬,536078.809999998658895

夏普值報酬,0.044907881000000
夏普值風險,0.022543836915370
夏普值,1.992024745769060

二次趨勢線,2137.810703299853685 x^2 + -21725.308712897698570 x + 10000000.000000000000000
二次加權預期報酬,45259.426657164389326
風險,67928.541288257110864
二次加權趨勢值,0.666279973024954
一次趨勢線,15936.547932469911757 x + 10000000.000000000000000
一次預期報酬,15936.547932469911757
一次風險,149494.955642085464206
一次趨勢值,0.106602579759444
找到最佳解世代,1837
找到最佳解實驗#,4
找到最佳解次數,27

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](15),KO[14](4),XOM[29](3),
Stock#,BA[2](1),HD[9](15),KO[14](4),XOM[29](3),
張數,21231,32782,65876,29069,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.750000000000000,44.679999999701977,5.799999999813735,66.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2501910.790000000037253,2501966.919999999459833,2465744.479999999981374,2502325.520000000018626,9971947.709999999031425
FS( 3 ),2446710.189999999944121,2487542.839999999385327,2447957.959999999497086,2485465.500000000000000,9867676.489999998360872
FS( 4 ),2488322.950000000186265,2484264.639999999664724,2450593.000000000000000,2509302.079999999608845,9932482.669999999925494
FS( 5 ),2477495.140000000130385,2462956.339999999385327,2440711.599999999627471,2497093.100000000093132,9878256.179999999701977
FS( 6 ),2450956.390000000130385,2434763.819999999366701,2455863.080000000074506,2485756.189999999944121,9827339.479999998584390
FS( 7 ),2430362.319999999832362,2430502.159999999683350,2442687.879999999888241,2475582.040000000037253,9779134.399999998509884
FS( 8 ),2524415.649999999906868,2475413.500000000000000,2488801.080000000074506,2501162.760000000242144,9989792.990000000223517
FS( 9 ),2504883.129999999888241,2501966.919999999459833,2488142.319999999832362,2527615.550000000279397,10022607.919999999925494
FS( 10 ),2536305.009999999776483,2502950.379999999422580,2497364.959999999497086,2546510.399999999906868,10083130.749999998137355
FS( 11 ),2509129.330000000074506,2464595.439999999944121,2480895.959999999497086,2522964.510000000242144,9977585.239999998360872
FS( 12 ),2554988.290000000037253,2456727.759999999776483,2503293.799999999813735,2538080.390000000130385,10053090.240000000223517
FS( 13 ),2596388.740000000223517,2482953.359999999403954,2539525.599999999627471,2543022.120000000111759,10161889.820000000298023
FS( 14 ),2601271.870000000111759,2448532.259999999776483,2554677.080000000074506,2545056.949999999720603,10149538.160000000149012
FS( 15 ),2578979.319999999832362,2446237.520000000018626,2557312.119999999646097,2535754.870000000111759,10118283.829999998211861
FS( 16 ),2600422.629999999888241,2454105.199999999720603,2575098.640000000130385,2557556.620000000111759,10187183.089999999850988
FS( 17 ),2739273.370000000111759,2461317.239999999757856,2575098.640000000130385,2546801.089999999850988,10322490.339999999850988
FS( 18 ),2738424.129999999888241,2517046.639999999664724,2555994.599999999627471,2570346.979999999981374,10381812.349999999627471
FS( 19 ),2785344.640000000130385,2499672.179999999701977,2571146.080000000074506,2557265.930000000167638,10413428.830000000074506
FS( 20 ),2757532.029999999795109,2493443.599999999627471,2609354.159999999683350,2564823.870000000111759,10425153.660000000149012
FS( 21 ),2752861.209999999962747,2540649.679999999701977,2621870.599999999627471,2585172.170000000391155,10500553.660000000149012
FS( 22 ),2753285.830000000074506,2553106.839999999385327,2610012.919999999459833,2581683.890000000130385,10498089.480000000447035
FS( 23 ),2770695.250000000000000,2553434.659999999683350,2606719.119999999646097,2605229.780000000260770,10536078.809999998658895
