代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10401500.709999999031425
真實報酬,401500.709999999031425

夏普值報酬,0.031450071000000
夏普值風險,0.013104317719490
夏普值,2.399977753379978

二次趨勢線,1071.453408459389038 x^2 + -4814.502914908252023 x + 10000000.000000000000000
二次加權預期報酬,27329.099338873416855
風險,22829.050834651683545
二次加權趨勢值,1.197119386908159
一次趨勢線,13257.344574440079668 x + 10000000.000000000000000
一次預期報酬,13257.344574440079668
一次風險,65322.687561502672906
一次趨勢值,0.202951609453576
找到最佳解世代,1337
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),JNJ[12](7),KO[14](3),MCD[15](1),PG[21](5),TRV[22](2),WMT[28](8),
Stock#,CAT[3](4),JNJ[12](7),KO[14](3),MCD[15](1),PG[21](5),TRV[22](2),WMT[28](8),
張數,14005,11582,33053,10120,16403,11788,18989,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,61.000000000000000,47.119999999878928,20.340000000083819,133.000000000000000,33.729999999981374,101.159999999916181,28.530000000027940,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1421708.550000000046566,1432740.520000000018626,1434190.010000000009313,1429380.599999999860302,1414300.389999999897555,1418904.839999999850988,1434077.810000000055879,9985305.720000000670552
FS( 3 ),1422128.700000000186265,1428455.179999999934807,1431876.300000000046566,1443447.400000000139698,1417745.020000000018626,1424209.439999999944121,1438635.170000000158325,10006500.209999999031425
FS( 4 ),1392017.949999999953434,1435636.020000000018626,1443114.320000000065193,1451847.000000000000000,1418073.080000000074506,1424209.439999999944121,1449648.790000000037253,10014549.600000001490116
FS( 5 ),1395519.199999999953434,1430539.939999999944121,1444105.909999999916181,1457008.200000000186265,1418893.229999999981374,1429985.559999999823049,1452687.030000000027940,10028742.070000000298023
FS( 6 ),1391737.850000000093132,1427528.619999999878928,1450716.510000000009313,1459841.800000000046566,1419713.379999999888241,1426567.040000000037253,1445471.210000000195578,10021579.410000000149012
FS( 7 ),1390617.450000000186265,1427065.339999999850988,1438156.370000000111759,1461056.200000000186265,1417252.930000000167638,1414071.760000000009313,1456864.610000000102445,10005087.660000000149012
FS( 8 ),1405602.800000000046566,1422432.539999999804422,1440139.550000000046566,1462675.400000000139698,1418729.199999999953434,1422794.879999999888241,1456484.830000000074506,10028862.200000001117587
FS( 9 ),1414425.949999999953434,1426949.520000000018626,1443444.850000000093132,1459538.200000000186265,1413480.239999999990687,1421026.679999999934807,1445661.099999999860302,10024529.540000000968575
FS( 10 ),1410504.549999999813735,1432045.599999999860302,1440800.610000000102445,1471176.200000000186265,1413808.300000000046566,1421616.079999999841675,1437685.719999999972060,10027640.060000000521541
FS( 11 ),1434453.100000000093132,1470845.299999999813735,1445428.030000000027940,1480486.600000000093132,1416104.719999999972060,1417608.159999999916181,1448699.340000000083819,10113628.249999998137355
FS( 12 ),1433332.699999999953434,1479879.259999999776483,1449394.390000000130385,1490707.799999999813735,1414628.449999999953434,1413836.000000000000000,1426292.320000000065193,10108073.919999999925494
FS( 13 ),1402521.699999999953434,1467139.059999999823049,1452038.630000000121072,1481802.199999999953434,1414956.510000000009313,1417608.159999999916181,1426482.210000000195578,10062551.470000000670552
FS( 14 ),1403642.100000000093132,1470613.659999999916181,1447741.739999999990687,1487874.199999999953434,1408559.340000000083819,1425034.599999999860302,1472435.590000000083819,10115904.230000000447035
FS( 15 ),1434593.150000000139698,1470961.119999999878928,1451047.040000000037253,1499411.000000000000000,1414628.449999999953434,1423973.679999999934807,1495792.060000000055879,10190409.500000001862645
FS( 16 ),1432632.450000000186265,1473972.439999999944121,1460301.880000000121072,1499815.800000000046566,1414136.359999999869615,1434111.359999999869615,1491614.479999999981374,10206587.769999999552965
FS( 17 ),1451399.149999999906868,1476983.759999999776483,1467243.010000000009313,1496071.399999999906868,1412003.969999999972060,1434229.239999999990687,1490475.139999999897555,10228408.669999999925494
FS( 18 ),1455880.750000000000000,1476867.939999999944121,1488396.930000000167638,1513073.000000000000000,1418893.229999999981374,1438826.559999999823049,1484018.880000000121072,10275960.290000000968575
FS( 19 ),1470866.099999999860302,1477099.579999999841675,1500957.070000000065193,1515906.600000000093132,1424798.310000000055879,1458512.520000000018626,1487057.120000000111759,10335200.300000000745058
FS( 20 ),1479829.300000000046566,1470034.559999999823049,1500296.010000000009313,1516716.200000000186265,1431195.479999999981374,1457805.239999999990687,1483639.099999999860302,10339518.890000000596046
FS( 21 ),1477168.350000000093132,1472235.139999999897555,1501618.130000000121072,1517424.600000000093132,1433655.930000000167638,1458630.399999999906868,1484018.880000000121072,10344754.430000001564622
FS( 22 ),1476608.150000000139698,1485438.619999999878928,1502940.250000000000000,1527139.799999999813735,1444974.000000000000000,1471832.959999999962747,1492563.929999999934807,10401500.709999999031425
