代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10403711.419999999925494
真實報酬,403711.419999999925494

夏普值報酬,0.031671142000000
夏普值風險,0.012648320200522
夏普值,2.503980093632713

二次趨勢線,81.925818376950701 x^2 + 21253.036812385442317 x + 10000000.000000000000000
二次加權預期報酬,23383.108090186156915
風險,30190.516077913085610
二次加權趨勢值,0.774518329857000
一次趨勢線,22450.414157894716482 x + 10000000.000000000000000
一次預期報酬,22450.414157894716482
一次風險,30394.885366489183070
一次趨勢值,0.738624735286768
找到最佳解世代,1408
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
HD[9](2),MCD[15](9),MRK[17](6),PFE[20](1),WBA[27](7),
Stock#,HD[9](2),MCD[15](9),MRK[17](6),PFE[20](1),WBA[27](7),
張數,35217,22459,46242,84104,56022,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.570000000065193,26.050000000046566,33.500000000000000,6.879999999888241,14.599999999860302,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1991195.750000000000000,2000224.590000000083819,2008785.979999999981374,2011774.560000000055879,2010083.959999999962747,10022064.839999999850988
FS( 3 ),2030286.620000000111759,2036383.580000000074506,2045779.580000000074506,2047098.239999999990687,1971989.000000000000000,10131537.019999999552965
FS( 4 ),2016551.989999999990687,2044244.229999999981374,2036993.599999999860302,2038687.839999999850988,1957423.279999999795109,10093900.939999999478459
FS( 5 ),2017960.669999999925494,2050532.750000000000000,2046704.419999999925494,2026913.280000000027940,1968627.679999999934807,10110738.800000000745058
FS( 6 ),1997534.810000000055879,2048286.850000000093132,2049941.359999999869615,2032800.560000000055879,1966947.019999999785796,10095510.599999999627471
FS( 7 ),2009156.419999999925494,2039752.429999999934807,2059189.760000000009313,2024390.159999999916181,1980952.519999999785796,10113441.289999999105930
FS( 8 ),2053177.669999999925494,2056596.679999999934807,2065201.219999999739230,2039528.879999999888241,2017927.040000000037253,10232431.489999998360872
FS( 9 ),2094029.390000000130385,2059516.350000000093132,2017109.539999999804422,2001682.079999999841675,2017927.040000000037253,10190264.400000000372529
FS( 10 ),2074660.040000000037253,2069398.310000000055879,2034681.500000000000000,2020184.959999999962747,2000000.000000000000000,10198924.809999998658895
FS( 11 ),2072899.189999999944121,2090509.770000000018626,2038380.859999999869615,2019343.919999999925494,1997759.119999999646097,10218892.859999999403954
FS( 12 ),2094381.560000000055879,2084895.020000000018626,2058264.919999999925494,2031959.519999999785796,2006162.419999999925494,10275663.439999999478459
FS( 13 ),2087690.330000000074506,2092081.900000000139698,2075836.880000000121072,2052985.519999999785796,1991596.699999999720603,10300191.330000000074506
FS( 14 ),2092620.710000000195578,2104658.939999999478459,2076761.719999999739230,2062236.959999999962747,1966947.019999999785796,10303225.349999999627471
FS( 15 ),2091564.200000000186265,2104658.939999999478459,2087397.380000000121072,2081580.879999999888241,1998319.339999999850988,10363520.739999998360872
FS( 16 ),2103185.809999999590218,2085568.790000000037253,2086010.119999999878928,2089150.239999999990687,2020728.139999999897555,10384643.099999999627471
FS( 17 ),2083816.460000000195578,2093204.850000000093132,2081385.919999999925494,2088309.199999999720603,2006722.639999999897555,10353439.070000000298023
FS( 18 ),2108820.530000000260770,2094776.979999999981374,2091559.159999999916181,2099242.719999999739230,2050419.800000000046566,10444819.190000001341105
FS( 19 ),2126076.860000000335276,2060639.300000000046566,2085547.699999999953434,2089991.280000000027940,2041456.279999999795109,10403711.419999999925494
