代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10895346.230000000447035
真實報酬,895346.230000000447035

夏普值報酬,0.080834623000000
夏普值風險,0.033280966092353
夏普值,2.428854462207848

二次趨勢線,1496.640629272044180 x^2 + 15455.021504855387320 x + 10000000.000000000000000
二次加權預期報酬,60354.240383016709529
風險,83694.131086191671784
二次加權趨勢值,0.721128705199907
一次趨勢線,40698.360118577118556 x + 10000000.000000000000000
一次預期報酬,40698.360118577118556
一次風險,119638.874089930570335
一次趨勢值,0.340176722893471
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
Stock#,TRV[22](2),V[25](1),
張數,50352,73691,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,46.400000000372529,65.650000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4996475.360000000335276,5028739.490000000223517,10025214.850000001490116
FS( 3 ),4981873.280000000260770,5019896.570000000298023,10001769.850000001490116
FS( 4 ),5036756.960000000894070,4994104.719999999739230,10030861.679999999701977
FS( 5 ),4972809.920000000856817,4917466.080000001005828,9890276.000000001862645
FS( 6 ),5038771.040000000037253,4941047.200000000186265,9979818.240000000223517
FS( 7 ),5085598.400000000372529,5042003.870000000111759,10127602.269999999552965
FS( 8 ),5152566.560000000521541,5123063.969999999739230,10275630.530000001192093
FS( 9 ),5155084.160000000149012,5165804.750000000000000,10320888.910000000149012
FS( 10 ),5157098.240000000223517,5159909.469999999739230,10317007.710000000894070
FS( 11 ),5200904.480000000447035,5200439.519999999552965,10401344.000000000000000
FS( 12 ),5183281.280000000260770,5223283.730000000447035,10406565.010000001639128
FS( 13 ),5166665.120000000111759,5357401.350000000558794,10524066.470000000670552
FS( 14 ),5260823.360000000335276,5307291.469999999739230,10568114.830000000074506
FS( 15 ),5302112.000000000000000,5303606.919999999925494,10605718.919999999925494
FS( 16 ),5302112.000000000000000,5287394.900000000372529,10589506.900000000372529
FS( 17 ),5300601.440000000409782,5512152.450000000186265,10812753.890000000596046
FS( 18 ),5316714.080000001005828,5442882.910000000149012,10759596.990000002086163
FS( 19 ),5334337.280000000260770,5507730.990000000223517,10842068.269999999552965
FS( 20 ),5359009.760000000707805,5601318.560000000521541,10960328.320000000298023
FS( 21 ),5362534.400000000372529,5628584.230000000447035,10991118.630000000819564
FS( 22 ),5343400.640000000596046,5551945.590000000782311,10895346.230000000447035
