代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11217593.750000000000000
真實報酬,1217593.750000000000000

夏普值報酬,0.113059375000000
夏普值風險,0.037667562759999
夏普值,3.001504921366003

二次趨勢線,1139.208990272346227 x^2 + 39460.845759612566326 x + 10000000.000000000000000
二次加權預期報酬,72118.170147419819841
風險,53499.432209814898670
二次加權趨勢值,1.348017486701273
一次趨勢線,57820.655765629722737 x + 10000000.000000000000000
一次預期報酬,57820.655765629722737
一次風險,79969.085204847084242
一次趨勢值,0.723037604063090
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),IBM[10](3),VZ[26](4),WBA[27](8),
Stock#,AAPL[0](7),IBM[10](3),VZ[26](4),WBA[27](8),
張數,69910,19877,82617,90285,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.399999999906868,69.709999999962747,9.580000000074506,8.350000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2518176.600000000093132,2485489.790000000037253,2487607.450000000186265,2555073.850000000093132,10046347.690000001341105
FS( 3 ),2584591.099999999627471,2535977.370000000111759,2495042.979999999981374,2555073.850000000093132,10170685.299999998882413
FS( 4 ),2574803.699999999720603,2503577.859999999869615,2496695.319999999832362,2572228.000000000000000,10147304.879999998956919
FS( 5 ),2625838.000000000000000,2506161.870000000111759,2516523.400000000372529,2588479.300000000279397,10237002.570000000298023
FS( 6 ),2627236.199999999720603,2511727.430000000167638,2547917.859999999869615,2592993.549999999813735,10279875.039999999105930
FS( 7 ),2630731.700000000186265,2544126.939999999944121,2546265.520000000018626,2614661.950000000186265,10335786.109999999403954
FS( 8 ),2667084.899999999906868,2576327.680000000167638,2552874.879999999888241,2623690.450000000186265,10419977.910000000149012
FS( 9 ),2676872.299999999813735,2561221.159999999683350,2553701.050000000279397,2638136.049999999813735,10429930.559999998658895
FS( 10 ),2698544.399999999906868,2572749.820000000298023,2576833.810000000055879,2637233.200000000186265,10485361.230000000447035
FS( 11 ),2762162.500000000000000,2577520.299999999813735,2595835.720000000204891,2629107.550000000279397,10564626.070000000298023
FS( 12 ),2750277.800000000279397,2587856.339999999850988,2617316.140000000130385,2637233.200000000186265,10592683.480000000447035
FS( 13 ),2828577.000000000000000,2619659.540000000037253,2651189.110000000335276,2639941.750000000000000,10739367.400000000372529
FS( 14 ),2834169.799999999813735,2623436.169999999925494,2670191.020000000018626,2683278.549999999813735,10811075.539999999105930
FS( 15 ),2874018.500000000000000,2635163.599999999627471,2675974.209999999962747,2689598.500000000000000,10874754.809999998658895
FS( 16 ),2885204.100000000093132,2617274.299999999813735,2657798.470000000204891,2664318.700000000186265,10824595.570000000298023
FS( 17 ),2919460.000000000000000,2665774.180000000167638,2696628.459999999962747,2741060.950000000186265,11022923.589999999850988
FS( 18 ),2907575.300000000279397,2676507.760000000242144,2714804.200000000186265,2740158.100000000093132,11039045.360000001266599
FS( 19 ),2864930.199999999720603,2681278.239999999757856,2703237.819999999832362,3052544.200000000186265,11301990.460000000894070
FS( 20 ),2869823.899999999906868,2693005.669999999925494,2698280.799999999813735,3036292.900000000372529,11297403.269999999552965
FS( 21 ),2834169.799999999813735,2666370.489999999757856,2692497.610000000335276,3024555.850000000093132,11217593.750000000000000
