代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10293180.019999999552965
真實報酬,293180.019999999552965

夏普值報酬,0.020618002000000
夏普值風險,0.011182864056139
夏普值,1.843713908753211

二次趨勢線,1089.019415373179754 x^2 + -4704.267086396263949 x + 10000000.000000000000000
二次加權預期報酬,25062.263600470654637
風險,19368.074592532349925
二次加權趨勢值,1.293998713229542
一次趨勢線,12029.445881533074498 x + 10000000.000000000000000
一次預期報酬,12029.445881533074498
一次風險,55185.401808679911483
一次趨勢值,0.217982391851336
找到最佳解世代,2649
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
CAT[3](1),CVX[5](3),IBM[10](30),KO[14](23),TRV[22](14),V[25](15),
Stock#,CAT[3](1),CVX[5](3),IBM[10](30),KO[14](23),TRV[22](14),V[25](15),
張數,11776,13945,10769,36255,12236,15051,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,126.479999999981374,99.049999999813735,55.560000000055879,23.650000000139698,0.439999999944121,68.770000000018626,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1666430.479999999981374,1685212.849999999860302,1684973.300000000046566,1676092.300000000046566,1668501.400000000139698,1616997.700000000186265,9998212.030000001192093
FS( 3 ),1650415.119999999878928,1678937.599999999860302,1673019.709999999962747,1677179.949999999953434,1655775.959999999962747,1634306.350000000093132,9969638.689999999478459
FS( 4 ),1652770.320000000065193,1668060.499999999767169,1659558.459999999962747,1684068.400000000139698,1656265.400000000139698,1651765.510000000009313,9972492.589999999850988
FS( 5 ),1682799.119999999878928,1668339.399999999674037,1653850.889999999897555,1659777.550000000279397,1642194.000000000000000,1676750.170000000158325,9983715.129999998956919
FS( 6 ),1694221.840000000083819,1672383.449999999953434,1667204.450000000186265,1642737.700000000186265,1636565.439999999944121,1694811.369999999878928,10007928.250000000000000
FS( 7 ),1693162.000000000000000,1679355.949999999953434,1673665.850000000093132,1643462.800000000046566,1629346.199999999953434,1691349.640000000130385,10010346.440000001341105
FS( 8 ),1689040.399999999906868,1669036.649999999906868,1687988.620000000111759,1642012.600000000093132,1643907.039999999804422,1707755.229999999981374,10039744.539999999105930
FS( 9 ),1749686.799999999813735,1672522.899999999906868,1657512.350000000093132,1664128.150000000139698,1634240.599999999860302,1705497.580000000074506,10083592.379999998956919
FS( 10 ),1722719.760000000009313,1666944.899999999906868,1658481.560000000055879,1668841.300000000279397,1622249.320000000065193,1699627.689999999944121,10038868.530000001192093
FS( 11 ),1727547.919999999925494,1669733.899999999906868,1642328.060000000055879,1674642.100000000093132,1650514.479999999748543,1713173.589999999850988,10077944.050000000745058
FS( 12 ),1763818.000000000000000,1669315.549999999813735,1651266.330000000074506,1665215.800000000046566,1654430.000000000000000,1709109.820000000065193,10113159.500000000000000
FS( 13 ),1777242.639999999897555,1671267.849999999860302,1650189.429999999934807,1672466.800000000279397,1658467.879999999888241,1687887.909999999916181,10117526.510000001639128
FS( 14 ),1796202.000000000000000,1685910.099999999860302,1647174.109999999869615,1670654.050000000046566,1655041.799999999813735,1687586.890000000130385,10142572.949999999254942
FS( 15 ),1821167.119999999878928,1740713.949999999720603,1631559.060000000055879,1653251.650000000139698,1645008.280000000027940,1691951.679999999934807,10183655.739999998360872
FS( 16 ),1834238.479999999981374,1742945.149999999906868,1642328.060000000055879,1652889.100000000325963,1644396.479999999748543,1696165.959999999962747,10212967.230000000447035
FS( 17 ),1842363.919999999925494,1756890.149999999906868,1645881.830000000074506,1660865.200000000186265,1649168.520000000018626,1700681.260000000009313,10255854.880000000819564
FS( 18 ),1855082.000000000000000,1750893.799999999813735,1649112.530000000027940,1665215.800000000046566,1649046.160000000149012,1716183.790000000037253,10285538.079999998211861
FS( 19 ),1865680.399999999906868,1751312.149999999674037,1658912.320000000065193,1657602.250000000000000,1659936.199999999953434,1721150.619999999878928,10314597.939999999478459
FS( 20 ),1855788.560000000055879,1745873.599999999860302,1652235.540000000037253,1663403.050000000279397,1659691.479999999748543,1716183.790000000037253,10293180.019999999552965
