代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10623114.640000000596046
真實報酬,623114.640000000596046

夏普值報酬,0.053611464000000
夏普值風險,0.019954274648678
夏普值,2.686715751081085

二次趨勢線,396.377533526262482 x^2 + 21828.972520821531361 x + 10000000.000000000000000
二次加權預期報酬,33720.298526609411056
風險,46410.484005168276781
二次加權趨勢值,0.726566405186688
一次趨勢線,28514.540252964416140 x + 10000000.000000000000000
一次預期報酬,28514.540252964416140
一次風險,51639.028677086753305
一次趨勢值,0.552189709672383
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),GS[8](1),IBM[10](3),PG[21](12),
Stock#,AAPL[0](2),GS[8](1),IBM[10](3),PG[21](12),
張數,12403,12085,17872,22626,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,175.349999999627471,96.899999999906868,64.640000000130385,53.260000000242144,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514635.539999999571592,2489365.199999999720603,2506076.479999999981374,2522399.740000000223517,10032476.959999999031425
FS( 3 ),2535472.579999999608845,2490090.299999999813735,2529667.520000000018626,2581227.340000000316650,10136457.739999998360872
FS( 4 ),2533240.039999999571592,2512568.399999999906868,2526808.000000000000000,2560185.160000000149012,10132801.599999999627471
FS( 5 ),2481023.409999999683350,2486585.649999999906868,2512331.680000000167638,2580548.560000000055879,10060489.300000000745058
FS( 6 ),2496155.069999999832362,2510997.350000000093132,2490170.400000000372529,2554754.920000000391155,10052077.740000000223517
FS( 7 ),2520837.039999999571592,2489244.350000000093132,2510544.479999999981374,2573760.760000000242144,10094386.629999998956919
FS( 8 ),2502480.599999999627471,2554261.649999999906868,2524305.920000000391155,2588015.140000000130385,10169063.310000000521541
FS( 9 ),2521705.250000000000000,2585561.799999999813735,2551113.920000000391155,2601817.000000000000000,10260197.970000000670552
FS( 10 ),2545394.979999999515712,2557041.200000000186265,2561479.680000000167638,2612903.740000000223517,10276819.599999999627471
FS( 11 ),2536588.849999999627471,2604656.100000000093132,2565232.800000000279397,2622180.400000000372529,10328658.150000000372529
FS( 12 ),2522325.399999999441206,2577827.399999999906868,2557011.680000000167638,2623311.700000000186265,10280476.179999999701977
FS( 13 ),2550976.329999999608845,2592571.100000000093132,2674252.000000000000000,2611998.700000000186265,10429798.129999998956919
FS( 14 ),2512899.119999999646097,2580486.100000000093132,2675145.600000000093132,2602269.520000000484288,10370800.339999999850988
FS( 15 ),2570325.009999999776483,2586286.899999999906868,2676217.920000000391155,2608831.060000000055879,10441660.890000000596046
FS( 16 ),2590417.869999999646097,2651908.450000000186265,2687656.000000000000000,2576023.360000000335276,10506005.679999999701977
FS( 17 ),2588309.359999999403954,2683329.449999999720603,2681400.800000000279397,2547740.860000000335276,10500780.469999998807907
FS( 18 ),2567844.409999999683350,2658555.199999999720603,2687834.719999999739230,2551587.280000000260770,10465821.609999999403954
FS( 19 ),2576774.569999999832362,2684658.799999999813735,2705170.560000000521541,2595934.240000000223517,10562538.169999999925494
FS( 20 ),2600836.389999999664724,2662664.099999999627471,2696592.000000000000000,2624669.260000000242144,10584761.750000000000000
FS( 21 ),2589673.689999999478459,2675715.899999999906868,2676754.080000000540167,2724449.920000000391155,10666593.589999999850988
FS( 22 ),2642510.469999999739230,2660367.949999999720603,2649409.920000000391155,2670826.300000000279397,10623114.640000000596046
