代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10429079.000000000000000
真實報酬,429079.000000000000000

夏普值報酬,0.034207900000000
夏普值風險,0.016670762385737
夏普值,2.051969742503660

二次趨勢線,13.273372799353297 x^2 + 22904.864135926807649 x + 10000000.000000000000000
二次加權預期報酬,23285.367489508269500
風險,113012.707304229916190
二次加權趨勢值,0.206042028767828
一次趨勢線,23118.781516158258455 x + 10000000.000000000000000
一次預期報酬,23118.781516158258455
一次風險,113014.829187604249455
一次趨勢值,0.204564141558637
找到最佳解世代,2398
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),NKE[19](2),
Stock#,KO[14](1),NKE[19](2),
張數,162022,246669,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.080000000074506,19.370000000111759,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5011341.540000000037253,5041933.730000000447035,10053275.269999999552965
FS( 3 ),5019442.640000000596046,5046867.110000000335276,10066309.750000000000000
FS( 4 ),5059948.140000000596046,5143068.020000000484288,10203016.160000000149012
FS( 5 ),5069669.459999999962747,5187468.440000000409782,10257137.900000000372529
FS( 6 ),5059948.140000000596046,5155401.469999999739230,10215349.609999999403954
FS( 7 ),5074530.120000000111759,5130734.570000000298023,10205264.690000001341105
FS( 8 ),5068049.240000000223517,5172668.299999999813735,10240717.539999999105930
FS( 9 ),5087491.879999999888241,5160334.850000000558794,10247826.730000000447035
FS( 10 ),5097213.200000000186265,5096200.910000000149012,10193414.109999999403954
FS( 11 ),5100453.640000000596046,5044400.419999999925494,10144854.060000000521541
FS( 12 ),5029163.959999999962747,4965466.339999999850988,9994630.300000000745058
FS( 13 ),5064808.800000000745058,5019733.520000000484288,10084542.320000000298023
FS( 14 ),5171743.320000000298023,5086334.150000000372529,10258077.470000000670552
FS( 15 ),5210628.599999999627471,5291069.419999999925494,10501698.019999999552965
FS( 16 ),5207388.160000000149012,5298469.490000000223517,10505857.650000000372529
FS( 17 ),5153920.899999999441206,5259002.450000000186265,10412923.349999999627471
FS( 18 ),5234931.900000000372529,5335469.839999999850988,10570401.740000000223517
FS( 19 ),5194426.400000000372529,5300936.179999999701977,10495362.580000000074506
FS( 20 ),5136098.479999999515712,5251602.379999999888241,10387700.859999999403954
FS( 21 ),5118276.059999999590218,5310802.940000000409782,10429079.000000000000000
