代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10642707.359999999403954
真實報酬,642707.359999999403954

夏普值報酬,0.055570736000000
夏普值風險,0.025643593947148
夏普值,2.167041644573432

二次趨勢線,3011.599797765163203 x^2 + -34480.210259591636714 x + 10000000.000000000000000
二次加權預期報酬,55867.783673363264825
風險,83537.118351113080280
二次加權趨勢值,0.668777960936438
一次趨勢線,16315.439662714064980 x + 10000000.000000000000000
一次預期報酬,16315.439662714064980
一次風險,191239.079134300787700
一次趨勢值,0.085314360101349
找到最佳解世代,1865
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](2),VZ[26](3),WMT[28](6),
Stock#,BA[2](1),HD[9](2),VZ[26](3),WMT[28](6),
張數,7478,11746,45240,22856,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,179.379999999888241,98.819999999832362,37.600000000093132,10.720000000204891,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2539409.060000000055879,2492012.719999999739230,2514929.200000000186265,2500457.120000000111759,10046808.099999999627471
FS( 3 ),2475846.060000000055879,2407324.059999999590218,2498190.399999999906868,2418632.640000000130385,9799993.160000000149012
FS( 4 ),2486240.479999999981374,2452663.620000000111759,2490499.600000000093132,2451773.840000000316650,9881177.539999999105930
FS( 5 ),2478239.020000000018626,2442209.679999999701977,2492309.200000000186265,2473029.920000000391155,9885787.820000000298023
FS( 6 ),2515404.680000000167638,2485200.039999999571592,2525334.399999999906868,2480343.840000000316650,10006282.959999999031425
FS( 7 ),2524378.279999999795109,2466993.739999999757856,2523524.800000000279397,2452002.400000000372529,9966899.220000000670552
FS( 8 ),2489904.699999999720603,2431638.279999999795109,2519453.200000000186265,2402633.440000000409782,9843629.620000001043081
FS( 9 ),2489306.459999999962747,2447143.000000000000000,2550216.399999999906868,2454973.680000000167638,9941639.539999999105930
FS( 10 ),2396280.140000000130385,2367974.959999999962747,2520810.399999999906868,2427317.920000000391155,9712383.419999999925494
FS( 11 ),2452963.379999999888241,2370324.159999999683350,2547049.600000000093132,2575653.360000000335276,9945990.500000000000000
FS( 12 ),2471284.479999999981374,2392171.719999999739230,2562883.600000000093132,2582510.160000000149012,10008849.959999999031425
FS( 13 ),2496186.219999999739230,2442679.519999999552965,2578717.600000000093132,2601252.080000000074506,10118835.419999999925494
FS( 14 ),2481005.879999999888241,2550037.959999999962747,2545692.400000000372529,2561025.520000000018626,10137761.759999999776483
FS( 15 ),2542624.600000000093132,2588917.219999999739230,2560169.200000000186265,2560339.840000000316650,10252050.860000001266599
FS( 16 ),2650457.359999999869615,2596199.739999999757856,2568764.800000000279397,2557825.680000000167638,10373247.580000000074506
FS( 17 ),2662422.159999999683350,2554501.439999999944121,2529858.400000000372529,2533141.200000000186265,10279923.199999999254942
FS( 18 ),2685080.500000000000000,2568361.719999999739230,2565598.000000000000000,2559654.160000000149012,10378694.379999998956919
FS( 19 ),2652850.319999999832362,2563193.479999999981374,2586860.800000000279397,2569482.240000000223517,10372386.839999999850988
FS( 20 ),2692035.040000000037253,2607123.519999999552965,2621695.600000000093132,2576339.040000000037253,10497193.199999999254942
FS( 21 ),2712749.100000000093132,2670199.539999999571592,2621243.200000000186265,2607423.200000000186265,10611615.039999999105930
FS( 22 ),2722844.399999999906868,2677129.679999999701977,2631196.000000000000000,2611537.280000000260770,10642707.359999999403954
