代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10728365.660000000149012
真實報酬,728365.660000000149012

夏普值報酬,0.064136566000000
夏普值風險,0.024765725705655
夏普值,2.589730935498272

二次趨勢線,1970.248843389412059 x^2 + -5322.869595923422821 x + 10000000.000000000000000
二次加權預期報酬,51157.597247906400298
風險,55752.773485830068239
二次加權趨勢值,0.917579414428745
一次趨勢線,26430.210601026898075 x + 10000000.000000000000000
一次預期報酬,26430.210601026898075
一次風險,116942.861604113160865
一次趨勢值,0.226009610492525
找到最佳解世代,1851
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](8),UNH[23](3),VZ[26](1),
Stock#,DD[7](8),UNH[23](3),VZ[26](1),
張數,43521,23906,69939,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,59.609999999869615,119.419999999925494,40.260000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3322017.539999999571592,3322575.299999999813735,3282976.919999999925494,9927570.759999999776483
FS( 3 ),3301127.459999999497086,3295083.400000000372529,3278081.189999999944121,9874293.049999998882413
FS( 4 ),3292858.469999999739230,3292214.680000000167638,3292768.380000000353903,9877842.530000001192093
FS( 5 ),3325064.010000000242144,3393098.000000000000000,3319345.200000000186265,10037508.210000000894070
FS( 6 ),3311572.500000000000000,3416286.819999999832362,3332633.610000000335276,10060493.929999999701977
FS( 7 ),3338990.729999999981374,3392380.819999999832362,3347320.800000000279397,10078693.349999999627471
FS( 8 ),3355963.919999999925494,3493503.199999999720603,3265492.169999999925494,10114960.289999999105930
FS( 9 ),3325064.010000000242144,3500435.939999999478459,3265492.169999999925494,10090993.119999999180436
FS( 10 ),3313313.339999999850988,3640525.100000000093132,3229823.280000000260770,10183662.719999998807907
FS( 11 ),3295469.729999999981374,3639329.799999999813735,3313050.689999999944121,10247851.219999998807907
FS( 12 ),3295904.939999999944121,3621878.419999999925494,3352216.530000000260770,10270000.890000000596046
FS( 13 ),3307220.399999999441206,3604427.040000000037253,3345922.020000000484288,10257570.460000000894070
FS( 14 ),3298951.409999999683350,3572871.119999999646097,3362007.990000000223517,10233831.519999999552965
FS( 15 ),3346824.510000000242144,3595820.879999999888241,3378793.350000000558794,10321439.740000002086163
FS( 16 ),3367279.379999999888241,3640046.979999999515712,3461321.370000000577420,10468648.730000000447035
FS( 17 ),3351176.609999999869615,3670646.659999999683350,3513076.229999999981374,10534900.500000000000000
FS( 18 ),3358139.969999999739230,3653195.279999999795109,3543849.390000000130385,10555185.640000000596046
FS( 19 ),3366844.169999999925494,3636461.080000000074506,3575321.939999999944121,10578628.189999999478459
FS( 20 ),3346389.299999999813735,3767465.959999999962747,3564131.700000000186265,10677987.960000000894070
FS( 21 ),3453450.959999999497086,3784917.339999999850988,3489996.360000000335276,10728365.660000000149012
