代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11525076.830000000074506
真實報酬,1525076.830000000074506

夏普值報酬,0.143807683000000
夏普值風險,0.051776172292704
夏普值,2.777487725184029

預期報酬,14426.383355267351362
風險,271780.135874710045755
趨勢值,0.053081080811284
找到最佳解世代,1924
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](1),PG[21](3),
Stock#,MCD[15](2),MRK[17](1),PG[21](3),
張數,21158,50604,41213,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,101.680000000167638,47.519999999552965,25.560000000055879,
20180801,3320215.040000000037253,3314103.479999999515712,3323854.010000000242144,9958173.529999999329448
20180802,3288266.459999999962747,3300440.399999999441206,3379491.560000000055879,9968199.419999999925494
20180803,3305192.860000000335276,3336369.239999999757856,3393091.850000000093132,10034654.949999999254942
20180806,3315983.439999999944121,3351044.399999999441206,3400922.319999999832362,10067951.160000000149012
20180807,3301596.000000000000000,3369261.839999999385327,3405867.879999999888241,10076726.719999998807907
20180808,3362531.040000000037253,3374828.279999999329448,3393916.109999999869615,10131276.429999999701977
20180809,3370571.080000000540167,3339911.519999999552965,3354763.760000000242144,10065247.359999999403954
20180810,3357453.120000000111759,3343453.799999999348074,3356000.150000000372529,10056908.070000000298023
20180813,3346027.799999999813735,3376346.399999999441206,3359709.319999999832362,10082084.519999999552965
20180814,3398076.479999999981374,3363189.359999999403954,3351054.590000000316650,10112321.429999999701977
20180815,3382842.720000000204891,3409239.000000000000000,3391855.459999999962747,10183938.179999999701977
20180816,3421985.020000000018626,3484132.919999999459833,3449141.529999999795109,10355260.469999998807907
20180817,3409713.380000000353903,3494759.759999999776483,3449141.529999999795109,10353615.669999999925494
20180820,3420927.120000000111759,3550930.199999999720603,3447080.879999999888241,10418939.199999999254942
20180821,3407386.000000000000000,3500326.199999999720603,3457796.260000000242144,10365509.459999999031425
20180822,3397018.580000000540167,3493747.679999999701977,3436777.629999999888241,10327544.890000000596046
20180823,3365281.580000000540167,3490205.399999999441206,3430595.679999999701977,10286083.660000000149012
20180824,3372263.720000000204891,3493747.679999999701977,3435541.240000000223517,10301553.640000000596046
20180827,3395537.520000000018626,3491217.479999999515712,3438838.279999999795109,10325594.279999999329448
20180828,3420080.799999999813735,3473000.039999999105930,3440486.800000000279397,10333568.639999998733401
20180829,3451183.060000000521541,3482108.759999999776483,3440898.929999999701977,10374191.750000000000000
20180830,3444624.080000000540167,3468445.679999999701977,3437601.890000000130385,10350672.650000000372529
20180831,3432564.020000000018626,3470975.879999999888241,3418643.910000000149012,10322184.810000000521541
20180904,3421773.439999999944121,3438589.319999999832362,3408340.660000000149012,10268704.419999999925494
20180905,3453933.600000000558794,3472494.000000000000000,3432656.330000000540167,10359084.930000001564622
20180906,3464512.600000000558794,3510953.039999999105930,3406280.010000000242144,10381746.650000000372529
20180907,3467897.880000000353903,3525628.199999999720603,3375782.390000000130385,10369309.470000000670552
20180910,3492652.740000000223517,3520061.759999999776483,3395152.500000000000000,10407868.000000000000000
20180911,3483131.640000000130385,3495771.839999999385327,3379903.690000000409782,10358808.169999999925494
20180912,3485670.600000000558794,3535242.959999999497086,3425237.990000000223517,10446152.550000000745058
20180913,3436160.880000000353903,3584328.839999999385327,3439250.410000000149012,10459741.129999998956919
20180914,3403154.400000000372529,3541315.439999999944121,3445844.490000000223517,10390315.330000000074506
20180917,3346027.799999999813735,3563581.199999999720603,3472220.810000000055879,10381830.810000000521541
20180918,3338199.340000000316650,3563581.199999999720603,3461917.560000000055879,10363699.099999999627471
20180919,3368032.120000000111759,3541315.439999999944121,3461917.560000000055879,10371266.120000001043081
20180920,3402096.500000000000000,3581798.639999999664724,3517967.240000000223517,10501863.379999998956919
20180921,3497519.080000000540167,3597991.919999999459833,3536925.219999999739230,10632437.219999998807907
20180924,3455414.660000000149012,3581798.639999999664724,3473045.069999999832362,10510259.369999999180436
20180925,3521004.459999999962747,3575220.119999999646097,3425650.120000000111759,10521875.699999999254942
20180926,3507251.759999999776483,3559026.839999999385327,3431419.940000000409782,10497699.539999999105930
20180927,3523543.420000000391155,3578762.399999999441206,3414934.740000000223517,10517241.560000000521541
20180928,3539623.500000000000000,3589895.279999999329448,3430183.550000000279397,10559703.330000000074506
20181001,3526505.540000000037253,3619751.639999999664724,3448317.270000000018626,10594575.449999999254942
20181002,3494980.120000000111759,3630884.519999999552965,3476754.240000000223517,10602619.879999998956919
20181003,3483977.959999999962747,3611655.000000000000000,3421940.950000000186265,10517574.910000000149012
20181004,3508098.080000000540167,3604064.399999999441206,3376194.520000000018626,10488358.000000000000000
20181005,3524389.740000000223517,3594449.639999999664724,3385673.510000000242144,10504513.890000000596046
20181008,3549779.340000000316650,3616209.359999999403954,3395976.760000000242144,10561966.459999999031425
20181009,3593364.820000000298023,3660740.879999999888241,3387734.160000000149012,10641840.859999999403954
20181010,3562474.140000000130385,3565099.319999999832362,3356412.279999999795109,10483986.740000000223517
20181011,3448220.939999999944121,3459843.000000000000000,3250494.870000000111759,10158559.809999998658895
20181012,3466205.240000000223517,3532712.759999999776483,3258325.340000000316650,10257244.339999999850988
20181015,3463031.540000000037253,3515001.359999999403954,3302423.250000000000000,10280457.149999998509884
20181016,3471494.740000000223517,3604064.399999999441206,3338690.690000000409782,10414250.830000000074506
20181017,3528621.340000000316650,3634426.799999999348074,3373721.740000000223517,10536770.879999998956919
20181018,3529467.660000000149012,3654162.359999999403954,3306956.679999999701977,10490587.699999999254942
20181019,3543855.100000000558794,3661246.919999999459833,3597920.459999999962747,10803023.480000000447035
20181022,3525659.220000000204891,3672379.799999999348074,3569071.359999999869615,10767111.379999998956919
20181023,3748241.380000000353903,3648595.919999999459833,3592150.640000000130385,10988988.939999999478459
20181024,3752472.979999999981374,3569653.679999999701977,3686940.539999999571592,11009068.199999999254942
20181025,3709310.660000000149012,3540303.359999999403954,3667982.560000000055879,10917597.580000000074506
20181026,3667629.400000000372529,3562569.119999999646097,3620999.740000000223517,10851199.259999999776483
20181029,3665302.020000000018626,3615703.319999999832362,3636660.679999999701977,10917667.019999999552965
20181030,3776593.100000000558794,3687561.000000000000000,3675813.029999999795109,11139968.130000000819564
20181031,3742951.880000000353903,3725007.959999999497086,3654794.400000000372529,11122755.240000000223517
20181101,3700212.720000000204891,3700212.000000000000000,3692298.229999999981374,11092723.950000001117587
20181102,3739778.180000000167638,3657198.599999999161810,3701365.090000000316650,11098342.869999999180436
20181105,3816793.299999999813735,3700212.000000000000000,3758651.160000000149012,11275657.460000000894070
20181106,3865879.860000000335276,3709826.759999999776483,3771427.190000000409782,11347134.810000000521541
20181107,3898463.180000000167638,3799395.839999999385327,3762360.330000000540167,11460220.349999999627471
20181108,3924487.520000000018626,3819637.439999999944121,3765245.240000000223517,11509371.199999999254942
20181109,3934220.200000000186265,3788262.959999999497086,3808518.890000000130385,11531003.050000000745058
20181112,3901002.140000000130385,3779660.279999999329448,3820470.660000000149012,11501134.080000000074506
20181113,3893385.259999999776483,3775611.959999999497086,3852204.669999999925494,11521202.889999998733401
20181114,3889999.979999999981374,3749297.879999999888241,3853028.929999999701977,11492327.789999999105930
