代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12158224.700000001117587
真實報酬,2158224.700000001117587

夏普值報酬,0.207122470000000
夏普值風險,0.053926836157060
夏普值,3.840805149346450

預期報酬,16243.506948604745048
風險,126684.503790946109802
趨勢值,0.128220156866302
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](20),MSFT[18](13),V[25](2),
Stock#,MRK[17](20),MSFT[18](13),V[25](2),
張數,70487,99800,76435,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.770000000018626,13.000000000000000,2.649999999906868,
20130903,3327694.040000000037253,3181637.000000000000000,3383015.749999999534339,9892347.789999999105930
20130904,3360822.930000000167638,3113773.000000000000000,3366964.399999999906868,9841561.330000000074506
20130905,3348840.139999999664724,3117765.000000000000000,3366964.399999999906868,9833570.539999999105930
20130906,3347430.400000000372529,3108783.000000000000000,3376136.600000000093132,9832351.000000000000000
20130909,3365052.150000000372529,3159681.000000000000000,3412061.049999999813735,9936795.199999999254942
20130910,3381969.029999999795109,3232535.000000000000000,3527477.899999999906868,10141982.929999999701977
20130911,3393246.950000000186265,3267465.000000000000000,3560344.949999999720603,10221057.900000000372529
20130912,3372805.720000000204891,3262475.000000000000000,3536650.100000000093132,10171931.820000000298023
20130913,3368576.500000000000000,3296407.000000000000000,3611556.399999999906868,10276540.900000000372529
20130916,3396771.299999999813735,3273452.999999999534339,3619199.899999999906868,10289425.199999999254942
20130917,3384083.639999999664724,3286427.000000000000000,3661239.149999999906868,10331750.789999999105930
20130918,3411573.569999999832362,3325349.000000000000000,3700220.999999999534339,10437144.570000000298023
20130919,3401705.389999999664724,3357285.000000000000000,3720858.449999999720603,10479849.839999999850988
20130920,3384083.639999999664724,3272455.000000000000000,3799586.500000000000000,10456126.140000000596046
20130923,3360822.930000000167638,3267465.000000000000000,3749903.750000000000000,10378192.679999999701977
20130924,3350249.879999999888241,3239521.000000000000000,3694870.550000000279397,10284642.429999999701977
20130925,3360118.060000000055879,3244511.000000000000000,3660474.799999999813735,10265104.859999999403954
20130926,3360822.930000000167638,3270459.000000000465661,3698692.299999999813735,10329975.230000000447035
20130927,3368576.500000000000000,3320359.000000000465661,3688755.749999999534339,10377692.250000000000000
20130930,3355888.839999999850988,3321357.000000000000000,3652066.950000000186265,10329313.789999999105930
20131001,3435539.150000000372529,3351297.000000000000000,3692577.500000000000000,10479414.650000000372529
20131002,3409458.959999999962747,3385229.000000000000000,3665825.250000000000000,10460514.210000000894070
20131003,3408754.089999999850988,3379241.000000000000000,3604677.249999999534339,10392673.339999999850988
20131004,3399590.779999999795109,3381237.000000000465661,3639837.349999999627471,10420666.129999998956919
20131007,3375625.200000000186265,3323352.999999999534339,3560344.949999999720603,10259324.149999998509884
20131008,3365757.020000000018626,3294411.000000000000000,3487731.700000000186265,10147900.719999998807907
20131009,3331923.260000000242144,3300399.000000000000000,3512955.250000000000000,10145278.509999999776483
20131010,3347430.400000000372529,3369261.000000000000000,3612320.749999999534339,10329013.150000000372529
20131011,3333333.000000000000000,3406187.000000000465661,3672704.399999999906868,10412225.400000000372529
20131014,3295270.020000000018626,3438123.000000000465661,3696399.250000000000000,10429793.269999999552965
20131015,3282582.359999999869615,3442115.000000000000000,3656653.050000000279397,10381351.410000000149012
20131016,3324874.560000000055879,3457085.000000000000000,3738438.499999999534339,10520399.060000000521541
20131017,3320645.339999999850988,3485029.000000000000000,3788885.600000000093132,10594560.939999999478459
20131018,3285401.839999999850988,3489021.000000000000000,3830160.500000000000000,10604584.339999999850988
20131021,3278353.139999999664724,3492015.000000000000000,3822516.999999999534339,10592886.139999998733401
20131022,3275533.660000000149012,3451097.000000000000000,3821752.649999999906868,10548384.310000000521541
20131023,3281877.490000000223517,3369261.000000000000000,3800350.849999999627471,10451490.339999999850988
20131024,3257911.910000000149012,3365269.000000000000000,3877550.199999999720603,10500732.109999999403954
20131025,3280467.750000000000000,3565866.999999999534339,3880607.600000000093132,10726943.349999999627471
20131028,3196588.220000000204891,3549899.000000000000000,3880607.600000000093132,10627095.820000000298023
20131029,3212800.229999999981374,3544909.000000000465661,3902773.750000000000000,10660483.980000000447035
20131030,3188834.650000000372529,3546905.000000000000000,3895130.250000000000000,10630870.900000000372529
20131031,3178261.600000000093132,3533930.999999999534339,3758311.600000000093132,10470505.199999999254942
20131101,3188129.779999999795109,3545907.000000000000000,3805701.299999999813735,10539739.079999998211861
20131104,3222668.410000000149012,3586825.000000000000000,3753725.500000000000000,10563219.910000000149012
