代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12147264.099999999627471
真實報酬,2147264.099999999627471

夏普值報酬,0.206026410000000
夏普值風險,0.068453248287160
夏普值,3.009738984711460

預期報酬,19511.984619632839895
風險,166394.512774373783031
趨勢值,0.117263389845617
找到最佳解世代,1982
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),VZ[26](3),
Stock#,KO[14](2),MCD[15](1),VZ[26](3),
張數,129701,49847,129550,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.300000000279397,64.109999999869615,11.500000000000000,
20100601,3326847.950000000186265,3307911.029999999795109,3295763.500000000000000,9930523.480000000447035
20100602,3399480.510000000242144,3378195.299999999813735,3341106.000000000000000,10118782.810000000521541
20100603,3421529.680000000167638,3382183.059999999590218,3347583.500000000000000,10151297.240000000223517
20100604,3325550.940000000409782,3324859.010000000242144,3295763.500000000000000,9946174.450000001117587
20100607,3294422.700000000186265,3327351.359999999869615,3280217.500000000000000,9901992.560000000521541
20100608,3343709.080000000540167,3408601.969999999739230,3352765.500000000000000,10105077.550000000745058
20100609,3330738.980000000447035,3402620.330000000074506,3364425.000000000000000,10097785.310000000521541
20100610,3402074.530000000260770,3457950.500000000000000,3433086.500000000000000,10293112.530000001192093
20100611,3350194.129999999888241,3466424.490000000223517,3458996.500000000000000,10275616.120000001043081
20100614,3341115.060000000521541,3454461.209999999497086,3468065.000000000000000,10263642.269999999552965
20100615,3383916.390000000130385,3509292.910000000149012,3526362.500000000000000,10419572.800000000745058
20100616,3398183.500000000000000,3503809.740000000223517,3534135.500000000000000,10436129.740000000223517
20100617,3395589.480000000447035,3491846.459999999497086,3523771.500000000000000,10411208.439999999478459
20100618,3392995.460000000428408,3483372.469999999739230,3527658.000000000000000,10404026.929999999701977
20100621,3403371.540000000037253,3485366.350000000093132,3519885.000000000000000,10408623.890000000596046
20100622,3402074.530000000260770,3421562.189999999944121,3519885.000000000000000,10343522.720000000670552
20100623,3387807.420000000391155,3421063.719999999739230,3552272.500000000000000,10361144.640000000596046
20100624,3359273.200000000186265,3376201.419999999925494,3508225.500000000000000,10243701.120000001043081
20100625,3259403.430000000167638,3360748.850000000093132,3457701.000000000000000,10077854.280000001192093
20100628,3312580.840000000316650,3356262.619999999646097,3477133.500000000000000,10145977.960000000894070
20100629,3264591.470000000670552,3312895.729999999515712,3466769.500000000000000,10044257.699999999254942
20100630,3250324.360000000335276,3283486.000000000000000,3394221.500000000000000,9928032.859999999403954
20100701,3245136.320000000298023,3325357.479999999515712,3407176.500000000000000,9977671.300000000745058
20100702,3246433.330000000540167,3296944.689999999944121,3473247.000000000000000,10016626.019999999552965
20100706,3271076.520000000018626,3295449.279999999795109,3447337.000000000000000,10013863.800000000745058
20100707,3338521.040000000037253,3355265.680000000167638,3435677.500000000000000,10129465.220000000670552
20100708,3399480.510000000242144,3440504.049999999813735,3469360.500000000000000,10309346.060000000521541
20100709,3398183.500000000000000,3450473.449999999720603,3452519.000000000000000,10301176.949999999254942
20100712,3402074.530000000260770,3486363.289999999571592,3431791.000000000000000,10320229.820000000298023
20100713,3418935.660000000149012,3531225.589999999850988,3483611.000000000000000,10433773.250000000000000
20100714,3425420.710000000428408,3534216.410000000149012,3477133.500000000000000,10436771.620000001043081
20100715,3428014.730000000447035,3555650.619999999646097,3471951.500000000000000,10455617.849999999627471
20100716,3396886.490000000223517,3486363.289999999571592,3457701.000000000000000,10340951.779999999329448
20100719,3390401.440000000409782,3484867.879999999888241,3461587.500000000000000,10336857.820000000298023
20100720,3452657.920000000391155,3532721.000000000000000,3455110.000000000000000,10440489.919999999925494
20100721,3507132.340000000316650,3494837.279999999795109,3435677.500000000000000,10437648.120000001043081
20100722,3518805.430000000167638,3559139.910000000149012,3497861.500000000000000,10575807.839999999850988
20100723,3551230.680000000167638,3484369.410000000149012,3630002.500000000000000,10665603.589999999850988
20100726,3562903.770000000018626,3532721.000000000000000,3663685.500000000000000,10759311.269999999552965
20100727,3570685.830000000540167,3509292.910000000149012,3703846.000000000000000,10783825.740000000223517
20100728,3559012.740000000223517,3477889.299999999813735,3745302.000000000000000,10782205.039999999105930
20100729,3566794.800000000279397,3458448.969999999739230,3741415.500000000000000,10766660.269999999552965
20100730,3574576.860000000335276,3475895.419999999925494,3764734.500000000000000,10815207.780000001192093
