代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11866100.399999998509884
真實報酬,1866100.399999998509884

夏普值報酬,0.177910040000000
夏普值風險,0.051422372485660
夏普值,3.459778913343840

預期報酬,14015.740699442658297
風險,264750.831914078036789
趨勢值,0.052939364148972
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,72896,60277,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,63.359999999403954,22.849999999627471,
20180904,4953346.559999999590218,4984930.750000000000000,9938277.309999998658895
20180905,5002186.879999999888241,5020494.179999999701977,10022681.059999998658895
20180906,5057587.839999998919666,4981916.900000000372529,10039504.739999998360872
20180907,5078727.679999999701977,4937311.919999998994172,10016039.599999997764826
20180910,5070709.119999999180436,4965642.109999999403954,10036351.229999998584390
20180911,5035719.039999999105930,4943339.620000000111759,9979058.660000000149012
20180912,5092577.919999998994172,5009644.319999999366701,10102222.239999998360872
20180913,5163287.039999999105930,5030138.500000000000000,10193425.539999999105930
20180914,5101325.439999999478459,5039782.819999999366701,10141108.259999997913837
20180917,5133399.679999999701977,5078360.099999999627471,10211759.779999999329448
20180918,5133399.679999999701977,5063290.849999999627471,10196690.529999999329448
20180919,5101325.439999999478459,5063290.849999999627471,10164616.289999999105930
20180920,5159642.239999999292195,5145267.569999999366701,10304909.809999998658895
20180921,5182968.959999999031425,5172994.989999999292195,10355963.949999999254942
20180924,5159642.239999999292195,5079565.639999999664724,10239207.879999998956919
20180925,5150165.759999999776483,5010247.089999999850988,10160412.849999999627471
20180926,5126839.039999999105930,5018685.870000000111759,10145524.910000000149012
20180927,5155268.479999999515712,4994575.069999999366701,10149843.549999998882413
20180928,5171305.599999999627471,5016877.559999999590218,10188183.160000000149012
20181001,5214314.239999999292195,5043399.439999999478459,10257713.679999999701977
20181002,5230351.359999999403954,5084990.569999999366701,10315341.929999999701977
20181003,5202650.879999999888241,5004822.160000000149012,10207473.039999999105930
20181004,5191716.479999999515712,4937914.689999999478459,10129631.169999998062849
20181005,5177866.239999999292195,4951778.400000000372529,10129644.640000000596046
20181008,5209211.519999998621643,4966847.650000000372529,10176059.169999998062849
20181009,5273360.000000000000000,4954792.250000000000000,10228152.250000000000000
20181010,5135586.559999999590218,4908981.729999999515712,10044568.289999999105930
20181011,4983962.879999999888241,4754069.839999999850988,9738032.719999998807907
20181012,5088933.119999999180436,4765522.469999999739230,9854455.589999999850988
20181015,5063419.519999998621643,4830018.859999999403954,9893438.379999998956919
20181016,5191716.479999999515712,4883062.620000000111759,10074779.099999999627471
20181017,5235454.079999999143183,4934298.069999999366701,10169752.149999998509884
20181018,5263883.519999998621643,4836649.329999999143183,10100532.849999997764826
20181019,5274088.959999999031425,5262204.949999999254942,10536293.909999998286366
20181022,5290126.079999999143183,5220011.049999998882413,10510137.129999998956919
