代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14569344.359999999403954
真實報酬,4569344.359999999403954

夏普值報酬,0.448234436000000
夏普值風險,0.096861511654232
夏普值,4.627580432567164

預期報酬,35790.452199207145895
風險,210957.872596493369201
趨勢值,0.169656869206606
找到最佳解世代,3324
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
CAT[3](2),DIS[6](7),XOM[29](1),
Stock#,CAT[3](2),DIS[6](7),XOM[29](1),
張數,51156,102438,56392,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.040000000037253,0.479999999981374,1.879999999888241,
20100901,3486801.000000000000000,3432697.859999999869615,3434838.599999999627471,10354338.459999999031425
20100902,3506240.280000000260770,3473673.059999999590218,3443297.399999999906868,10423211.740000000223517
20100903,3585020.520000000018626,3551525.939999999944121,3457959.319999999832362,10594506.779999999329448
20100907,3565581.240000000223517,3466502.400000000372529,3414537.479999999515712,10446622.120000001043081
20100908,3618783.479999999981374,3466502.400000000372529,3425815.879999999888241,10511102.760000001639128
20100909,3613667.879999999888241,3491087.520000000018626,3442733.479999999515712,10547489.879999998956919
20100910,3645384.600000000093132,3498258.179999999701977,3451192.280000000260770,10594836.059999998658895
20100913,3695517.479999999981374,3510550.740000000223517,3439913.879999999888241,10645983.100000001490116
20100914,3674543.520000000018626,3488014.379999999888241,3440477.799999999813735,10603036.699999999254942
20100915,3689890.319999999832362,3504404.459999999962747,3439913.879999999888241,10634209.660000000149012
20100916,3683240.040000000037253,3500306.939999999944121,3438222.119999999646097,10621770.099999999627471
20100917,3743604.120000000577420,3540257.760000000242144,3427507.640000000130385,10711370.520000001415610
20100920,3823919.040000000037253,3575086.679999999701977,3470929.479999999515712,10869936.199999999254942
20100921,3907814.879999999888241,3534111.479999999981374,3470365.560000000055879,10912292.919999999925494
20100922,3897072.120000000577420,3481868.100000000093132,3465290.280000000260770,10844231.500000000000000
20100923,3901164.600000000093132,3392747.039999999571592,3448372.679999999701977,10742285.320000000298023
20100924,4078675.920000000391155,3439868.520000000018626,3482207.879999999888241,11000753.320000000298023
20100927,4068956.280000000260770,3410161.500000000000000,3479952.199999999720603,10959070.980000000447035
20100928,4075606.560000000055879,3402990.839999999850988,3499689.399999999906868,10978287.800000000745058
20100929,4091976.479999999981374,3381478.859999999869615,3473185.160000000149012,10946641.500000000000000
20100930,4024962.120000000577420,3390698.280000000260770,3484463.560000000055879,10900124.960000000894070
20101001,4001430.359999999869615,3415283.400000000372529,3526757.560000000055879,10943472.320000000298023
20101004,3952832.159999999683350,3394795.799999999813735,3507020.359999999869615,10854649.319999998435378
20101005,4061794.440000000409782,3465478.020000000018626,3567359.799999999813735,11094633.260000001639128
20101006,4034170.200000000186265,3436795.379999999888241,3593300.119999999646097,11064266.699999999254942
20101007,4028031.479999999981374,3473673.059999999590218,3600631.080000000074506,11102336.619999999180436
20101008,4111415.760000000242144,3535135.859999999869615,3630518.839999999850988,11277071.460000000894070
20101011,4091464.920000000391155,3541282.140000000130385,3640105.479999999515712,11272853.539999999105930
20101012,4058725.080000000074506,3532062.719999999739230,3648564.280000000260770,11239353.080000000074506
20101013,4107323.280000000260770,3576111.059999999590218,3667737.560000000055879,11351172.900000000372529
20101014,4087884.000000000000000,3569964.780000000260770,3682399.479999999515712,11340249.259999999776483
20101015,4079699.040000000037253,3573037.920000000391155,3676196.359999999869615,11328934.320000000298023
20101018,4104765.479999999981374,3559720.979999999981374,3737663.640000000130385,11402151.099999999627471
20101019,4018311.839999999850988,3507477.600000000093132,3672248.919999999925494,11198039.359999999403954
20101020,4108857.959999999497086,3546404.039999999571592,3722437.800000000279397,11377700.799999998882413
20101021,4035704.879999999888241,3552550.319999999832362,3739919.319999999366701,11328175.519999999552965
20101022,4007057.520000000018626,3582257.339999999850988,3741047.160000000149012,11330363.019999999552965
20101025,4043889.839999999850988,3632451.959999999962747,3733152.280000000260770,11409495.080000000074506
20101026,4023427.440000000409782,3683670.959999999962747,3751761.640000000130385,11458861.040000000968575
20101027,4001430.359999999869615,3679573.439999999944121,3703264.520000000018626,11384269.320000000298023
20101028,3976875.479999999981374,3740011.859999999869615,3734280.119999999646097,11451168.459999999031425
20101029,4020869.639999999664724,3701085.420000000391155,3749505.959999999497086,11471462.019999999552965
20101101,4055144.159999999683350,3690841.620000000111759,3775446.280000000260770,11521433.059999998658895
20101102,4079699.040000000037253,3699036.660000000149012,3825635.160000000149012,11604371.859999999403954
20101103,4086349.319999999832362,3717475.500000000000000,3832966.119999999646097,11636791.939999999478459
20101104,4255164.120000000111759,3793279.620000000111759,3912478.839999999850988,11960923.580000000074506
20101105,4273580.280000000260770,3810694.080000000074506,3947441.879999999888241,12031717.240000000223517
20101108,4252094.760000000707805,3796352.760000000242144,3965487.319999999366701,12013935.839999999850988
20101109,4190196.000000000000000,3775865.160000000149012,3982968.839999999850988,11949031.000000000000000
20101110,4218331.799999999813735,3789182.100000000093132,4011164.839999999850988,12018679.740000000223517
20101111,4217308.679999999701977,3680597.819999999832362,4050639.239999999757856,11948546.740000000223517
20101112,4145690.280000000260770,3867034.979999999981374,4003269.959999999497086,12015996.219999998807907
20101115,4185591.959999999497086,3815815.979999999981374,3974510.040000000037253,11975918.980000000447035
20101116,4111415.760000000242144,3782011.439999999944121,3887666.359999999869615,11781094.560000000521541
20101117,4152340.560000000055879,3812742.839999999850988,3891613.800000000279397,11856698.200000001117587
20101118,4251583.200000000186265,3849620.520000000018626,3964923.399999999906868,12066128.120000001043081
20101119,4295577.360000000335276,3791230.859999999869615,3977893.560000000055879,12064702.780000001192093
20101122,4297112.040000000037253,3785084.580000000074506,3958156.359999999869615,12040353.980000000447035
20101123,4227028.319999999366701,3700061.039999999571592,3889922.040000000037253,11817012.399999998509884
20101124,4332409.679999999701977,3776889.539999999571592,3940674.839999999850988,12049975.059999998658895
20101126,4303762.319999999366701,3759475.080000000074506,3904020.040000000037253,11967258.439999999478459
20101129,4280230.560000000521541,3730792.439999999944121,3916426.280000000260770,11927450.280000001192093
20101130,4327805.639999999664724,3740011.859999999869615,3922629.399999999906868,11990447.900000000372529
20101201,4473600.240000000223517,3802499.039999999571592,4022443.239999999757856,12298543.519999999552965
20101202,4533452.760000000707805,3825035.400000000372529,4030902.040000000037253,12389391.200000001117587
20101203,4572331.319999999366701,3850644.900000000372529,4014548.359999999869615,12437525.579999998211861
20101206,4563123.240000000223517,3847571.760000000242144,4021315.399999999906868,12432011.400000000372529
20101207,4621952.639999999664724,3824011.020000000018626,4029774.199999999720603,12475738.859999999403954
20101208,4584608.760000000707805,3787133.339999999850988,4051767.079999999608845,12423510.179999999701977
20101209,4587166.560000000521541,3763572.600000000093132,4060225.879999999888241,12410966.039999999105930
20101210,4600978.679999999701977,3755377.559999999590218,4070376.440000000409782,12426733.679999999701977
20101213,4687432.319999999366701,3803523.420000000391155,4080527.000000000000000,12571483.740000000223517
20101214,4710964.080000000074506,3814791.600000000093132,4070376.440000000409782,12596133.120000001043081
20101215,4763654.760000000707805,3785084.580000000074506,4051767.079999999608845,12600507.419999999925494
20101216,4767747.240000000223517,3791230.859999999869615,4072632.119999999646097,12631611.219999998807907
20101217,4736542.080000000074506,3795328.379999999888241,4069812.520000000018626,12601683.980000000447035
